year	month	temp
1901	0	-24.3
1901	1	-21.5
1901	2	-25.3
1901	3	-21.0
1901	4	-12.0
1901	5	-5.8
1901	6	-2.4
1901	7	-5.0
1901	8	-11.0
1901	9	-17.9
1901	10	-21.4
1901	11	-23.7
1902	0	-25.5
1902	1	-24.9
1902	2	-27.8
1902	3	-20.0
1902	4	-11.6
1902	5	-5.1
1902	6	-2.3
1902	7	-4.2
1902	8	-10.9
1902	9	-16.7
1902	10	-22.3
1902	11	-24.1
1903	0	-23.9
1903	1	-26.7
1903	2	-28.4
1903	3	-20.9
1903	4	-12.2
1903	5	-5.4
1903	6	-2.2
1903	7	-5.0
1903	8	-10.8
1903	9	-17.0
1903	10	-22.6
1903	11	-22.3
1904	0	-25.2
1904	1	-26.4
1904	2	-27.4
1904	3	-21.8
1904	4	-11.4
1904	5	-5.2
1904	6	-2.3
1904	7	-4.1
1904	8	-11.3
1904	9	-18.9
1904	10	-23.1
1904	11	-22.8
1905	0	-26.1
1905	1	-26.5
1905	2	-24.7
1905	3	-19.1
1905	4	-11.4
1905	5	-5.5
1905	6	-2.3
1905	7	-4.7
1905	8	-12.2
1905	9	-16.7
1905	10	-22.1
1905	11	-24.4
1906	0	-24.8
1906	1	-27.4
1906	2	-27.2
1906	3	-22.4
1906	4	-12.0
1906	5	-5.4
1906	6	-2.5
1906	7	-4.2
1906	8	-10.9
1906	9	-17.6
1906	10	-23.4
1906	11	-24.6
1907	0	-25.3
1907	1	-27.8
1907	2	-28.9
1907	3	-21.4
1907	4	-12.1
1907	5	-5.8
1907	6	-2.2
1907	7	-4.5
1907	8	-11.7
1907	9	-16.9
1907	10	-23.3
1907	11	-22.6
1908	0	-24.2
1908	1	-27.2
1908	2	-24.7
1908	3	-18.8
1908	4	-12.0
1908	5	-5.7
1908	6	-1.3
1908	7	-4.8
1908	8	-10.2
1908	9	-17.2
1908	10	-22.4
1908	11	-23.9
1909	0	-26.0
1909	1	-24.7
1909	2	-25.3
1909	3	-19.2
1909	4	-11.1
1909	5	-4.5
1909	6	-2.1
1909	7	-4.6
1909	8	-10.6
1909	9	-18.3
1909	10	-21.8
1909	11	-26.0
1910	0	-26.4
1910	1	-28.0
1910	2	-27.8
1910	3	-21.2
1910	4	-11.9
1910	5	-5.6
1910	6	-2.2
1910	7	-3.9
1910	8	-11.6
1910	9	-16.9
1910	10	-23.1
1910	11	-23.4
1911	0	-24.5
1911	1	-27.5
1911	2	-26.0
1911	3	-20.0
1911	4	-12.0
1911	5	-5.4
1911	6	-2.2
1911	7	-4.3
1911	8	-11.5
1911	9	-16.4
1911	10	-21.8
1911	11	-24.0
1912	0	-22.1
1912	1	-24.5
1912	2	-26.0
1912	3	-19.6
1912	4	-11.2
1912	5	-4.4
1912	6	-1.9
1912	7	-4.6
