year	month	temp
1901	0	-4.9
1901	1	-1.0
1901	2	7.2
1901	3	14.9
1901	4	20.4
1901	5	23.2
1901	6	27.2
1901	7	24.2
1901	8	18.6
1901	9	7.7
1901	10	6.0
1901	11	1.6
1902	0	1.0
1902	1	-1.3
1902	2	5.6
1902	3	12.2
1902	4	20.5
1902	5	26.7
1902	6	26.8
1902	7	26.1
1902	8	18.6
1902	9	10.8
1902	10	3.8
1902	11	1.0
1903	0	-3.9
1903	1	1.4
1903	2	-1.3
1903	3	11.7
1903	4	18.7
1903	5	24.6
1903	6	27.1
1903	7	25.5
1903	8	19.5
1903	9	12.5
1903	10	3.1
1903	11	-4.0
1904	0	-10.1
1904	1	1.4
1904	2	5.3
1904	3	10.8
1904	4	20.1
1904	5	24.1
1904	6	26.8
1904	7	25.0
1904	8	18.2
1904	9	9.6
1904	10	6.7
1904	11	1.8
1905	0	-5.0
1905	1	-5.4
1905	2	-1.9
1905	3	11.8
1905	4	19.2
1905	5	24.5
1905	6	26.7
1905	7	24.6
1905	8	20.3
1905	9	15.2
1905	10	5.7
1905	11	0.2
1906	0	-5.7
1906	1	-5.1
1906	2	4.9
1906	3	11.2
1906	4	20.1
1906	5	26.1
1906	6	26.9
1906	7	25.8
1906	8	18.4
1906	9	12.1
1906	10	4.2
1906	11	1.3
1907	0	-3.2
1907	1	-3.8
1907	2	4.2
1907	3	13.4
1907	4	18.6
1907	5	23.0
1907	6	28.1
1907	7	24.9
1907	8	18.1
1907	9	8.8
1907	10	1.7
1907	11	-1.2
1908	0	-4.3
1908	1	-3.3
1908	2	1.7
1908	3	12.4
1908	4	18.6
1908	5	24.4
1908	6	27.3
1908	7	25.1
1908	8	19.7
1908	9	8.6
1908	10	6.0
1908	11	-0.1
1909	0	-6.3
1909	1	0.1
1909	2	4.8
1909	3	15.3
1909	4	20.4
1909	5	23.9
1909	6	27.1
1909	7	25.2
1909	8	19.8
1909	9	10.3
1909	10	9.1
1909	11	1.4
1910	0	-0.6
1910	1	-1.0
1910	2	3.7
1910	3	13.0
1910	4	21.5
1910	5	24.0
1910	6	28.0
1910	7	25.2
1910	8	18.6
1910	9	10.5
1910	10	4.0
