year	month	temp
1901	0	25.3
1901	1	26.1
1901	2	27.5
1901	3	28.3
1901	4	28.4
1901	5	28.2
1901	6	27.4
1901	7	27.5
1901	8	28.0
1901	9	27.0
1901	10	26.0
1901	11	25.4
1902	0	25.2
1902	1	26.0
1902	2	27.2
1902	3	27.9
1902	4	27.9
1902	5	28.3
1902	6	28.1
1902	7	28.2
1902	8	28.4
1902	9	27.1
1902	10	26.0
1902	11	25.3
1903	0	25.8
1903	1	26.4
1903	2	27.6
1903	3	28.6
1903	4	28.4
1903	5	28.2
1903	6	27.9
1903	7	27.6
1903	8	28.0
1903	9	27.0
1903	10	25.7
1903	11	25.2
1904	0	25.0
1904	1	26.2
1904	2	27.4
1904	3	28.5
1904	4	28.5
1904	5	28.5
1904	6	27.4
1904	7	27.5
1904	8	28.0
1904	9	27.0
1904	10	26.0
1904	11	25.3
1905	0	25.3
1905	1	26.1
1905	2	27.4
1905	3	28.3
1905	4	28.4
1905	5	28.2
1905	6	27.7
1905	7	27.5
1905	8	28.0
1905	9	27.3
1905	10	26.3
1905	11	25.6
1906	0	25.2
1906	1	26.5
1906	2	27.4
1906	3	28.3
1906	4	28.8
1906	5	28.6
1906	6	27.7
1906	7	27.8
1906	8	28.2
1906	9	27.0
1906	10	25.7
1906	11	24.7
1907	0	24.9
1907	1	26.3
1907	2	27.6
1907	3	28.5
1907	4	28.6
1907	5	28.4
1907	6	27.6
1907	7	27.5
1907	8	28.0
1907	9	27.0
1907	10	25.8
1907	11	24.5
1908	0	25.2
1908	1	25.9
1908	2	27.8
1908	3	28.7
1908	4	29.3
1908	5	28.5
1908	6	27.6
1908	7	27.5
1908	8	28.5
1908	9	28.0
1908	10	25.5
1908	11	24.7
1909	0	24.8
1909	1	25.8
1909	2	27.1
1909	3	27.7
1909	4	28.2
1909	5	27.9
1909	6	27.7
1909	7	27.7
1909	8	28.1
1909	9	27.0
1909	10	25.7
1909	11	25.4
1910	0	25.2
1910	1	26.1
1910	2	27.6
1910	3	28.6
1910	4	28.8
1910	5	28.4
1910	6	28.1
1910	7	27.8
1910	8	28.0
1910	9	27.0
1910	10	26.0
1910	11	25.7
1911	0	25.5
1911	1	25.5
1911	2	27.3
1911	3	28.1
1911	4	28.0
1911	5	28.5
1911	6	26.6
1911	7	27.1
1911	8	27.4
1911	9	26.5
1911	10	25.7
1911	11	24.6
1912	0	24.8
1912	1	25.9
1912	2	27.0
1912	3	27.8
1912	4	27.7
1912	5	27.5
1912	6	26.3
1912	7	26.5
1912	8	26.9
1912	9	26.5
1912	10	26.0
1912	11	24.3
1913	0	24.6
1913	1	25.4
1913	2	26.8
1913	3	27.8
1913	4	28.2
1913	5	27.5
1913	6	27.4
1913	7	27.5
1913	8	28.0
1913	9	27.0
1913	10	26.0
1913	11	25.3
1914	0	25.3
1914	1	26.1
1914	2	27.5
1914	3	28.3
1914	4	28.4
1914	5	28.2
1914	6	27.4
1914	7	27.5
1914	8	28.0
1914	9	27.0
1914	10	26.0
1914	11	25.6
1915	0	25.3
1915	1	26.2
1915	2	27.4
1915	3	28.6
1915	4	28.3
1915	5	27.9
1915	6	27.1
1915	7	27.2
1915	8	27.8
1915	9	26.9
1915	10	26.1
1915	11	25.0
1916	0	25.0
1916	1	26.4
1916	2	26.9
1916	3	27.9
1916	4	28.5
1916	5	28.0
1916	6	27.1
1916	7	27.5
1916	8	28.0
1916	9	27.0
1916	10	26.2
1916	11	25.3
1917	0	25.4
1917	1	26.5
1917	2	27.5
1917	3	28.0
1917	4	28.4
1917	5	28.0
1917	6	27.2
1917	7	27.3
1917	8	27.8
1917	9	27.0
1917	10	26.2
1917	11	25.6
1918	0	25.1
1918	1	26.6
1918	2	27.4
1918	3	28.0
1918	4	28.5
1918	5	28.1
1918	6	27.4
1918	7	27.5
1918	8	28.0
1918	9	27.0
1918	10	26.0
1918	11	25.4
1919	0	25.3
1919	1	26.1
1919	2	27.5
1919	3	28.3
1919	4	28.4
1919	5	28.2
1919	6	27.4
1919	7	27.5
1919	8	28.0
1919	9	27.0
1919	10	26.0
1919	11	25.4
1920	0	25.3
1920	1	26.1
1920	2	27.4
1920	3	28.3
1920	4	28.4
1920	5	28.2
1920	6	27.4
1920	7	27.5
1920	8	28.0
1920	9	27.0
1920	10	26.0
1920	11	25.4
1921	0	25.3
1921	1	26.1
1921	2	27.4
1921	3	28.3
1921	4	28.4
1921	5	28.2
1921	6	27.4
1921	7	27.5
1921	8	28.4
1921	9	27.4
1921	10	26.9
1921	11	26.2
1922	0	26.1
1922	1	26.9
1922	2	28.1
1922	3	28.6
1922	4	28.9
1922	5	28.8
1922	6	27.2
1922	7	27.4
1922	8	28.3
1922	9	27.5
1922	10	27.0
1922	11	26.3
1923	0	25.3
1923	1	26.1
1923	2	27.5
1923	3	28.3
1923	4	28.4
1923	5	28.2
1923	6	27.4
1923	7	27.5
1923	8	28.0
1923	9	27.0
1923	10	26.0
1923	11	25.4
1924	0	25.7
1924	1	27.0
1924	2	28.0
1924	3	28.9
1924	4	29.1
1924	5	28.7
1924	6	28.6
1924	7	28.3
1924	8	28.9
1924	9	27.9
1924	10	27.0
1924	11	26.1
1925	0	25.6
1925	1	26.0
1925	2	27.5
1925	3	28.3
1925	4	29.0
1925	5	29.2
1925	6	28.7
