year	month	temp
1901	0	-15.7
1901	1	-17.3
1901	2	-16.4
1901	3	-13.1
1901	4	-6.1
1901	5	-0.1
1901	6	3.5
1901	7	2.7
1901	8	-1.2
1901	9	-6.5
1901	10	-11.8
1901	11	-15.6
1902	0	-16.7
1902	1	-17.0
1902	2	-16.8
1902	3	-13.3
1902	4	-6.2
1902	5	-0.8
1902	6	3.1
1902	7	2.5
1902	8	-1.7
1902	9	-7.5
1902	10	-11.5
1902	11	-14.8
1903	0	-16.2
1903	1	-16.5
1903	2	-15.8
1903	3	-13.2
1903	4	-6.0
1903	5	-0.5
1903	6	3.1
1903	7	2.7
1903	8	-1.6
1903	9	-7.7
1903	10	-11.4
1903	11	-14.9
1904	0	-15.8
1904	1	-17.3
1904	2	-16.0
1904	3	-12.8
1904	4	-6.1
1904	5	-0.4
1904	6	3.3
1904	7	2.5
1904	8	-1.3
1904	9	-6.7
1904	10	-12.1
1904	11	-15.7
1905	0	-16.4
1905	1	-16.8
1905	2	-16.2
1905	3	-13.3
1905	4	-5.9
1905	5	-0.3
1905	6	3.6
1905	7	2.7
1905	8	-1.5
1905	9	-7.4
1905	10	-11.9
1905	11	-14.8
1906	0	-16.1
1906	1	-16.9
1906	2	-16.8
1906	3	-13.1
1906	4	-6.2
1906	5	-0.4
1906	6	3.6
1906	7	2.3
1906	8	-1.6
1906	9	-7.0
1906	10	-11.6
1906	11	-15.2
1907	0	-16.6
1907	1	-16.5
1907	2	-15.9
1907	3	-13.0
1907	4	-6.2
1907	5	0.1
1907	6	3.3
1907	7	2.4
1907	8	-1.8
1907	9	-6.8
1907	10	-11.0
1907	11	-15.3
1908	0	-16.3
1908	1	-16.9
1908	2	-16.1
1908	3	-13.2
1908	4	-6.2
1908	5	-0.5
1908	6	3.4
1908	7	2.6
1908	8	-1.6
1908	9	-6.6
1908	10	-12.0
1908	11	-14.9
1909	0	-15.8
1909	1	-16.7
1909	2	-16.6
1909	3	-13.3
1909	4	-6.4
1909	5	-0.5
1909	6	3.4
1909	7	2.7
1909	8	-1.5
1909	9	-6.9
1909	10	-12.1
1909	11	-15.2
1910	0	-16.3
1910	1	-16.2
1910	2	-15.9
1910	3	-13.2
1910	4	-5.8
1910	5	-0.4
1910	6	3.2
1910	7	2.4
1910	8	-1.6
1910	9	-7.2
1910	10	-11.9
1910	11	-15.1
1911	0	-16.0
1911	1	-16.9
1911	2	-16.2
1911	3	-13.3
1911	4	-5.9
1911	5	-0.5
1911	6	3.3
1911	7	2.7
1911	8	-1.3
1911	9	-7.4
1911	10	-11.5
1911	11	-15.0
1912	0	-23.5
1912	1	-24.7
1912	2	-20.6
1912	3	-19.0
1912	4	-8.0
1912	5	0.2
1912	6	2.4
1912	7	1.0
1912	8	-4.2
1912	9	-9.6
1912	10	-13.3
1912	11	-13.9
1913	0	-16.7
1913	1	-20.1
1913	2	-17.6
1913	3	-11.3
1913	4	-7.3
1913	5	-1.1
1913	6	3.0
1913	7	3.1
1913	8	-1.4
1913	9	-9.5
1913	10	-9.3
1913	11	-14.4
1914	0	-21.4
1914	1	-22.3
1914	2	-19.1
1914	3	-11.9
1914	4	-7.2
1914	5	0.3
1914	6	3.1
1914	7	2.7
1914	8	-2.6
1914	9	-6.3
1914	10	-13.4
1914	11	-17.8
1915	0	-15.8
1915	1	-19.3
1915	2	-20.7
1915	3	-12.3
1915	4	-10.0
1915	5	-0.1
1915	6	2.5
1915	7	1.8
1915	8	-2.5
1915	9	-6.6
1915	10	-19.3
1915	11	-21.9
1916	0	-23.4
1916	1	-17.2
1916	2	-20.0
1916	3	-16.6
1916	4	-8.1
1916	5	0.6
1916	6	3.3
1916	7	1.8
1916	8	-2.1
1916	9	-8.4
1916	10	-17.0
1916	11	-19.5
1917	0	-22.4
1917	1	-25.3
1917	2	-24.2
1917	3	-21.2
1917	4	-10.4
1917	5	-1.1
1917	6	1.7
1917	7	1.2
