year	month	temp
1901	0	-3.0
1901	1	-4.0
1901	2	1.9
1901	3	6.7
1901	4	13.4
1901	5	17.9
1901	6	21.9
1901	7	20.3
1901	8	15.2
1901	9	10.4
1901	10	2.5
1901	11	-2.6
1902	0	-3.7
1902	1	-2.6
1902	2	1.9
1902	3	7.4
1902	4	14.1
1902	5	17.9
1902	6	20.3
1902	7	19.6
1902	8	14.9
1902	9	9.9
1902	10	3.3
1902	11	-3.8
1903	0	-3.7
1903	1	-4.2
1903	2	2.4
1903	3	7.0
1903	4	12.9
1903	5	17.0
1903	6	20.0
1903	7	19.5
1903	8	14.9
1903	9	9.3
1903	10	1.6
1903	11	-2.9
1904	0	-5.3
1904	1	-3.9
1904	2	1.7
1904	3	7.0
1904	4	13.2
1904	5	17.6
1904	6	20.0
1904	7	19.1
1904	8	15.8
1904	9	9.5
1904	10	3.2
1904	11	-2.3
1905	0	-4.7
1905	1	-4.3
1905	2	4.2
1905	3	7.8
1905	4	13.0
1905	5	18.0
1905	6	20.1
1905	7	20.0
1905	8	16.1
1905	9	8.4
1905	10	3.4
1905	11	-3.1
1906	0	-3.7
1906	1	-1.7
1906	2	0.2
1906	3	8.3
1906	4	13.0
1906	5	17.6
1906	6	20.3
1906	7	19.8
1906	8	16.5
1906	9	9.1
1906	10	2.1
1906	11	-1.8
1907	0	-3.2
1907	1	-2.3
1907	2	3.6
1907	3	6.1
1907	4	11.5
1907	5	16.8
1907	6	20.3
1907	7	19.4
1907	8	15.6
1907	9	9.2
1907	10	2.1
1907	11	-1.2
1908	0	-2.7
1908	1	-2.1
1908	2	3.0
1908	3	8.1
1908	4	12.6
1908	5	17.4
1908	6	20.6
1908	7	19.2
1908	8	15.9
1908	9	8.3
1908	10	2.9
1908	11	-1.5
1909	0	-3.6
1909	1	-1.9
1909	2	1.3
1909	3	6.4
1909	4	12.3
1909	5	18.1
1909	6	20.4
1909	7	20.2
1909	8	15.3
1909	9	8.8
1909	10	3.5
1909	11	-5.6
1910	0	-4.3
1910	1	-4.3
1910	2	5.5
1910	3	8.2
1910	4	12.7
1910	5	17.7
1910	6	20.8
1910	7	19.3
1910	8	16.3
1910	9	10.2
1910	10	2.3
1910	11	-3.0
1911	0	-3.0
1911	1	-1.6
1911	2	2.8
1911	3	6.7
1911	4	13.6
1911	5	18.9
1911	6	20.4
1911	7	19.4
1911	8	16.5
1911	9	9.6
1911	10	0.5
1911	11	-2.5
1912	0	-5.6
1912	1	-2.5
1912	2	0.2
1912	3	7.9
1912	4	13.7
1912	5	17.0
1912	6	20.2
1912	7	19.0
1912	8	15.1
1912	9	9.4
1912	10	3.1
1912	11	-2.1
1913	0	-4.2
1913	1	-3.1
1913	2	1.2
1913	3	7.8
1913	4	13.3
1913	5	18.3
1913	6	20.6
1913	7	20.3
1913	8	15.2
1913	9	8.6
1913	10	4.2
1913	11	-1.9
1914	0	-1.8
1914	1	-3.3
1914	2	1.8
1914	3	7.7
1914	4	13.9
1914	5	18.6
