year	month	temp
1901	0	17.7
1901	1	19.5
1901	2	20.0
1901	3	22.9
1901	4	24.0
1901	5	26.7
1901	6	28.2
1901	7	28.9
1901	8	26.8
1901	9	23.7
1901	10	21.6
1901	11	16.7
1902	0	18.0
1902	1	19.7
1902	2	20.3
1902	3	22.5
1902	4	23.8
1902	5	25.5
1902	6	28.7
1902	7	29.4
1902	8	27.3
1902	9	24.8
1902	10	22.0
1902	11	17.8
1903	0	17.3
1903	1	19.6
1903	2	20.6
1903	3	22.2
1903	4	23.8
1903	5	26.2
1903	6	28.1
1903	7	27.9
1903	8	26.7
1903	9	25.1
1903	10	21.8
1903	11	16.9
1904	0	17.1
1904	1	18.3
1904	2	19.6
1904	3	21.0
1904	4	23.2
1904	5	26.0
1904	6	28.7
1904	7	30.0
1904	8	27.4
1904	9	25.1
1904	10	22.1
1904	11	18.0
1905	0	17.6
1905	1	17.8
1905	2	20.1
1905	3	22.4
1905	4	23.5
1905	5	26.6
1905	6	28.8
1905	7	28.6
1905	8	26.8
1905	9	25.0
1905	10	21.0
1905	11	18.1
1906	0	17.8
1906	1	17.2
1906	2	20.7
1906	3	21.4
1906	4	23.5
1906	5	26.5
1906	6	28.1
1906	7	28.4
1906	8	27.1
1906	9	25.5
1906	10	21.6
1906	11	17.3
1907	0	16.9
1907	1	17.4
1907	2	19.5
1907	3	21.0
1907	4	23.2
1907	5	25.6
1907	6	28.0
1907	7	28.8
1907	8	27.9
1907	9	24.8
1907	10	20.7
1907	11	17.7
1908	0	17.6
1908	1	18.2
1908	2	19.7
1908	3	21.2
1908	4	24.1
1908	5	26.1
1908	6	28.3
1908	7	28.4
1908	8	27.8
1908	9	25.4
1908	10	22.4
1908	11	18.4
1909	0	17.7
1909	1	18.8
1909	2	20.9
1909	3	22.3
1909	4	25.0
1909	5	25.4
1909	6	28.1
1909	7	27.8
1909	8	27.1
1909	9	25.3
1909	10	21.8
1909	11	18.8
1910	0	17.3
1910	1	18.5
1910	2	20.0
1910	3	21.6
1910	4	23.4
1910	5	25.4
1910	6	27.8
1910	7	28.1
1910	8	27.7
1910	9	25.1
1910	10	22.8
1910	11	18.3
1911	0	16.9
1911	1	18.5
1911	2	19.4
1911	3	22.0
1911	4	23.2
1911	5	25.6
1911	6	27.8
1911	7	28.5
1911	8	28.2
1911	9	25.4
1911	10	21.4
1911	11	18.6
1912	0	17.8
1912	1	20.6
1912	2	21.2
1912	3	22.0
1912	4	24.8
1912	5	26.3
1912	6	27.6
1912	7	27.9
1912	8	27.2
1912	9	24.3
1912	10	21.6
1912	11	17.7
1913	0	18.1
1913	1	19.6
1913	2	20.1
1913	3	21.6
1913	4	22.4
1913	5	26.8
1913	6	28.1
1913	7	27.9
1913	8	26.7
1913	9	25.3
1913	10	21.9
1913	11	18.3
1914	0	16.5
1914	1	17.4
1914	2	20.0
1914	3	21.8
1914	4	24.1
1914	5	25.5
1914	6	28.3
1914	7	28.5
1914	8	27.2
1914	9	25.1
1914	10	21.5
1914	11	17.4
1915	0	16.8
1915	1	17.5
1915	2	20.0
1915	3	20.7
1915	4	23.7
1915	5	26.3
1915	6	29.4
1915	7	28.9
1915	8	27.7
1915	9	24.1
1915	10	20.8
1915	11	17.7
1916	0	16.0
1916	1	16.6
1916	2	18.4
1916	3	20.2
1916	4	23.3
1916	5	25.8
1916	6	28.3
1916	7	29.1
1916	8	26.8
1916	9	24.9
1916	10	22.0
1916	11	18.2
1917	0	16.6
1917	1	16.4
1917	2	19.0
1917	3	20.6
1917	4	22.8
1917	5	25.1
1917	6	29.3
1917	7	29.0
1917	8	28.3
1917	9	22.5
1917	10	20.1
1917	11	18.2
1918	0	18.2
1918	1	15.9
1918	2	17.3
1918	3	19.6
1918	4	22.8
1918	5	26.0
1918	6	27.4
1918	7	27.6
1918	8	27.2
1918	9	22.7
1918	10	20.6
1918	11	18.5
1919	0	18.3
1919	1	20.9
1919	2	21.1
1919	3	20.6
1919	4	23.8
1919	5	25.7
1919	6	27.9
1919	7	29.7
1919	8	27.3
1919	9	24.8
1919	10	22.0
1919	11	16.7
1920	0	16.7
1920	1	15.7
1920	2	18.4
1920	3	22.8
1920	4	21.9
1920	5	25.4
1920	6	27.8
1920	7	27.5
1920	8	26.3
1920	9	24.5
1920	10	20.3
1920	11	18.1
1921	0	18.2
1921	1	17.4
1921	2	18.5
1921	3	20.9
1921	4	23.7
1921	5	25.6
1921	6	28.4
1921	7	28.6
1921	8	26.7
1921	9	24.4
1921	10	19.8
1921	11	16.1
1922	0	16.4
1922	1	17.4
1922	2	18.5
1922	3	23.2
1922	4	24.2
1922	5	24.9
1922	6	29.2
1922	7	28.1
1922	8	26.2
1922	9	24.5
1922	10	21.0
1922	11	16.1
1923	0	14.5
1923	1	18.5
1923	2	20.4
1923	3	18.8
1923	4	24.5
1923	5	25.5
1923	6	28.4
1923	7	29.3
1923	8	27.5
1923	9	26.6
1923	10	21.2
1923	11	18.3
1924	0	18.0
1924	1	16.9
1924	2	21.1
1924	3	22.5
1924	4	25.1
1924	5	25.9
1924	6	29.2
1924	7	28.6
1924	8	27.6
1924	9	24.3
1924	10	20.7
1924	11	17.0
1925	0	16.5
1925	1	18.3
1925	2	19.4
1925	3	21.5
1925	4	23.8
1925	5	26.0
1925	6	27.8
