year	month	temp
1901	0	-4.3
1901	1	0.9
1901	2	7.1
1901	3	10.4
1901	4	15.3
1901	5	19.3
1901	6	21.5
1901	7	20.6
1901	8	16.6
1901	9	12.4
1901	10	4.0
1901	11	3.8
1902	0	1.1
1902	1	3.9
1902	2	4.6
1902	3	9.5
1902	4	13.3
1902	5	18.3
1902	6	20.1
1902	7	21.0
1902	8	16.9
1902	9	12.7
1902	10	1.7
1902	11	-3.4
1903	0	-1.4
1903	1	1.7
1903	2	5.7
1903	3	9.3
1903	4	15.0
1903	5	17.8
1903	6	20.5
1903	7	20.3
1903	8	16.5
1903	9	12.1
1903	10	6.5
1903	11	2.5
1904	0	-2.5
1904	1	4.0
1904	2	3.7
1904	3	9.5
1904	4	14.6
1904	5	18.5
1904	6	21.2
1904	7	20.5
1904	8	15.8
1904	9	12.2
1904	10	2.8
1904	11	0.8
1905	0	-4.3
1905	1	-1.4
1905	2	4.3
1905	3	9.3
1905	4	15.5
1905	5	18.5
1905	6	22.0
1905	7	22.4
1905	8	18.0
1905	9	10.9
1905	10	8.6
1905	11	0.7
1906	0	-1.0
1906	1	2.0
1906	2	6.8
1906	3	10.6
1906	4	15.2
1906	5	18.6
1906	6	21.4
1906	7	19.9
1906	8	16.1
1906	9	10.5
1906	10	7.2
1906	11	0.9
1907	0	-3.7
1907	1	-2.0
1907	2	0.4
1907	3	8.1
1907	4	17.9
1907	5	19.0
1907	6	21.1
1907	7	20.6
1907	8	15.9
1907	9	14.3
1907	10	4.2
1907	11	2.2
1908	0	-1.5
1908	1	1.6
1908	2	4.7
1908	3	9.2
1908	4	17.4
1908	5	19.7
1908	6	20.9
1908	7	20.6
1908	8	15.7
1908	9	10.0
1908	10	1.7
1908	11	-0.8
1909	0	-4.3
1909	1	-3.8
1909	2	5.3
1909	3	10.2
1909	4	15.3
1909	5	18.8
1909	6	21.7
1909	7	22.1
1909	8	18.8
1909	9	12.6
1909	10	5.6
1909	11	3.6
1910	0	-0.1
1910	1	4.1
1910	2	4.1
1910	3	10.1
1910	4	14.8
1910	5	18.8
1910	6	20.9
1910	7	21.0
1910	8	17.0
1910	9	10.6
1910	10	5.8
1910	11	2.9
1911	0	-0.8
1911	1	-3.4
1911	2	3.8
1911	3	9.4
1911	4	15.2
1911	5	18.4
1911	6	20.6
1911	7	21.2
1911	8	16.9
1911	9	12.2
1911	10	7.8
1911	11	1.7
1912	0	-3.9
1912	1	3.3
1912	2	7.4
1912	3	8.4
1912	4	14.1
1912	5	19.5
1912	6	20.4
1912	7	19.9
1912	8	15.5
1912	9	10.1
1912	10	5.5
1912	11	1.9
1913	0	-1.4
1913	1	-2.1
1913	2	6.5
1913	3	10.2
1913	4	14.1
1913	5	17.9
1913	6	19.6
1913	7	19.4
1913	8	17.4
1913	9	11.5
1913	10	6.0
1913	11	1.2
1914	0	-3.3
1914	1	-0.3
1914	2	6.6
1914	3	10.1
1914	4	14.6
1914	5	17.8
1914	6	21.0
1914	7	20.5
1914	8	15.3
1914	9	10.1
1914	10	3.9
1914	11	2.3
1915	0	3.4
1915	1	2.5
1915	2	4.5
1915	3	9.7
1915	4	14.6
1915	5	19.6
1915	6	21.6
1915	7	19.7
1915	8	15.2
1915	9	12.3
1915	10	4.9
1915	11	4.6
1916	0	1.0
1916	1	1.2
1916	2	8.1
1916	3	10.3
1916	4	15.2
1916	5	20.1
1916	6	22.0
1916	7	19.9
1916	8	16.1
1916	9	12.5
1916	10	8.3
1916	11	4.9
1917	0	1.9
1917	1	-2.5
1917	2	5.5
1917	3	10.4
1917	4	14.0
1917	5	18.8
1917	6	21.4
1917	7	22.6
1917	8	17.4
1917	9	13.7
1917	10	7.8
1917	11	-1.0
1918	0	-0.4
1918	1	-2.5
1918	2	3.5
1918	3	8.4
1918	4	14.4
1918	5	18.1
1918	6	20.6
1918	7	21.0
1918	8	18.5
1918	9	14.4
1918	10	5.9
1918	11	2.2
1919	0	2.8
1919	1	1.4
1919	2	6.8
1919	3	11.1
1919	4	11.4
1919	5	17.7
1919	6	20.4
1919	7	19.6
1919	8	18.0
1919	9	12.4
1919	10	6.6
1919	11	1.7
1920	0	1.3
1920	1	-2.7
1920	2	5.3
1920	3	12.4
1920	4	15.6
1920	5	18.4
1920	6	22.0
1920	7	21.2
1920	8	16.6
1920	9	8.4
1920	10	1.4
1920	11	1.6
1921	0	2.2
1921	1	-1.0
1921	2	4.8
1921	3	9.3
1921	4	16.4
1921	5	17.2
1921	6	21.4
1921	7	22.4
1921	8	15.4
1921	9	10.5
1921	10	4.7
1921	11	0.1
1922	0	-1.8
1922	1	-0.3
1922	2	7.4
1922	3	10.6
1922	4	14.9
1922	5	18.8
1922	6	22.2
1922	7	21.4
1922	8	17.3
1922	9	12.4
1922	10	3.4
1922	11	-1.2
1923	0	-0.8
1923	1	1.3
1923	2	5.9
1923	3	9.8
1923	4	16.9
1923	5	18.0
1923	6	20.8
1923	7	20.4
1923	8	18.2
1923	9	14.2
1923	10	10.7
1923	11	2.8
1924	0	-4.6
1924	1	0.6
1924	2	4.6
1924	3	11.2
1924	4	17.1
1924	5	20.4
1924	6	21.5
1924	7	20.7
1924	8	19.4
1924	9	10.4
1924	10	3.4
1924	11	0.0
1925	0	-1.2
1925	1	5.0
1925	2	5.7
1925	3	10.5
1925	4	15.6
1925	5	16.7
1925	6	21.4
1925	7	20.1
1925	8	17.3
1925	9	12.2
1925	10	8.7
1925	11	0.2
1926	0	0.5
1926	1	3.3
1926	2	4.3
1926	3	11.9
1926	4	15.5
1926	5	19.5
1926	6	21.7
1926	7	18.9
1926	8	16.8
1926	9	13.2
1926	10	11.0
1926	11	1.7
1927	0	1.5
1927	1	-1.6
1927	2	8.5
1927	3	11.0
1927	4	15.3
1927	5	20.6
1927	6	22.6
1927	7	22.6
1927	8	19.6
