year	month	temp
1901	0	-15.2
1901	1	-13.8
1901	2	-1.9
1901	3	2.9
1901	4	6.3
1901	5	8.3
1901	6	13.4
1901	7	13.1
1901	8	9.1
1901	9	-1.5
1901	10	-3.8
1901	11	-10.2
1902	0	-11.9
1902	1	-11.6
1902	2	-5.3
1902	3	1.6
1902	4	7.5
1902	5	12.1
1902	6	12.6
1902	7	13.5
1902	8	9.1
1902	9	2.7
1902	10	-5.4
1902	11	-9.8
1903	0	-15.1
1903	1	-12.6
1903	2	-10.8
1903	3	-0.1
1903	4	5.8
1903	5	9.4
1903	6	12.7
1903	7	12.6
1903	8	9.3
1903	9	2.6
1903	10	-6.9
1903	11	-12.7
1904	0	-17.2
1904	1	-10.1
1904	2	-3.6
1904	3	1.1
1904	4	8.4
1904	5	11.3
1904	6	13.2
1904	7	13.2
1904	8	8.2
1904	9	-0.4
1904	10	-4.1
1904	11	-9.3
1905	0	-14.9
1905	1	-16.3
1905	2	-11.6
1905	3	-0.2
1905	4	6.8
1905	5	10.7
1905	6	13.8
1905	7	12.2
1905	8	9.1
1905	9	4.1
1905	10	-2.9
1905	11	-11.8
1906	0	-15.8
1906	1	-13.5
1906	2	-4.5
1906	3	1.0
1906	4	6.8
1906	5	12.5
1906	6	13.0
1906	7	13.7
1906	8	9.1
1906	9	2.7
1906	10	-5.1
1906	11	-8.6
1907	0	-12.4
1907	1	-13.1
1907	2	-6.1
1907	3	3.5
1907	4	6.3
1907	5	8.9
1907	6	13.1
1907	7	12.9
1907	8	7.7
1907	9	0.1
1907	10	-6.0
1907	11	-11.5
1908	0	-12.7
1908	1	-14.6
1908	2	-8.5
1908	3	2.4
1908	4	7.6
1908	5	10.7
1908	6	15.9
1908	7	14.0
1908	8	9.4
1908	9	-0.2
1908	10	-4.6
1908	11	-10.2
1909	0	-16.8
1909	1	-11.0
1909	2	-5.0
1909	3	6.0
1909	4	8.5
1909	5	10.9
1909	6	13.9
1909	7	14.7
1909	8	8.8
1909	9	1.4
1909	10	-1.2
1909	11	-8.7
1910	0	-10.0
1910	1	-11.0
1910	2	-7.1
1910	3	2.0
1910	4	8.5
1910	5	11.3
1910	6	15.5
1910	7	14.4
1910	8	8.5
1910	9	1.7
1910	10	-7.0
1910	11	-13.9
1911	0	-14.0
1911	1	-11.3
1911	2	-4.9
1911	3	4.8
1911	4	9.1
1911	5	12.8
1911	6	14.3
1911	7	12.8
1911	8	8.4
1911	9	-0.1
1911	10	-6.0
1911	11	-12.6
1912	0	-14.3
1912	1	-10.2
1912	2	-5.2
1912	3	6.8
1912	4	8.9
1912	5	12.0
1912	6	14.5
1912	7	13.0
1912	8	7.5
1912	9	3.5
1912	10	-5.5
1912	11	-11.0
1913	0	-12.8
1913	1	-13.8
1913	2	-8.4
1913	3	-0.2
1913	4	8.6
1913	5	11.3
1913	6	15.4
1913	7	12.8
1913	8	8.7
1913	9	2.6
1913	10	-6.7
1913	11	-10.2
1914	0	-10.6
1914	1	-10.7
1914	2	-4.6
1914	3	3.9
1914	4	7.3
1914	5	13.6
1914	6	15.4
1914	7	14.6
1914	8	10.5
1914	9	1.9
1914	10	-5.3
1914	11	-12.3
1915	0	-14.1
1915	1	-14.5
1915	2	-6.5
1915	3	4.0
1915	4	9.2
1915	5	13.0
1915	6	13.7
1915	7	14.8
1915	8	11.3
1915	9	2.7
1915	10	-3.0
1915	11	-7.8
1916	0	-13.1
1916	1	-15.9
1916	2	-3.9
1916	3	5.3
1916	4	8.9
1916	5	11.0
1916	6	15.6
1916	7	16.7
1916	8	9.9
1916	9	2.2
1916	10	-10.7
1916	11	-13.2
1917	0	-13.0
1917	1	-8.5
1917	2	-5.2
1917	3	2.1
1917	4	12.2
1917	5	11.9
1917	6	14.8
1917	7	15.4
1917	8	9.7
1917	9	1.9
1917	10	-6.0
1917	11	-14.6
1918	0	-15.2
1918	1	-13.0
1918	2	-6.1
1918	3	2.4
1918	4	9.7
1918	5	13.2
1918	6	14.6
1918	7	15.3
1918	8	9.3
1918	9	2.3
1918	10	-9.2
1918	11	-17.4
1919	0	-20.6
1919	1	-13.0
1919	2	-7.7
1919	3	4.1
1919	4	8.7
1919	5	11.3
1919	6	14.7
1919	7	14.7
1919	8	7.3
1919	9	3.2
1919	10	-4.5
1919	11	-10.2
1920	0	-10.2
1920	1	-16.3
1920	2	-7.7
1920	3	0.7
1920	4	6.3
1920	5	11.3
1920	6	13.6
1920	7	12.7
1920	8	8.1
1920	9	2.3
1920	10	-7.5
1920	11	-17.7
1921	0	-14.7
1921	1	-12.7
1921	2	-7.9
1921	3	3.3
1921	4	5.5
1921	5	9.8
1921	6	14.3
1921	7	12.9
1921	8	8.8
1921	9	2.6
1921	10	-5.4
1921	11	-10.5
1922	0	-13.6
1922	1	-11.7
1922	2	-3.7
1922	3	3.9
1922	4	8.3
1922	5	11.6
1922	6	14.1
1922	7	13.5
1922	8	9.8
1922	9	3.5
1922	10	-4.0
1922	11	-9.0
1923	0	-15.6
1923	1	-12.4
1923	2	-5.0
1923	3	3.0
1923	4	7.6
1923	5	12.0
1923	6	13.2
1923	7	16.5
1923	8	7.3
1923	9	2.7
1923	10	-4.8
1923	11	-13.3
1924	0	-13.6
1924	1	-11.0
1924	2	-6.1
1924	3	3.9
1924	4	5.3
1924	5	10.3
1924	6	15.7
1924	7	15.1
1924	8	9.4
1924	9	3.1
1924	10	-5.5
1924	11	-10.9
1925	0	-15.0
1925	1	-16.8
1925	2	-3.2
1925	3	2.9
1925	4	8.4
1925	5	12.3
1925	6	15.8
1925	7	14.8
1925	8	9.5
1925	9	3.6
1925	10	-5.9
1925	11	-8.8
1926	0	-12.6
1926	1	-10.7
1926	2	-2.8
1926	3	1.9
1926	4	8.4
1926	5	11.4
1926	6	13.8
1926	7	15.3
1926	8	9.7
1926	9	1.8
1926	10	-8.9
1926	11	-10.2
1927	0	-15.8
1927	1	-12.3
1927	2	-6.7
1927	3	4.8
1927	4	8.3
1927	5	12.4
1927	6	16.1
1927	7	14.6
1927	8	8.6
1927	9	4.6
1927	10	-5.3
1927	11	-11.5
1928	0	-17.4
1928	1	-11.9
1928	2	-9.1
1928	3	2.1
1928	4	8.9
1928	5	12.7
1928	6	13.6
1928	7	12.9
1928	8	7.0
1928	9	2.0
1928	10	-4.5
1928	11	-12.6
1929	0	-19.4
1929	1	-15.3
1929	2	-5.0
1929	3	5.9
1929	4	6.6
1929	5	11.1
1929	6	14.6
1929	7	13.5
1929	8	9.8
1929	9	-0.1
1929	10	-6.1
1929	11	-18.4
1930	0	-20.5
1930	1	-14.4
1930	2	-6.5
1930	3	1.2
1930	4	8.2
1930	5	12.3
1930	6	16.2
1930	7	13.4
1930	8	7.5
1930	9	1.2
1930	10	-3.2
1930	11	-13.9
1931	0	-16.0
1931	1	-18.5
1931	2	-6.9
1931	3	3.4
1931	4	6.0
1931	5	10.9
1931	6	13.3
1931	7	14.0
1931	8	11.2
1931	9	3.0
1931	10	-7.0
1931	11	-12.6
1932	0	-13.3
1932	1	-14.7
1932	2	-2.9
1932	3	5.1
1932	4	6.9
1932	5	11.5
1932	6	15.8
1932	7	11.8
1932	8	8.8
1932	9	0.9
1932	10	-6.9
