year	month	temp
1901	0	15.7
1901	1	16.2
1901	2	16.0
1901	3	14.8
1901	4	13.3
1901	5	12.0
1901	6	11.0
1901	7	10.8
1901	8	11.0
1901	9	12.0
1901	10	13.6
1901	11	14.6
1902	0	15.7
1902	1	16.2
1902	2	16.0
1902	3	14.8
1902	4	13.3
1902	5	12.0
1902	6	11.0
1902	7	10.8
1902	8	11.0
1902	9	12.0
1902	10	13.6
1902	11	14.6
1903	0	15.7
1903	1	16.2
1903	2	16.0
1903	3	14.8
1903	4	13.3
1903	5	12.0
1903	6	11.0
1903	7	10.8
1903	8	11.0
1903	9	12.0
1903	10	13.6
1903	11	14.6
1904	0	15.7
1904	1	16.2
1904	2	16.0
1904	3	14.8
1904	4	13.3
1904	5	12.0
1904	6	11.0
1904	7	10.8
1904	8	11.0
1904	9	12.0
1904	10	13.6
1904	11	14.6
1905	0	15.7
1905	1	16.2
1905	2	16.0
1905	3	14.8
1905	4	13.3
1905	5	12.0
1905	6	11.0
1905	7	10.8
1905	8	11.0
1905	9	12.0
1905	10	13.6
1905	11	14.6
1906	0	15.7
1906	1	16.2
1906	2	16.0
1906	3	14.8
1906	4	13.3
1906	5	12.0
1906	6	11.0
1906	7	10.8
1906	8	11.0
1906	9	12.0
1906	10	13.6
1906	11	14.6
1907	0	15.7
1907	1	16.2
1907	2	16.0
1907	3	14.8
1907	4	13.3
1907	5	12.0
1907	6	11.0
1907	7	10.8
1907	8	11.0
1907	9	12.0
1907	10	13.6
1907	11	14.6
1908	0	15.7
1908	1	16.2
1908	2	16.0
1908	3	14.8
1908	4	13.3
1908	5	12.0
1908	6	11.0
1908	7	10.8
1908	8	11.0
1908	9	12.0
1908	10	13.6
1908	11	14.6
1909	0	15.7
1909	1	16.2
1909	2	16.0
1909	3	14.8
1909	4	13.3
1909	5	12.0
1909	6	11.0
1909	7	10.8
1909	8	11.0
1909	9	12.0
1909	10	13.6
1909	11	14.6
1910	0	15.7
1910	1	16.2
1910	2	16.0
1910	3	14.8
1910	4	13.3
1910	5	12.0
1910	6	11.0
1910	7	10.8
1910	8	11.0
1910	9	12.0
1910	10	13.6
1910	11	14.6
1911	0	15.7
1911	1	16.2
1911	2	16.0
1911	3	14.8
1911	4	13.3
1911	5	12.0
1911	6	11.0
1911	7	10.8
1911	8	11.0
1911	9	12.0
1911	10	13.6
1911	11	14.6
1912	0	15.7
1912	1	16.2
1912	2	16.0
1912	3	14.8
1912	4	13.3
1912	5	12.0
1912	6	11.0
1912	7	10.8
1912	8	11.0
1912	9	12.0
1912	10	13.6
1912	11	14.6
1913	0	15.7
1913	1	16.2
1913	2	16.0
1913	3	14.8
1913	4	13.3
1913	5	12.0
1913	6	11.0
1913	7	10.8
1913	8	11.0
1913	9	12.0
1913	10	13.6
1913	11	14.6
1914	0	15.7
1914	1	16.2
1914	2	16.0
1914	3	14.8
1914	4	13.3
1914	5	12.0
1914	6	11.0
1914	7	10.8
1914	8	11.0
1914	9	12.0
1914	10	13.6
1914	11	14.6
1915	0	15.7
1915	1	16.2
1915	2	16.0
1915	3	14.8
1915	4	13.3
1915	5	12.0
1915	6	11.0
1915	7	10.8
1915	8	11.0
1915	9	12.0
1915	10	13.6
1915	11	14.6
1916	0	15.7
1916	1	16.2
1916	2	16.0
1916	3	14.8
1916	4	13.3
1916	5	12.0
1916	6	11.0
1916	7	10.8
1916	8	11.0
1916	9	12.0
1916	10	13.6
1916	11	14.6
1917	0	15.7
1917	1	16.2
1917	2	16.0
1917	3	14.8
1917	4	13.3
1917	5	12.0
1917	6	11.0
1917	7	10.8
1917	8	11.0
1917	9	12.0
1917	10	13.6
1917	11	14.6
1918	0	15.7
1918	1	16.2
1918	2	16.0
1918	3	14.8
1918	4	13.3
1918	5	12.0
1918	6	11.0
1918	7	10.8
1918	8	11.0
1918	9	12.0
1918	10	13.6
1918	11	14.6
1919	0	15.7
1919	1	16.2
1919	2	16.0
1919	3	14.8
1919	4	13.3
1919	5	12.0
1919	6	11.0
1919	7	10.8
1919	8	11.0
1919	9	12.0
1919	10	13.6
1919	11	14.6
1920	0	15.7
1920	1	16.2
1920	2	16.0
1920	3	14.8
1920	4	13.3
1920	5	12.0
1920	6	11.0
1920	7	10.8
1920	8	11.0
1920	9	12.0
1920	10	13.6
1920	11	14.6
1921	0	15.7
1921	1	16.2
1921	2	16.0
1921	3	14.8
1921	4	13.3
1921	5	12.0
1921	6	11.0
1921	7	10.8
1921	8	11.0
1921	9	12.0
1921	10	13.6
1921	11	14.6
1922	0	15.7
1922	1	16.2
1922	2	16.0
1922	3	14.8
1922	4	13.3
1922	5	12.0
1922	6	11.0
1922	7	10.8
1922	8	11.0
1922	9	12.0
1922	10	13.6
1922	11	14.6
1923	0	15.7
1923	1	16.2
1923	2	16.0
1923	3	14.8
1923	4	13.3
1923	5	12.0
1923	6	11.0
1923	7	10.8
1923	8	11.0
1923	9	12.0
1923	10	13.6
1923	11	14.6
1924	0	15.7
1924	1	16.2
1924	2	16.0
1924	3	14.8
1924	4	13.3
1924	5	12.0
1924	6	11.0
1924	7	10.8
1924	8	11.0
1924	9	12.0
1924	10	13.6
1924	11	14.6
1925	0	15.7
1925	1	16.2
1925	2	16.0
1925	3	14.8
1925	4	13.3
1925	5	12.0
1925	6	11.0
1925	7	10.8
1925	8	11.0
1925	9	12.0
1925	10	13.6
1925	11	14.6
1926	0	15.7
1926	1	16.2
1926	2	16.0
1926	3	14.8
1926	4	13.3
1926	5	12.0
1926	6	11.0
1926	7	10.8
1926	8	11.0
1926	9	12.0
1926	10	13.6
1926	11	14.6
1927	0	15.7
1927	1	16.2
1927	2	16.0
1927	3	14.8
1927	4	13.3
1927	5	12.0
1927	6	11.0
1927	7	10.8
1927	8	11.0
1927	9	12.0
1927	10	13.6
1927	11	14.6
1928	0	15.7
1928	1	16.2
1928	2	16.0
1928	3	14.8
1928	4	13.3
1928	5	12.0
1928	6	11.0
1928	7	10.8
1928	8	11.0
1928	9	12.0
1928	10	13.6
1928	11	14.6
1929	0	15.7
1929	1	16.2
1929	2	16.0
1929	3	14.8
1929	4	13.3
1929	5	12.0
1929	6	11.0
1929	7	10.8
1929	8	11.0
1929	9	12.0
1929	10	13.6
1929	11	14.6
1930	0	15.7
1930	1	16.2
1930	2	16.0
1930	3	14.8
1930	4	13.3
1930	5	12.0
1930	6	11.0
1930	7	10.8
1930	8	11.0
1930	9	12.0
1930	10	13.6
1930	11	14.6
1931	0	15.7
1931	1	16.2
1931	2	16.0
1931	3	14.8
1931	4	13.3
1931	5	12.0
1931	6	11.0
1931	7	10.8
1931	8	11.0
1931	9	12.0
1931	10	13.6
1931	11	14.6
1932	0	15.7
1932	1	16.2
1932	2	16.0
1932	3	14.8
1932	4	13.3
1932	5	12.0
1932	6	11.0
1932	7	10.8
1932	8	11.0
1932	9	12.0
1932	10	13.6
1932	11	14.6
1933	0	15.7
1933	1	16.2
1933	2	16.0
1933	3	14.8
1933	4	13.3
1933	5	12.0
1933	6	11.0
1933	7	10.8
1933	8	11.0
1933	9	12.0
1933	10	13.6
1933	11	14.6
1934	0	15.7
1934	1	16.2
1934	2	16.0
1934	3	14.8
1934	4	13.3
1934	5	12.0
1934	6	11.0
1934	7	10.8
1934	8	11.0
1934	9	12.0
1934	10	13.6
1934	11	14.6
1935	0	15.7
1935	1	16.2
1935	2	16.0
1935	3	14.8
1935	4	13.3
1935	5	12.0
1935	6	11.0
1935	7	10.8
1935	8	11.0
1935	9	12.0
1935	10	13.6
1935	11	14.6
1936	0	15.7
1936	1	16.2
1936	2	16.0
1936	3	14.8
1936	4	13.3
1936	5	12.0
1936	6	11.0
1936	7	10.8
1936	8	11.0
1936	9	12.0
1936	10	13.6
1936	11	14.6
1937	0	15.7
1937	1	16.2
1937	2	16.0
1937	3	14.8
1937	4	13.3
1937	5	12.0
1937	6	11.0
1937	7	10.8
1937	8	11.0
1937	9	12.0
1937	10	13.6
1937	11	14.6
1938	0	15.7
1938	1	16.2
1938	2	16.0
1938	3	14.8
1938	4	13.3
1938	5	12.0
1938	6	11.0
1938	7	10.8
1938	8	11.0
1938	9	12.0
1938	10	13.6
1938	11	14.6
1939	0	15.7
1939	1	16.2
1939	2	16.0
1939	3	14.8
1939	4	13.3
1939	5	12.0
1939	6	11.0
1939	7	10.8
1939	8	11.0
1939	9	12.0
1939	10	13.6
1939	11	14.6
1940	0	15.7
1940	1	16.2
1940	2	16.0
1940	3	14.8
1940	4	13.3
1940	5	12.0
1940	6	11.0
1940	7	10.8
1940	8	11.0
1940	9	12.0
1940	10	13.6
1940	11	14.6
1941	0	15.7
1941	1	16.2
1941	2	16.0
1941	3	14.8
1941	4	13.3
1941	5	12.0
1941	6	11.0
1941	7	10.8
1941	8	11.0
1941	9	12.0
1941	10	13.6
1941	11	14.6
1942	0	15.7
1942	1	16.2
1942	2	16.0
1942	3	14.8
1942	4	13.3
1942	5	12.0
1942	6	11.0
1942	7	10.8
1942	8	11.0
1942	9	12.0
1942	10	13.6
1942	11	14.6
1943	0	15.7
1943	1	16.2
1943	2	16.0
1943	3	14.8
1943	4	13.3
1943	5	12.0
1943	6	11.0
1943	7	10.8
1943	8	11.0
1943	9	12.0
1943	10	13.6
1943	11	14.6
1944	0	15.7
1944	1	16.2
1944	2	16.0
1944	3	14.8
1944	4	13.3
1944	5	12.0
1944	6	11.0
1944	7	10.8
1944	8	11.0
1944	9	12.0
1944	10	13.6
1944	11	14.6
1945	0	15.7
1945	1	16.2
1945	2	16.0
1945	3	14.8
1945	4	13.3
1945	5	12.0
1945	6	11.0
1945	7	10.8
1945	8	11.0
1945	9	12.0
1945	10	13.6
1945	11	14.6
1946	0	15.7
1946	1	16.2
1946	2	16.0
1946	3	14.8
1946	4	13.3
1946	5	12.0
1946	6	11.0
1946	7	10.8
1946	8	11.0
1946	9	12.0
1946	10	13.6
1946	11	14.6
1947	0	15.7
1947	1	16.2
1947	2	16.0
1947	3	14.8
1947	4	13.3
1947	5	12.0
1947	6	11.0
1947	7	10.8
1947	8	11.0
1947	9	12.0
1947	10	13.6
1947	11	14.6
1948	0	15.7
1948	1	16.2
1948	2	16.0
1948	3	14.8
1948	4	13.3
1948	5	12.0
1948	6	11.0
1948	7	10.8
1948	8	11.0
1948	9	12.0
1948	10	13.6
1948	11	14.6
1949	0	15.7
1949	1	16.2
1949	2	16.0
1949	3	14.8
1949	4	13.3
1949	5	12.0
1949	6	11.0
1949	7	10.8
1949	8	11.0
1949	9	12.0
1949	10	13.6
1949	11	14.6
1950	0	15.7
1950	1	16.2
1950	2	16.0
1950	3	14.8
1950	4	13.3
1950	5	12.0
1950	6	11.0
1950	7	10.8
1950	8	11.0
1950	9	12.0
1950	10	13.6
1950	11	14.6
1951	0	15.7
1951	1	16.2
1951	2	16.0
1951	3	14.8
1951	4	13.3
1951	5	12.0
1951	6	11.0
1951	7	10.8
1951	8	11.0
1951	9	12.0
