year	month	temp
1901	0	16.6
1901	1	18.3
1901	2	22.6
1901	3	27.3
1901	4	32.5
1901	5	34.3
1901	6	35.9
1901	7	35.2
1901	8	33.7
1901	9	29.4
1901	10	24.4
1901	11	20.2
1902	0	17.7
1902	1	19.1
1902	2	23.6
1902	3	27.2
1902	4	31.3
1902	5	33.9
1902	6	34.5
1902	7	34.3
1902	8	32.5
1902	9	28.2
1902	10	21.8
1902	11	16.8
1903	0	15.8
1903	1	16.7
1903	2	20.6
1903	3	24.8
1903	4	31.3
1903	5	34.0
1903	6	34.5
1903	7	35.7
1903	8	32.5
1903	9	27.4
1903	10	21.6
1903	11	17.5
1904	0	17.0
1904	1	17.5
1904	2	20.9
1904	3	25.2
1904	4	30.0
1904	5	33.1
1904	6	34.9
1904	7	34.4
1904	8	31.6
1904	9	27.8
1904	10	24.2
1904	11	18.5
1905	0	15.7
1905	1	16.9
1905	2	20.4
1905	3	26.2
1905	4	30.8
1905	5	33.6
1905	6	34.9
1905	7	34.9
1905	8	32.4
1905	9	29.1
1905	10	23.5
1905	11	18.2
1906	0	15.9
1906	1	17.0
1906	2	20.6
1906	3	24.8
1906	4	31.4
1906	5	33.1
1906	6	34.7
1906	7	33.9
1906	8	31.2
1906	9	28.0
1906	10	24.6
1906	11	19.7
1907	0	16.4
1907	1	16.4
1907	2	21.1
1907	3	25.0
1907	4	31.3
1907	5	33.3
1907	6	34.8
1907	7	34.0
1907	8	31.7
1907	9	28.4
1907	10	21.6
1907	11	18.0
1908	0	16.5
1908	1	17.3
1908	2	21.8
1908	3	26.9
1908	4	31.0
1908	5	34.6
1908	6	34.7
1908	7	34.5
1908	8	32.4
1908	9	28.1
1908	10	23.5
1908	11	19.2
1909	0	16.1
1909	1	19.0
1909	2	22.3
1909	3	27.1
1909	4	31.4
1909	5	33.1
1909	6	34.9
1909	7	34.7
1909	8	31.9
1909	9	28.1
1909	10	23.6
1909	11	18.2
1910	0	15.7
1910	1	18.2
1910	2	19.9
1910	3	25.0
1910	4	30.6
1910	5	32.5
1910	6	34.8
1910	7	34.6
1910	8	31.7
1910	9	26.6
1910	10	22.6
1910	11	17.4
1911	0	13.6
1911	1	15.7
1911	2	19.3
1911	3	24.9
1911	4	30.2
1911	5	32.3
1911	6	34.6
1911	7	33.8
1911	8	30.8
1911	9	27.2
1911	10	22.5
1911	11	19.4
1912	0	16.0
1912	1	17.4
1912	2	21.2
1912	3	25.3
1912	4	30.2
1912	5	34.3
1912	6	34.5
1912	7	33.5
1912	8	31.4
1912	9	27.3
1912	10	23.6
1912	11	18.1
1913	0	16.3
1913	1	16.4
1913	2	19.5
1913	3	26.6
1913	4	31.5
1913	5	32.8
1913	6	33.8
1913	7	32.8
1913	8	31.8
1913	9	28.1
1913	10	23.1
1913	11	18.9
1914	0	17.4
1914	1	18.0
1914	2	21.5
1914	3	26.6
1914	4	31.1
1914	5	32.5
1914	6	34.3
1914	7	34.0
1914	8	30.7
1914	9	28.7
1914	10	24.3
1914	11	18.7
1915	0	17.7
1915	1	18.7
1915	2	22.1
1915	3	26.2
1915	4	31.1
1915	5	35.0
1915	6	34.9
1915	7	34.9
1915	8	33.2
1915	9	28.2
1915	10	24.0
1915	11	18.7
1916	0	16.8
1916	1	17.1
1916	2	22.7
1916	3	25.5
1916	4	31.9
1916	5	34.3
1916	6	35.7
1916	7	35.2
1916	8	32.0
