year	month	temp
1901	0	17.2
1901	1	20.2
1901	2	24.4
1901	3	28.2
1901	4	27.8
1901	5	28.4
1901	6	27.8
1901	7	27.7
1901	8	27.4
1901	9	27.0
1901	10	22.5
1901	11	18.8
1902	0	18.6
1902	1	19.9
1902	2	25.3
1902	3	26.1
1902	4	27.0
1902	5	27.5
1902	6	27.2
1902	7	27.6
1902	8	27.6
1902	9	26.0
1902	10	22.2
1902	11	18.7
1903	0	18.0
1903	1	20.0
1903	2	24.3
1903	3	28.1
1903	4	28.4
1903	5	27.6
1903	6	28.3
1903	7	27.3
1903	8	27.6
1903	9	27.1
1903	10	23.0
1903	11	19.0
1904	0	18.0
1904	1	20.3
1904	2	25.0
1904	3	26.9
1904	4	27.0
1904	5	27.7
1904	6	27.3
1904	7	27.8
1904	8	28.0
1904	9	26.4
1904	10	22.7
1904	11	19.2
1905	0	17.2
1905	1	18.4
1905	2	23.0
1905	3	25.3
1905	4	27.1
1905	5	28.5
1905	6	27.8
1905	7	27.4
1905	8	27.9
1905	9	26.6
1905	10	23.1
1905	11	19.1
1906	0	18.0
1906	1	19.7
1906	2	23.0
1906	3	27.9
1906	4	28.3
1906	5	28.0
1906	6	28.3
1906	7	27.4
1906	8	28.4
1906	9	26.6
1906	10	23.2
1906	11	19.8
1907	0	19.5
1907	1	20.1
1907	2	23.3
1907	3	26.2
1907	4	27.6
1907	5	27.6
1907	6	27.5
1907	7	28.0
1907	8	27.9
1907	9	26.8
1907	10	23.0
1907	11	19.5
1908	0	17.8
1908	1	20.5
1908	2	25.1
1908	3	29.0
1908	4	27.8
1908	5	27.9
1908	6	27.5
1908	7	27.9
1908	8	28.0
1908	9	26.5
1908	10	22.6
1908	11	19.3
1909	0	19.0
1909	1	20.7
1909	2	25.9
1909	3	26.4
1909	4	27.9
1909	5	27.3
1909	6	28.2
1909	7	27.2
1909	8	28.3
1909	9	27.1
1909	10	24.0
1909	11	19.4
1910	0	18.1
1910	1	20.3
1910	2	24.2
1910	3	26.2
1910	4	27.6
1910	5	27.1
1910	6	27.2
1910	7	27.7
1910	8	28.2
1910	9	26.3
1910	10	22.9
1910	11	18.6
1911	0	19.0
1911	1	20.1
1911	2	23.7
1911	3	26.5
1911	4	27.2
1911	5	27.3
1911	6	27.7
1911	7	27.6
1911	8	27.8
1911	9	25.9
1911	10	22.3
1911	11	18.4
1912	0	18.5
1912	1	21.0
1912	2	24.5
1912	3	25.9
1912	4	27.6
1912	5	27.9
1912	6	27.6
1912	7	27.7
1912	8	27.9
1912	9	26.3
1912	10	23.0
1912	11	18.8
1913	0	18.8
1913	1	22.0
1913	2	24.1
1913	3	27.7
1913	4	26.9
1913	5	26.9
1913	6	28.0
1913	7	27.5
1913	8	27.7
1913	9	26.1
1913	10	22.3
1913	11	18.5
1914	0	18.1
1914	1	21.0
1914	2	24.4
1914	3	25.7
1914	4	27.3
1914	5	27.7
1914	6	27.9
1914	7	27.3
1914	8	27.8
1914	9	25.5
1914	10	22.9
1914	11	19.6
1915	0	19.2
