year	month	temp
1901	0	-6.9
1901	1	-7.2
1901	2	-1.1
1901	3	6.5
1901	4	13.5
1901	5	20.1
1901	6	19.1
1901	7	19.1
1901	8	12.6
1901	9	7.9
1901	10	-0.3
1901	11	-3.1
1902	0	-2.1
1902	1	-6.5
1902	2	-0.7
1902	3	3.0
1902	4	10.7
1902	5	16.6
1902	6	16.2
1902	7	15.6
1902	8	11.4
1902	9	4.6
1902	10	-3.1
1902	11	-9.3
1903	0	-4.9
1903	1	-1.1
1903	2	3.3
1903	3	7.8
1903	4	13.2
1903	5	18.1
1903	6	18.2
1903	7	16.0
1903	8	13.9
1903	9	4.5
1903	10	1.6
1903	11	-4.4
1904	0	-6.0
1904	1	-2.8
1904	2	-3.2
1904	3	6.3
1904	4	10.1
1904	5	14.1
1904	6	15.8
1904	7	15.9
1904	8	10.6
1904	9	6.9
1904	10	-0.4
1904	11	-2.9
1905	0	-9.1
1905	1	-4.0
1905	2	-0.8
1905	3	4.7
1905	4	14.1
1905	5	19.1
1905	6	17.5
1905	7	17.1
1905	8	12.3
1905	9	4.8
1905	10	1.9
1905	11	-3.8
1906	0	-4.8
1906	1	-4.7
1906	2	-0.3
1906	3	8.7
1906	4	17.3
1906	5	17.2
1906	6	18.6
1906	7	15.7
1906	8	10.6
1906	9	5.9
1906	10	3.1
1906	11	-5.6
1907	0	-9.6
1907	1	-7.7
1907	2	-2.9
1907	3	4.2
1907	4	13.5
1907	5	16.0
1907	6	16.9
1907	7	15.0
1907	8	12.3
1907	9	9.7
1907	10	-2.0
1907	11	-9.0
1908	0	-5.1
1908	1	-3.6
1908	2	-2.4
1908	3	5.0
1908	4	11.9
1908	5	15.8
1908	6	18.3
1908	7	16.0
1908	8	11.8
1908	9	5.1
1908	10	-3.8
1908	11	-6.2
1909	0	-7.8
1909	1	-9.9
1909	2	-1.8
1909	3	3.7
1909	4	9.5
1909	5	15.9
1909	6	16.6
1909	7	17.3
1909	8	15.2
1909	9	9.3
1909	10	-1.0
1909	11	-1.3
1910	0	-3.8
1910	1	-1.7
1910	2	1.2
1910	3	8.2
1910	4	14.8
1910	5	18.1
1910	6	17.9
1910	7	15.7
1910	8	12.3
1910	9	4.8
1910	10	0.1
1910	11	-0.8
1911	0	-5.5
1911	1	-10.4
1911	2	-1.3
1911	3	6.5
1911	4	14.0
1911	5	14.8
1911	6	16.5
1911	7	17.7
1911	8	12.4
1911	9	6.9
1911	10	2.2
1911	11	-3.5
1912	0	-11.6
1912	1	-7.6
1912	2	2.2
1912	3	4.5
1912	4	10.3
1912	5	18.0
1912	6	17.3
1912	7	17.0
1912	8	10.3
1912	9	2.5
1912	10	0.1
1912	11	0.0
1913	0	-6.3
1913	1	-4.5
1913	2	2.5
1913	3	9.3
1913	4	11.1
1913	5	14.5
1913	6	17.4
1913	7	18.1
1913	8	13.0
1913	9	6.0
1913	10	3.4
1913	11	-1.3
1914	0	-6.3
1914	1	-0.4
1914	2	1.4
1914	3	7.2
1914	4	13.7
1914	5	17.1
1914	6	20.1
1914	7	15.5
1914	8	10.5
1914	9	4.2
1914	10	-2.1
1914	11	-0.8
1915	0	-4.4
1915	1	-4.4
1915	2	-5.4
1915	3	6.4
1915	4	12.4
1915	5	16.0
1915	6	18.9
1915	7	15.8
1915	8	11.8
1915	9	4.5
1915	10	-0.2
1915	11	-4.0
1916	0	-2.9
1916	1	-3.5
1916	2	-1.1
1916	3	7.9
1916	4	11.2
1916	5	15.7
1916	6	18.4
1916	7	15.2
1916	8	12.4
1916	9	5.7
1916	10	1.8
1916	11	-3.2
1917	0	-9.2
1917	1	-11.9
1917	2	-7.5
1917	3	5.8
1917	4	11.2
1917	5	19.6
1917	6	17.0
1917	7	18.5
1917	8	12.8
1917	9	8.0
1917	10	3.3
1917	11	-4.9
1918	0	-4.3
1918	1	-4.4
1918	2	-1.9
1918	3	10.4
1918	4	10.8
1918	5	14.4
1918	6	17.6
1918	7	15.9
1918	8	13.1
1918	9	9.7
1918	10	0.5
1918	11	-4.2
1919	0	-5.4
1919	1	-6.4
1919	2	-2.4
1919	3	7.1
1919	4	10.3
1919	5	15.7
1919	6	18.0
1919	7	15.2
1919	8	15.1
1919	9	5.9
1919	10	-4.6
1919	11	-4.6
1920	0	-6.6
1920	1	-4.7
1920	2	1.5
1920	3	11.8
1920	4	15.4
1920	5	14.5
1920	6	18.5
1920	7	18.3
1920	8	13.5
1920	9	2.5
1920	10	-0.8
1920	11	-5.6
1921	0	-3.1
1921	1	-7.4
1921	2	3.6
1921	3	10.2
1921	4	15.9
1921	5	16.6
1921	6	16.9
1921	7	17.9
1921	8	10.9
1921	9	6.3
1921	10	-3.6
1921	11	-6.1
1922	0	-9.4
1922	1	-6.6
1922	2	-0.6
1922	3	6.0
1922	4	12.8
1922	5	16.0
1922	6	18.3
1922	7	16.4
1922	8	11.1
1922	9	3.6
1922	10	-0.2
1922	11	-3.3
1923	0	-3.3
1923	1	-10.0
1923	2	-0.3
1923	3	4.2
1923	4	13.1
1923	5	13.4
1923	6	17.4
1923	7	14.7
1923	8	13.7
1923	9	8.7
1923	10	3.9
1923	11	-4.5
1924	0	-11.9
1924	1	-8.1
1924	2	-4.0
1924	3	3.9
1924	4	14.8
1924	5	17.4
1924	6	16.9
1924	7	17.1
1924	8	14.8
1924	9	7.1
1924	10	0.4
1924	11	-4.3
1925	0	-0.6
1925	1	0.6
1925	2	-0.7
1925	3	8.3
1925	4	15.6
1925	5	14.1
1925	6	19.3
1925	7	16.6
1925	8	11.5
1925	9	5.3
1925	10	-0.1
1925	11	-4.5
1926	0	-7.5
1926	1	-5.6
1926	2	-3.1
1926	3	6.7
1926	4	13.7
1926	5	17.0
1926	6	18.9
1926	7	14.6
1926	8	12.0
1926	9	4.9
1926	10	5.1
1926	11	-5.0
1927	0	-9.0
1927	1	-6.6
1927	2	1.3
1927	3	5.5
1927	4	9.8
1927	5	16.9
1927	6	19.9
1927	7	18.6
1927	8	13.6
1927	9	6.7
1927	10	-0.4
1927	11	-9.6
1928	0	-4.9
1928	1	-7.4
1928	2	-4.5
1928	3	4.9
1928	4	12.3
