year	month	temp
1901	0	18.0
1901	1	18.2
1901	2	18.2
1901	3	18.0
1901	4	17.9
1901	5	17.5
1901	6	17.5
1901	7	18.1
1901	8	18.2
1901	9	18.0
1901	10	17.7
1901	11	17.8
1902	0	18.0
1902	1	18.2
1902	2	18.2
1902	3	18.0
1902	4	17.9
1902	5	17.5
1902	6	17.5
1902	7	18.1
1902	8	18.2
1902	9	18.0
1902	10	17.7
1902	11	17.8
1903	0	18.0
1903	1	18.2
1903	2	18.2
1903	3	18.0
1903	4	17.9
1903	5	17.5
1903	6	17.5
1903	7	18.1
1903	8	18.2
1903	9	18.0
1903	10	17.7
1903	11	17.8
1904	0	18.0
1904	1	18.2
1904	2	18.2
1904	3	18.0
1904	4	17.9
1904	5	17.5
1904	6	17.5
1904	7	18.1
1904	8	18.2
1904	9	18.0
1904	10	17.7
1904	11	17.8
1905	0	18.0
1905	1	18.2
1905	2	18.2
1905	3	18.0
1905	4	17.9
1905	5	17.5
1905	6	17.5
1905	7	18.1
1905	8	18.2
1905	9	18.0
1905	10	17.7
1905	11	17.8
1906	0	18.0
1906	1	18.2
1906	2	18.2
1906	3	18.0
1906	4	17.9
1906	5	17.5
1906	6	17.5
1906	7	18.1
1906	8	18.2
1906	9	18.0
1906	10	17.7
1906	11	17.8
1907	0	18.0
1907	1	18.2
1907	2	18.2
1907	3	18.0
1907	4	17.9
1907	5	17.5
1907	6	17.5
1907	7	18.1
1907	8	18.2
1907	9	18.0
1907	10	17.7
1907	11	17.8
1908	0	18.0
1908	1	18.2
1908	2	18.2
1908	3	18.0
1908	4	17.9
1908	5	17.5
1908	6	17.5
1908	7	18.1
1908	8	18.2
1908	9	18.0
1908	10	17.7
1908	11	17.8
1909	0	18.0
1909	1	18.2
1909	2	18.2
1909	3	18.0
1909	4	17.9
1909	5	17.5
1909	6	17.5
1909	7	18.1
1909	8	18.2
1909	9	18.0
1909	10	17.7
1909	11	17.8
1910	0	18.0
1910	1	18.2
1910	2	18.2
1910	3	18.0
1910	4	17.9
1910	5	17.5
1910	6	17.5
1910	7	18.1
1910	8	18.2
1910	9	18.0
1910	10	17.7
1910	11	17.8
1911	0	18.0
1911	1	18.2
1911	2	18.2
1911	3	18.0
1911	4	17.9
1911	5	17.5
1911	6	17.5
1911	7	18.1
1911	8	18.2
1911	9	18.0
1911	10	17.7
1911	11	17.8
1912	0	18.0
1912	1	18.2
1912	2	18.2
1912	3	18.0
1912	4	17.9
1912	5	17.5
1912	6	17.5
1912	7	18.1
1912	8	18.2
1912	9	18.0
1912	10	17.7
1912	11	17.8
1913	0	18.0
1913	1	18.2
1913	2	18.2
1913	3	18.0
1913	4	17.9
1913	5	17.5
1913	6	17.5
1913	7	18.1
1913	8	18.2
1913	9	18.0
1913	10	17.7
1913	11	17.8
1914	0	18.0
1914	1	18.2
1914	2	18.2
1914	3	18.0
1914	4	17.9
1914	5	17.5
1914	6	17.5
1914	7	18.1
1914	8	18.2
1914	9	18.0
1914	10	17.7
1914	11	17.8
1915	0	18.0
1915	1	18.2
1915	2	18.2
1915	3	18.0
1915	4	17.9
1915	5	17.5
1915	6	17.5
1915	7	18.1
1915	8	18.2
1915	9	18.0
1915	10	17.7
1915	11	17.8
1916	0	18.0
1916	1	18.2
1916	2	18.2
1916	3	18.0
1916	4	17.9
1916	5	17.5
1916	6	17.5
1916	7	18.1
1916	8	18.2
1916	9	18.0
1916	10	17.7
1916	11	17.8
1917	0	18.0
1917	1	18.2
1917	2	18.2
1917	3	18.0
1917	4	17.9
1917	5	17.5
1917	6	17.5
1917	7	18.1
1917	8	18.2
1917	9	18.0
1917	10	17.7
1917	11	17.8
1918	0	18.0
1918	1	18.2
1918	2	18.2
1918	3	18.0
1918	4	17.9
1918	5	17.5
1918	6	17.5
1918	7	18.1
1918	8	18.2
1918	9	18.0
1918	10	17.7
1918	11	17.8
1919	0	18.0
1919	1	18.2
1919	2	18.2
1919	3	18.0
1919	4	17.9
1919	5	17.5
1919	6	17.5
1919	7	18.1
1919	8	18.2
1919	9	18.0
1919	10	17.7
1919	11	17.8
1920	0	18.0
1920	1	18.2
1920	2	18.2
1920	3	18.0
1920	4	17.9
1920	5	17.5
1920	6	17.5
1920	7	18.1
1920	8	18.2
1920	9	18.0
1920	10	17.7
1920	11	17.8
1921	0	18.0
1921	1	18.2
1921	2	18.2
1921	3	18.0
1921	4	17.9
1921	5	17.5
1921	6	17.5
1921	7	18.1
1921	8	18.2
1921	9	18.0
1921	10	17.7
1921	11	17.8
1922	0	18.0
1922	1	18.2
1922	2	18.2
1922	3	18.0
1922	4	17.9
1922	5	17.5
1922	6	17.5
1922	7	18.1
1922	8	18.2
1922	9	18.0
1922	10	17.7
1922	11	17.8
1923	0	18.0
1923	1	18.2
1923	2	18.2
1923	3	18.0
1923	4	17.9
1923	5	17.5
1923	6	17.5
1923	7	18.1
1923	8	18.2
1923	9	18.0
1923	10	17.7
1923	11	17.8
1924	0	18.0
1924	1	18.2
1924	2	18.2
1924	3	18.0
1924	4	17.9
1924	5	17.5
1924	6	17.5
1924	7	18.1
1924	8	18.2
1924	9	18.0
1924	10	17.7
1924	11	17.8
1925	0	18.0
1925	1	18.2
1925	2	18.2
1925	3	18.0
1925	4	17.9
1925	5	17.5
1925	6	17.5
1925	7	18.1
1925	8	18.2
1925	9	18.0
1925	10	17.7
1925	11	17.8
1926	0	18.0
1926	1	18.2
1926	2	18.2
1926	3	18.0
1926	4	17.9
1926	5	17.5
1926	6	17.5
1926	7	18.1
1926	8	18.2
1926	9	18.0
1926	10	17.7
1926	11	17.8
1927	0	18.0
1927	1	18.2
1927	2	18.2
1927	3	18.0
1927	4	17.9
1927	5	17.5
1927	6	17.5
1927	7	18.1
1927	8	18.2
1927	9	18.0
1927	10	17.7
1927	11	17.8
1928	0	18.0
1928	1	18.2
1928	2	18.2
1928	3	18.0
1928	4	17.9
1928	5	17.5
1928	6	17.5
1928	7	18.1
1928	8	18.2
1928	9	18.0
1928	10	17.7
1928	11	17.8
1929	0	18.0
1929	1	18.2
1929	2	18.2
1929	3	18.0
1929	4	17.9
1929	5	17.5
1929	6	17.5
1929	7	18.1
1929	8	18.2
1929	9	18.0
1929	10	17.7
1929	11	17.8
1930	0	18.0
1930	1	18.2
1930	2	18.2
1930	3	18.0
1930	4	17.9
1930	5	17.5
1930	6	17.5
1930	7	18.1
1930	8	18.2
1930	9	18.0
1930	10	17.7
1930	11	17.8
1931	0	18.0
1931	1	18.2
1931	2	18.2
1931	3	18.0
1931	4	17.9
1931	5	17.5
1931	6	17.5
1931	7	18.1
1931	8	18.2
1931	9	18.0
1931	10	17.7
1931	11	17.8
1932	0	18.0
1932	1	18.2
1932	2	18.2
1932	3	18.0
1932	4	17.9
1932	5	17.5
1932	6	17.5
1932	7	18.1
1932	8	18.2
1932	9	18.0
1932	10	17.7
1932	11	17.8
1933	0	18.0
1933	1	18.2
1933	2	18.2
1933	3	18.0
1933	4	17.9
1933	5	17.5
1933	6	17.5
1933	7	18.1
1933	8	18.2
1933	9	18.0
1933	10	17.7
1933	11	17.8
1934	0	17.9
1934	1	18.1
1934	2	18.1
1934	3	17.9
1934	4	18.0
1934	5	17.5
1934	6	17.5
1934	7	18.2
1934	8	18.1
1934	9	17.9
1934	10	17.6
1934	11	17.7
1935	0	18.0
1935	1	18.0
1935	2	18.2
1935	3	17.9
1935	4	17.9
1935	5	17.6
1935	6	17.4
1935	7	18.0
1935	8	18.3
1935	9	18.3
1935	10	17.7
1935	11	17.8
1936	0	17.9
1936	1	18.2
1936	2	18.1
1936	3	17.9
1936	4	18.0
1936	5	17.6
1936	6	17.5
1936	7	18.0
1936	8	18.1
1936	9	18.1
1936	10	17.9
1936	11	17.7
1937	0	18.0
1937	1	18.3
1937	2	18.1
1937	3	17.9
1937	4	17.8
1937	5	17.5
1937	6	17.4
1937	7	18.0
1937	8	18.2
1937	9	18.0
1937	10	17.8
1937	11	17.8
1938	0	18.1
1938	1	18.2
1938	2	18.1
1938	3	18.1
1938	4	17.9
1938	5	17.5
1938	6	17.6
1938	7	18.1
1938	8	18.3
1938	9	18.1
1938	10	17.8
1938	11	17.8
1939	0	18.0
1939	1	18.2
1939	2	18.1
1939	3	17.9
1939	4	17.9
1939	5	17.4
1939	6	17.6
1939	7	18.3
1939	8	18.2
1939	9	18.0
1939	10	17.7
1939	11	17.8
1940	0	17.8
1940	1	18.2
1940	2	18.0
1940	3	17.9
1940	4	17.9
1940	5	17.7
1940	6	17.4
1940	7	18.3
1940	8	18.4
1940	9	17.9
1940	10	17.7
1940	11	17.9
1941	0	19.0
1941	1	19.9
1941	2	18.9
1941	3	18.8
1941	4	18.3
1941	5	17.7
1941	6	17.5
1941	7	18.1
1941	8	18.4
1941	9	18.5
1941	10	17.3
1941	11	17.5
1942	0	18.7
1942	1	19.3
1942	2	18.3
1942	3	17.8
1942	4	18.2
1942	5	18.0
1942	6	17.2
1942	7	17.7
1942	8	18.1
1942	9	18.2
1942	10	17.8
1942	11	18.1
1943	0	18.5
1943	1	17.9
1943	2	18.0
1943	3	18.1
1943	4	17.9
1943	5	17.4
1943	6	17.3
1943	7	17.6
1943	8	17.8
1943	9	18.1
1943	10	18.7
1943	11	18.9
1944	0	18.8
1944	1	18.5
1944	2	17.4
1944	3	17.8
1944	4	17.7
1944	5	18.6
1944	6	17.6
1944	7	17.9
1944	8	18.0
1944	9	18.4
1944	10	18.4
1944	11	18.2
1945	0	18.6
1945	1	18.4
1945	2	19.5
1945	3	18.7
1945	4	17.7
1945	5	16.8
