id	name	population
IND	India	1960,120.576	1961,130.3929	1962,143.4518	1963,154.0682	1964,150.639	1965,165.9614	1966,171.6884	1967,172.0931	1968,187.1046	1969,190.4004	1970,194.729	1971,205.3295	1972,217.1819	1973,223.6023	1974,231.1847	1975,251.1933	1976,262.5318	1977,277.6483	1978,281.5392	1979,295.299	1980,312.4849	1981,337.1052	1982,347.8156	1983,376.6763	1984,385.9288	1985,424.256	1986,455.0665	1987,486.0673	1988,525.0817	1989,576.4045	1990,616.5791	1991,656.7409	1992,698.7569	1993,722.8943	1994,764.242	1995,811.4608	1996,878.827	1997,915.0493	1998,933.5493	1999,995.2331	2000,1029.6378	2001,1035.6407	2002,1047.5957	2003,1091.873	2004,1145.5452	2005,1210.1457	2006,1287.1492	2007,1390.2535	2008,1547.991	2009,1720.1206	2010,1700.0274	2011,1817.1716	2012,1983.7588	2013,1997.8786	2014,2207.5339	2015,2276.4072	2016,2377.4479	2017,2466.7654

CHN	China	1960,778.9795	1961,550.9585	1962,439.3421	1963,435.5176	1964,435.7037	1965,474.6806	1966,521.4589	1967,432.2236	1968,467.8056	1969,575.9447	1970,770.1672	1971,874.0164	1972,928.894	1973,965.6466	1974,985.0852	1975,1142.1019	1976,1190.9645	1977,1304.4028	1978,1455.2575	1979,1487.1131	1980,1458.8867	1981,1442.7823	1982,1570.4683	1983,1655.8105	1984,1802.3171	1985,1951.7732	1986,2052.242	1987,2191.053	1988,2347.7635	1989,2386.885	1990,2420.3021	1991,2538.924	1992,2657.1124	1993,2835.7955	1994,3010.2422	1995,3265.057	1996,3408.3466	1997,3414.5493	1998,3265.9026	1999,3258.1349	2000,3349.2948	2001,3426.1441	2002,3782.4393	2003,4452.3103	2004,5125.8944	2005,5771.1684	2006,6377.748	2007,6861.7507	2008,7375.1899	2009,7758.8118	2010,8500.5427	2011,9388.1992	2012,9633.8993	2013,9796.5272	2014,9820.3605	2015,9716.4678	2016,9704.4794	2017,9838.754

IDN	Indonesia	1960,21.3852	1961,26.0016	1962,22.9749	1963,22.7631	1964,22.3743	1965,24.6682	1966,23.375	1967,24.54	1968,27.5626	1969,33.3622	1970,35.7914	1971,38.9554	1972,43.3065	1973,49.0986	1974,51.2272	1975,53.9337	1976,61.7906	1977,82.4205	1978,93.9446	1979,95.1462	1980,94.8856	1981,100.3136	1982,105.6036	1983,105.207	1984,112.4873	1985,121.6304	1986,122.2043	1987,123.9224	1988,132.7693	1989,131.7319	1990,150.3454	1991,180.6953	1992,203.6594	1993,219.8563	1994,222.9676	1995,226.6699	1996,255.2071	1997,280.8965	1998,216.1049	1999,244.1016	2000,265.9832	2001,297.7706	2002,307.5782	2003,316.8542	2004,340.0765	2005,343.5799	2006,346.6997	2007,377.1226	2008,417.792	2009,447.3011	2010,427.7895	2011,601.3254	2012,633.145	2013,486.13	2014,460.0157	2015,459.6288	2016,464.8568	2017,486.8438

BRA	Brazil	1960,46.8518	1961,49.1445	1962,53.6314	1963,55.5509	1964,56.6667	1965,56.3296	1966,64.2116	1967,66.0794	1968,77.2714	1969,84.1327	1970,93.5305	1971,102.3579	1972,114.0143	1973,132.0196	1974,142.9273	1975,150.5137	1976,154.3981	1977,162.0783	1978,175.9315	1979,187.1551	1980,185.7583	1981,170.4679	1982,170.7893	1983,165.427	1984,167.6056	1985,179.9368	1986,197.2262	1987,205.7887	1988,207.563	1989,212.1136	1990,206.9211	1991,217.2275	1992,218.3835	1993,228.3332	1994,239.4707	1995,255.5834	1996,281.1948	1997,296.5853	1998,308.3057	1999,316.2824	2000,324.226	2001,332.9874	2002,327.4348	2003,317.5084	2004,333.6751	2005,342.0865	2006,341.9464	2007,356.9188	2008,380.3449	2009,360.0908	2010,411.2402	2011,430.1949	2012,460.0631	2013,493.5935	2014,519.5263	2015,512.0819	2016,473.7414	2017,476.0668

PAK	Pakistan	1960,11.9264	1961,12.3496	1962,13.5699	1963,15.6002	1964,16.039	1965,16.8296	1966,17.1258	1967,18.1759	1968,20.8418	1969,20.2134	1970,20.5044	1971,19.4406	1972,18.903	1973,20.0085	1974,21.3874	1975,23.1878	1976,22.7885	1977,24.3199	1978,26.0506	1979,28.1345	1980,31.9316	1981,34.2328	1982,37.1896	1983,40.0222	1984,42.5573	1985,46.8135	1986,49.0586	1987,52.9885	1988,57.6073	1989,60.3166	1990,67.8285	1991,67.4778	1992,72.015	1993,77.1766	1994,84.0193	1995,83.6151	1996,93.5374	1997,93.7876	1998,96.7421	1999,99.3905	2000,105.4184	2001,107.1262	2002,112.9036	2003,117.4907	2004,129.9595	2005,134.7562	2006,143.7267	2007,155.8442	2008,155.3562	2009,155.219	2010,157.7647	2011,158.342	2012,159.7276	2013,160.5957	2014,162.4276	2015,172.09	2016,187.4054	2017,198.81

BGD	Bangladesh	1960,2.2119	1961,2.2904	1962,2.5168	1963,2.8932	1964,2.9746	1965,3.1213	1966,3.1763	1967,3.3711	1968,3.8657	1969,3.7493	1970,3.8032	1971,3.6061	1972,3.5064	1973,4.5506	1974,4.6566	1975,4.8651	1976,5.5641	1977,5.8026	1978,6.0054	1979,6.634	1980,7.621	1981,7.9118	1982,8.5777	1983,8.2138	1984,9.1008	1985,10.2112	1986,11.4337	1987,11.8303	1988,13.5103	1989,13.4163	1990,15.49	1991,15.9026	1992,17.7088	1993,17.3679	1994,18.928	1995,22.7714	1996,23.9496	1997,24.948	1998,23.9111	1999,25.0174	2000,27.5049	2001,31.9439	2002,33.1854	2003,35.1406	2004,37.1619	2005,38.9159	2006,42.9557	2007,43.7664	2008,48.3076	2009,52.2926	2010,58.2818	2011,61.5975	2012,65.6025	2013,67.7065	2014,71.1457	2015,83.5008	2016,85.2536	2017,88.0575
