id	name	population
AFG	Afghanistan	3814697.26562
ALB	Albania	2194972.62394
DZA	Algeria	151939915.085
AGO	Angola	101559956.668
197	Antigua and Barbuda	323450441.234
ARG	Argentina	13339032.3257
ARM	Armenia	304006.671424
AUS	Australia	101559956.668
AUT	Austria	151334.226289
AZE	Azerbaijan	4608273.66272
BHS	"Bahamas, The"	256096265.048
163	Bahrain	354233654.641
BGD	Bangladesh	256096265.048
180	Barbados	354233654.641
197	Antigua and Barbuda	330928743.954
BLR	Belarus	326940.373369
BEL	Belgium	1677100.11084
BLZ	Belize	294929514.414
BEN	Benin	442032795.98
201	Bermuda	136821750.709
BOL	Bolivia	88245939.6328
BRA	Brazil	232653764.952
BGR	Bulgaria	1586874.32294
BFA	Burkina Faso	502915070.39
BDI	Burundi	54980371.2656
KHM	Cambodia	396109944.105
CMR	Cameroon	216270112.516
CAN	Canada	30840.979456
CAF	Central African Republic	227081481.824
TCD	Chad	316113500.536
CHL	Chile	433626.201009
CHN	China	151334.226289
COL	Colombia	195930594.145
160	Comoros	268535866.54
COD	"Congo, Democratic Republic of the"	221620863.468
COG	"Congo, Republic of the"	221620863.468
CRI	Costa Rica	227081481.824
HRV	Croatia	2081951.75261
CUB	Cuba	281474976.711
CYP	Cyprus	32894113.4449
CZE	Czech Republic	433626.201009
DNK	Denmark	567869.252041
DJI	Djibouti	502915070.39
DOM	Dominican Republic	140478247.932
DOM	Dominica	140478247.932
DOM	Dominican Republic	140478247.932
DOM	Dominican Republic	216270112.516
DOM	Dominican Republic	216270112.516
ECU	Ecuador	107334407.094
EGY	Egypt	116507435.287
SLV	El Salvador	221620863.468
GNQ	Equatorial Guinea	227081481.824
GNQ	Equatorial Guinea	227081481.824
EST	Estonia	139314.069504
ETH	Ethiopia	110322650.965
FJI	Fiji	216270112.516
FIN	Finland	3518.743761
FRA	France	2839760.85528
GAB	Gabon	250058907.189
GMB	"Gambia, The"	442032795.98
GEO	Georgia	51520.374361
DEU	Germany	941480.149401
GHA	Ghana	432510009.766
GRC	Greece	12332795.4289
GRL	Greenland	24137569.0
190	Grenada	387420489.0
GTM	Guatemala	172771465.794
GNQ	Equatorial Guinea	288136807.516
