year	month	temp
1901	0	-1.2
1901	1	-2.2
1901	2	-2.1
1901	3	-1.9
1901	4	4.5
1901	5	6.8
1901	6	9.2
1901	7	7.7
1901	8	7.4
1901	9	0.6
1901	10	-1.1
1901	11	-4.3
1902	0	-6.2
1902	1	-5.2
1902	2	-4.7
1902	3	-1.6
1902	4	1.6
1902	5	5.6
1902	6	7.6
1902	7	7.0
1902	8	5.7
1902	9	2.9
1902	10	0.2
1902	11	-1.3
1903	0	-3.6
1903	1	-4.0
1903	2	-3.9
1903	3	-2.2
1903	4	2.7
1903	5	6.4
1903	6	8.1
1903	7	5.8
1903	8	5.6
1903	9	0.6
1903	10	-2.6
1903	11	-1.6
1904	0	-3.0
1904	1	-3.6
1904	2	-2.6
1904	3	-0.8
1904	4	3.5
1904	5	7.5
1904	6	9.4
1904	7	8.1
1904	8	6.8
1904	9	0.6
1904	10	-3.0
1904	11	-3.2
1905	0	-4.0
1905	1	-4.9
1905	2	-0.4
1905	3	-1.4
1905	4	3.6
1905	5	7.9
1905	6	8.4
1905	7	7.7
1905	8	5.2
1905	9	0.6
1905	10	-1.3
1905	11	-1.6
1906	0	-2.0
1906	1	-4.9
1906	2	-3.4
1906	3	-1.7
1906	4	0.3
1906	5	7.5
1906	6	7.7
1906	7	7.1
1906	8	6.1
1906	9	1.9
1906	10	-1.6
1906	11	-5.1
1907	0	-2.5
1907	1	-5.6
1907	2	-3.9
1907	3	-0.1
1907	4	2.3
1907	5	4.5
1907	6	7.5
1907	7	5.8
1907	8	3.8
1907	9	0.2
1907	10	-1.9
1907	11	-0.7
1908	0	-2.3
1908	1	-4.0
1908	2	-1.6
1908	3	0.3
1908	4	2.8
1908	5	6.4
1908	6	9.8
1908	7	7.6
1908	8	5.7
1908	9	4.6
1908	10	-1.6
1908	11	-1.8
1909	0	-3.4
1909	1	-0.5
1909	2	-3.3
1909	3	1.3
1909	4	2.9
1909	5	8.2
1909	6	8.4
1909	7	7.7
1909	8	5.9
1909	9	-0.3
1909	10	-1.4
1909	11	-5.7
1910	0	-4.5
1910	1	-4.2
1910	2	-1.2
1910	3	-2.8
1910	4	2.8
1910	5	5.7
1910	6	8.5
1910	7	7.9
1910	8	5.5
1910	9	3.3
1910	10	-4.3
1910	11	-2.3
1911	0	-2.5
1911	1	-4.1
1911	2	-1.7
1911	3	-0.8
1911	4	4.3
1911	5	6.3
1911	6	8.2
1911	7	7.7
1911	8	4.4
1911	9	2.3
1911	10	-1.5
1911	11	-0.7
1912	0	-1.5
1912	1	-4.8
1912	2	-2.4
1912	3	0.1
1912	4	4.3
1912	5	7.1
1912	6	8.9
1912	7	6.0
1912	8	6.1
1912	9	2.4
1912	10	-2.7
1912	11	-3.9
1913	0	-1.7
1913	1	-1.7
1913	2	-4.3
1913	3	0.7
1913	4	3.8
1913	5	6.2
1913	6	9.5
1913	7	8.1
1913	8	5.6
1913	9	1.2
1913	10	-2.2
1913	11	-3.1
1914	0	-1.0
1914	1	-4.3
1914	2	-4.6
1914	3	-2.0
1914	4	1.0
1914	5	6.4
1914	6	8.3
1914	7	8.6
1914	8	4.8
1914	9	3.0
1914	10	-3.4
1914	11	-3.5
1915	0	-2.2
1915	1	-4.3
1915	2	-4.5
1915	3	-0.3
1915	4	3.0
1915	5	6.7
1915	6	7.0
1915	7	8.0
1915	8	5.1
1915	9	5.2
1915	10	-0.2
1915	11	-4.2
1916	0	-2.3
1916	1	-2.5
1916	2	-3.8
1916	3	-2.1
1916	4	2.3
1916	5	7.0
1916	6	9.5
1916	7	8.7
1916	8	5.5
1916	9	2.3
1916	10	-1.4
1916	11	-5.3
1917	0	-2.4
1917	1	-1.5
1917	2	-1.6
1917	3	-4.2
1917	4	2.8
1917	5	5.6
1917	6	9.8
1917	7	8.2
1917	8	4.0
1917	9	-2.2
1917	10	-3.4
1917	11	-5.6
1918	0	-8.0
1918	1	-4.3
1918	2	-0.7
1918	3	-0.6
1918	4	4.6
1918	5	6.4
1918	6	7.6
1918	7	7.4
1918	8	2.7
1918	9	1.1
1918	10	-1.3
1918	11	-3.1
1919	0	-3.1
1919	1	-4.6
1919	2	-7.0
1919	3	-2.3
1919	4	4.0
1919	5	7.1
1919	6	9.5
1919	7	7.1
1919	8	3.8
1919	9	0.9
1919	10	-4.8
1919	11	-3.0
1920	0	-5.7
1920	1	-4.9
1920	2	-3.4
1920	3	-2.7
1920	4	2.1
1920	5	7.5
1920	6	8.5
1920	7	8.0
1920	8	5.9
1920	9	4.6
1920	10	0.1
1920	11	-2.0
1921	0	-4.8
1921	1	-0.1
1921	2	-4.0
1921	3	0.0
1921	4	1.7
1921	5	7.0
1921	6	8.2
1921	7	6.5
1921	8	4.2
1921	9	0.6
1921	10	-1.5
1921	11	-2.5
1922	0	-1.5
1922	1	-1.3
1922	2	-1.1
1922	3	-1.5
1922	4	2.1
1922	5	5.8
1922	6	7.4
1922	7	7.4
1922	8	3.6
1922	9	2.1
1922	10	-1.2
1922	11	-0.7
1923	0	-4.0
1923	1	-0.6
1923	2	1.7
1923	3	1.4
1923	4	2.3
1923	5	6.5
1923	6	8.0
1923	7	7.0
1923	8	3.2
1923	9	0.8
1923	10	-4.2
1923	11	-3.7
1924	0	-0.9
1924	1	-1.9
1924	2	-3.8
1924	3	-1.8
1924	4	1.8
1924	5	5.9
1924	6	8.6
1924	7	7.8
1924	8	3.6
1924	9	2.0
1924	10	0.3
1924	11	-1.0
1925	0	-1.5
1925	1	-3.9
1925	2	-1.7
1925	3	-0.4
1925	4	3.0
1925	5	7.7
1925	6	8.7
1925	7	8.1
1925	8	5.2
1925	9	0.6
1925	10	-0.5
1925	11	-4.6
1926	0	-1.4
1926	1	-0.1
1926	2	-2.5
1926	3	3.2
1926	4	3.4
1926	5	7.4
1926	6	10.2
1926	7	8.6
1926	8	4.4
1926	9	-1.5
1926	10	-1.7
1926	11	-2.0
1927	0	-4.1
1927	1	-1.0
1927	2	-0.2
1927	3	-1.5
1927	4	3.7
1927	5	6.9
1927	6	10.0
1927	7	8.2
1927	8	5.0
1927	9	1.0
1927	10	-0.7
1927	11	-1.7
1928	0	-3.1
1928	1	-2.2
1928	2	-0.7
1928	3	2.0
1928	4	5.6
1928	5	6.1
1928	6	9.0
1928	7	8.4
1928	8	6.8
1928	9	2.8
1928	10	-0.5
1928	11	-1.6
1929	0	-0.5
1929	1	0.5
1929	2	3.3
1929	3	1.3
1929	4	3.3
1929	5	6.5
1929	6	9.8
1929	7	7.5
1929	8	4.3
1929	9	-0.5
1929	10	-1.9
1929	11	-0.9
1930	0	-3.5
1930	1	-0.5
1930	2	-4.9
1930	3	2.2
1930	4	4.8
1930	5	7.5
1930	6	8.7
1930	7	8.0
1930	8	6.9
1930	9	0.8
1930	10	-4.0
1930	11	-1.2
1931	0	-3.7
1931	1	-5.9
1931	2	-2.8
1931	3	0.6
1931	4	3.4
1931	5	5.8
1931	6	8.6
1931	7	9.6
1931	8	7.3
1931	9	1.7
1931	10	0.3
1931	11	-2.3
1932	0	-2.8
1932	1	2.4
1932	2	-0.2
1932	3	-2.6
1932	4	4.8
1932	5	8.1
1932	6	8.9
1932	7	9.2
1932	8	4.3
1932	9	0.7
1932	10	-0.6
1932	11	-0.5
1933	0	0.1
1933	1	-4.4
1933	2	-0.6
1933	3	-0.4
1933	4	5.9
1933	5	9.0
1933	6	10.9
1933	7	9.1
1933	8	7.5
1933	9	1.2
1933	10	1.3
1933	11	1.8
1934	0	-1.7
1934	1	-0.9
1934	2	-2.6
1934	3	0.3
1934	4	2.8
1934	5	8.2
1934	6	9.9
1934	7	8.9
1934	8	6.2
1934	9	1.2
1934	10	-1.1
1934	11	0.3
1935	0	-0.1
1935	1	-6.0
1935	2	0.2
1935	3	-0.8
1935	4	5.9
1935	5	6.5
1935	6	8.8
1935	7	8.3
1935	8	5.6
1935	9	0.8
1935	10	0.2
1935	11	-2.8
1936	0	-6.1
1936	1	-4.4
1936	2	-2.0
1936	3	0.4
1936	4	5.9
1936	5	7.8
1936	6	10.0
1936	7	8.9
1936	8	6.5
1936	9	3.3
1936	10	-0.6
1936	11	-4.9
1937	0	-1.1
1937	1	-3.6
1937	2	-4.9
1937	3	1.8
1937	4	4.1
1937	5	7.4
1937	6	8.8
1937	7	8.4
1937	8	5.4
1937	9	1.5
1937	10	0.3
1937	11	-0.4
1938	0	-2.5
1938	1	-0.7
1938	2	-1.3
1938	3	2.2
1938	4	2.6
1938	5	6.2
1938	6	8.0
1938	7	8.3
1938	8	6.4
1938	9	2.3
1938	10	-1.2
1938	11	-0.4
1939	0	-3.9
1939	1	-1.7
1939	2	0.8
1939	3	1.0
1939	4	5.9
1939	5	8.2
1939	6	9.5
1939	7	10.0
1939	8	8.1
1939	9	4.5
1939	10	-1.9
1939	11	-2.5
1940	0	-1.1
1940	1	-2.5
1940	2	-3.4
1940	3	-0.6
1940	4	4.8
1940	5	8.0
1940	6	8.6
1940	7	7.7
1940	8	4.6
1940	9	2.7
1940	10	-1.8
1940	11	-0.7
1941	0	-3.2
1941	1	-4.6
1941	2	-1.6
1941	3	1.3
1941	4	5.1
1941	5	8.5
1941	6	9.8
1941	7	8.1
1941	8	8.2
1941	9	4.0
1941	10	1.6
1941	11	-0.1
1942	0	-0.2
1942	1	-1.9
1942	2	-0.6
1942	3	0.4
1942	4	3.9
1942	5	6.7
1942	6	8.7
1942	7	8.5
1942	8	4.8
1942	9	0.1
1942	10	0.9
1942	11	-1.2
1943	0	-3.0
1943	1	-4.3
1943	2	-1.4
1943	3	-0.2
1943	4	2.0
1943	5	6.5
1943	6	8.9
1943	7	6.0
1943	8	5.1
1943	9	1.7
1943	10	-0.8
1943	11	-0.3
1944	0	-4.4
1944	1	-2.4
1944	2	-1.2
1944	3	-0.1
1944	4	3.5
1944	5	6.9
1944	6	9.5
1944	7	8.6
1944	8	5.2
1944	9	2.0
1944	10	-2.5
1944	11	-2.5
1945	0	-4.8
1945	1	-2.4
1945	2	1.3
1945	3	1.4
1945	4	4.2
1945	5	7.0
1945	6	9.9
1945	7	9.3
1945	8	6.9
1945	9	3.9
1945	10	2.3
1945	11	-1.5
1946	0	0.9
1946	1	-2.5
1946	2	-0.5
1946	3	0.6
1946	4	5.8
1946	5	6.0
1946	6	9.2
1946	7	8.3
1946	8	5.6
1946	9	5.3
1946	10	-1.0
1946	11	0.7
1947	0	1.8
1947	1	-4.5
1947	2	-5.4
1947	3	-1.1
1947	4	5.6
1947	5	7.5
1947	6	9.4
1947	7	9.9
1947	8	6.0
1947	9	3.1
1947	10	-2.7
1947	11	-2.3
1948	0	-1.7
1948	1	0.5
1948	2	1.4
1948	3	-1.1
1948	4	2.6
1948	5	6.6
1948	6	8.7
1948	7	8.8
1948	8	3.6
1948	9	0.8
1948	10	-0.4
1948	11	-1.7
1949	0	-4.4
1949	1	-1.6
1949	2	-2.2
1949	3	-2.8
1949	4	1.0
1949	5	7.6
1949	6	9.2
1949	7	7.8
1949	8	6.7
1949	9	1.8
1949	10	0.0
1949	11	-3.6
1950	0	0.5
1950	1	-3.2
1950	2	-1.3
1950	3	-1.3
1950	4	4.4
1950	5	6.9
1950	6	9.3
1950	7	9.0
1950	8	4.9
1950	9	2.1
1950	10	-1.7
1950	11	-4.4
1951	0	-3.6
1951	1	-2.3
1951	2	-5.4
1951	3	-3.1
1951	4	4.7
1951	5	6.6
1951	6	8.8
1951	7	8.4
1951	8	6.5
1951	9	2.8
1951	10	-1.6
1951	11	-2.9
1952	0	-4.2
1952	1	-2.4
1952	2	-1.8
1952	3	0.2
1952	4	3.2
1952	5	5.3
1952	6	8.3
1952	7	7.4
1952	8	5.0
1952	9	3.4
1952	10	-0.3
1952	11	-1.5
1953	0	-1.8
1953	1	-0.9
1953	2	0.2
1953	3	-3.0
1953	4	4.0
1953	5	8.5
1953	6	9.2
1953	7	9.0
1953	8	7.3
1953	9	2.3
1953	10	-0.7
1953	11	0.6
1954	0	-0.1
1954	1	-1.8
1954	2	-1.8
1954	3	1.6
1954	4	4.5
1954	5	7.0
