year	month	temp
1901	0	19.4
1901	1	22.6
1901	2	23.6
1901	3	27.8
1901	4	30.4
1901	5	33.3
1901	6	33.2
1901	7	32.4
1901	8	30.8
1901	9	28.4
1901	10	23.9
1901	11	18.9
1902	0	20.2
1902	1	22.8
1902	2	25.0
1902	3	28.7
1902	4	31.5
1902	5	32.7
1902	6	33.5
1902	7	33.0
1902	8	31.1
1902	9	28.9
1902	10	25.6
1902	11	20.3
1903	0	20.1
1903	1	22.8
1903	2	25.0
1903	3	27.9
1903	4	30.9
1903	5	33.1
1903	6	32.7
1903	7	31.7
1903	8	30.6
1903	9	29.7
1903	10	24.8
1903	11	20.0
1904	0	19.7
1904	1	21.3
1904	2	24.7
1904	3	27.4
1904	4	31.0
1904	5	33.4
1904	6	33.2
1904	7	32.8
1904	8	31.4
1904	9	29.7
1904	10	25.3
1904	11	20.8
1905	0	20.1
1905	1	20.6
1905	2	24.5
1905	3	28.7
1905	4	30.8
1905	5	33.1
1905	6	33.4
1905	7	31.9
1905	8	30.6
1905	9	29.2
1905	10	24.5
1905	11	20.6
1906	0	20.4
1906	1	20.4
1906	2	25.5
1906	3	28.1
1906	4	30.7
1906	5	33.0
1906	6	32.5
1906	7	31.3
1906	8	30.9
1906	9	29.3
1906	10	24.7
1906	11	19.4
1907	0	19.2
1907	1	20.2
1907	2	23.4
1907	3	26.6
1907	4	30.3
1907	5	32.3
1907	6	33.6
1907	7	32.0
1907	8	31.4
1907	9	29.4
1907	10	24.5
1907	11	20.4
1908	0	20.3
1908	1	21.6
1908	2	24.6
1908	3	27.7
1908	4	31.5
1908	5	33.4
1908	6	33.4
1908	7	31.7
1908	8	31.6
1908	9	29.7
1908	10	25.4
1908	11	21.0
1909	0	20.2
1909	1	22.7
1909	2	26.2
1909	3	28.3
1909	4	31.7
1909	5	32.2
1909	6	32.6
1909	7	31.3
1909	8	31.0
1909	9	29.3
1909	10	25.3
1909	11	21.1
1910	0	19.0
1910	1	21.8
1910	2	25.0
1910	3	27.0
1910	4	30.6
1910	5	33.1
1910	6	32.6
1910	7	31.8
1910	8	31.4
1910	9	29.5
1910	10	25.7
1910	11	20.9
1911	0	19.3
1911	1	21.6
1911	2	23.7
1911	3	27.9
1911	4	30.2
1911	5	32.3
1911	6	32.8
1911	7	32.0
1911	8	31.6
1911	9	29.6
1911	10	24.2
1911	11	20.2
1912	0	20.0
1912	1	23.8
1912	2	25.7
1912	3	28.3
1912	4	31.6
1912	5	33.5
1912	6	32.8
1912	7	31.7
1912	8	31.0
1912	9	28.7
1912	10	24.1
