year	month	temp
1901	0	18.5
1901	1	21.7
1901	2	25.6
1901	3	30.1
1901	4	32.3
1901	5	32.8
1901	6	31.3
1901	7	30.4
1901	8	30.4
1901	9	28.4
1901	10	23.5
1901	11	19.6
1902	0	18.6
1902	1	21.6
1902	2	25.8
1902	3	30.4
1902	4	32.7
1902	5	32.5
1902	6	31.3
1902	7	30.4
1902	8	30.3
1902	9	28.1
1902	10	23.5
1902	11	19.9
1903	0	18.9
1903	1	21.8
1903	2	25.9
1903	3	30.2
1903	4	32.6
1903	5	32.8
1903	6	31.2
1903	7	30.4
1903	8	30.4
1903	9	28.4
1903	10	23.5
1903	11	19.9
1904	0	18.9
1904	1	21.8
1904	2	25.9
1904	3	30.2
1904	4	32.6
1904	5	32.8
1904	6	31.3
1904	7	30.4
1904	8	30.4
1904	9	28.4
1904	10	23.5
1904	11	19.9
1905	0	18.4
1905	1	20.7
1905	2	25.3
1905	3	30.1
1905	4	32.6
1905	5	32.5
1905	6	31.3
1905	7	30.2
1905	8	30.3
1905	9	28.3
1905	10	24.0
1905	11	20.3
1906	0	18.5
1906	1	21.7
1906	2	25.9
1906	3	31.0
1906	4	32.7
1906	5	33.1
1906	6	31.2
1906	7	30.3
1906	8	30.9
1906	9	28.7
1906	10	23.8
1906	11	20.4
1907	0	18.9
1907	1	21.1
1907	2	25.6
1907	3	29.9
1907	4	32.9
1907	5	32.7
1907	6	31.5
1907	7	30.3
1907	8	30.5
1907	9	29.0
1907	10	23.7
1907	11	19.5
1908	0	18.8
1908	1	21.4
1908	2	25.6
1908	3	30.3
1908	4	33.1
1908	5	33.1
1908	6	31.5
1908	7	30.2
1908	8	30.4
1908	9	28.3
1908	10	23.2
1908	11	19.7
1909	0	18.8
1909	1	22.1
1909	2	26.7
1909	3	30.1
1909	4	32.4
1909	5	32.2
1909	6	30.7
1909	7	29.7
1909	8	30.4
1909	9	27.9
1909	10	23.7
1909	11	20.0
1910	0	18.4
1910	1	21.9
1910	2	25.7
1910	3	30.0
1910	4	32.7
1910	5	33.3
1910	6	31.6
1910	7	30.5
1910	8	30.5
1910	9	28.3
1910	10	23.5
1910	11	19.9
1911	0	18.7
1911	1	21.6
1911	2	25.7
1911	3	30.1
1911	4	32.4
1911	5	32.6
1911	6	31.3
1911	7	30.3
1911	8	30.3
1911	9	28.3
1911	10	23.7
1911	11	19.6
1912	0	18.9
1912	1	21.8
1912	2	25.7
1912	3	30.5
1912	4	32.7
1912	5	32.8
1912	6	31.6
1912	7	30.6
1912	8	30.6
1912	9	28.3
1912	10	23.2
1912	11	19.9
1913	0	19.0
1913	1	21.8
1913	2	25.1
1913	3	30.0
1913	4	32.9
1913	5	33.4
1913	6	32.0
1913	7	31.1
1913	8	31.2
1913	9	28.3
1913	10	23.2
1913	11	19.7
1914	0	19.7
1914	1	21.6
1914	2	25.5
1914	3	30.0
1914	4	33.1
1914	5	33.4
1914	6	31.9
1914	7	30.4
1914	8	30.6
1914	9	28.6
1914	10	24.2
1914	11	19.9
1915	0	18.5
1915	1	21.5
1915	2	26.0
1915	3	29.9
1915	4	32.6
1915	5	32.5
1915	6	31.3
1915	7	30.4
1915	8	30.2
1915	9	28.2
1915	10	23.3
1915	11	19.7
1916	0	18.5
1916	1	21.3
1916	2	25.8
1916	3	29.9
1916	4	32.4
1916	5	32.6
1916	6	31.3
1916	7	30.2
1916	8	30.1
1916	9	28.1
1916	10	23.0
1916	11	19.9
1917	0	18.9
1917	1	21.8
1917	2	25.5
1917	3	29.9
1917	4	32.3
1917	5	32.6
1917	6	31.3
1917	7	30.4
1917	8	30.1
1917	9	28.1
1917	10	22.9
1917	11	19.8
1918	0	18.7
1918	1	21.1
1918	2	25.3
1918	3	29.9
1918	4	32.4
1918	5	32.8
1918	6	31.3
1918	7	30.1
1918	8	30.1
1918	9	28.2
1918	10	23.3
1918	11	19.9
1919	0	18.9
1919	1	21.8
1919	2	25.9
1919	3	30.2
1919	4	32.6
1919	5	32.8
1919	6	31.3
1919	7	30.4
1919	8	30.4
1919	9	28.4
1919	10	23.6
1919	11	19.9
1920	0	18.9
1920	1	21.8
1920	2	25.9
1920	3	30.2
1920	4	32.6
1920	5	32.8
1920	6	31.3
1920	7	30.4
1920	8	30.4
1920	9	28.4
1920	10	23.5
1920	11	19.9
1921	0	18.9
1921	1	21.8
1921	2	25.9
1921	3	30.1
1921	4	32.6
1921	5	32.8
1921	6	31.3
1921	7	30.4
1921	8	30.4
1921	9	28.4
1921	10	23.5
1921	11	19.9
1922	0	18.9
1922	1	21.8
1922	2	25.9
1922	3	30.2
1922	4	32.7
1922	5	32.8
1922	6	31.3
1922	7	30.1
1922	8	30.0
1922	9	28.2
1922	10	23.3
1922	11	19.7
1923	0	19.9
1923	1	21.4
1923	2	26.9
1923	3	30.4
1923	4	32.8
1923	5	32.6
1923	6	30.8
1923	7	29.4
1923	8	30.1
1923	9	28.9
1923	10	24.4
1923	11	20.7
1924	0	19.6
1924	1	24.0
1924	2	27.9
1924	3	31.0
1924	4	33.5
1924	5	32.9
1924	6	30.2
1924	7	29.2
1924	8	29.3
1924	9	28.4
1924	10	23.3
1924	11	19.3
1925	0	15.9
1925	1	20.1
1925	2	26.4
1925	3	30.3
1925	4	32.1
1925	5	31.9
1925	6	31.0
1925	7	29.6
1925	8	30.2
1925	9	27.6
1925	10	24.1
1925	11	20.3
1926	0	19.6
1926	1	21.7
1926	2	25.2
1926	3	29.1
1926	4	32.9
1926	5	33.1
1926	6	32.7
1926	7	30.7
1926	8	30.9
1926	9	28.6
1926	10	24.7
1926	11	20.6
1927	0	18.7
1927	1	21.9
1927	2	27.0
1927	3	30.0
1927	4	33.6
1927	5	33.0
1927	6	31.5
1927	7	29.4
1927	8	30.7
1927	9	29.6
1927	10	24.7
1927	11	21.6
1928	0	19.7
1928	1	21.6
1928	2	26.8
1928	3	30.1
1928	4	33.1
1928	5	32.3
1928	6	32.3
1928	7	29.0
1928	8	30.9
1928	9	29.1
1928	10	24.4
1928	11	19.7
1929	0	18.1
1929	1	22.2
1929	2	26.6
1929	3	30.0
1929	4	33.7
1929	5	32.6
1929	6	29.8
1929	7	29.5
1929	8	30.9
1929	9	29.3
1929	10	25.5
1929	11	18.8
1930	0	19.1
1930	1	23.9
1930	2	27.0
1930	3	32.0
1930	4	33.4
1930	5	33.4
1930	6	31.0
1930	7	30.3
1930	8	31.3
1930	9	29.2
1930	10	25.3
1930	11	23.0
1931	0	20.7
1931	1	23.1
1931	2	27.6
1931	3	32.2
1931	4	33.9
1931	5	32.9
1931	6	31.9
1931	7	30.9
1931	8	30.3
1931	9	29.5
1931	10	25.6
1931	11	22.0
1932	0	18.6
1932	1	22.1
1932	2	27.2
1932	3	30.5
1932	4	32.8
1932	5	33.1
1932	6	31.0
1932	7	29.8
1932	8	30.5
1932	9	27.0
1932	10	24.7
1932	11	20.5
1933	0	19.5
1933	1	21.9
1933	2	25.5
1933	3	30.5
1933	4	31.5
1933	5	32.0
1933	6	31.5
1933	7	30.3
1933	8	30.6
1933	9	27.4
1933	10	25.4
1933	11	21.1
1934	0	17.9
1934	1	20.7
1934	2	26.3
1934	3	31.1
1934	4	32.8
1934	5	32.9
1934	6	31.5
1934	7	29.6
1934	8	31.1
1934	9	30.3
1934	10	25.7
1934	11	20.7
1935	0	19.5
1935	1	22.2
1935	2	27.0
1935	3	30.0
1935	4	33.4
1935	5	32.8
1935	6	31.8
1935	7	30.2
1935	8	30.5
1935	9	29.0
1935	10	25.8
1935	11	21.3
1936	0	18.9
1936	1	23.5
1936	2	28.4
1936	3	31.2
1936	4	33.9
1936	5	33.1
1936	6	29.9
1936	7	28.2
1936	8	29.3
1936	9	28.2
1936	10	25.1
1936	11	20.5
1937	0	18.8
1937	1	22.2
1937	2	26.9
1937	3	30.6
1937	4	33.0
1937	5	33.6
1937	6	31.4
1937	7	30.5
1937	8	30.7
1937	9	30.0
1937	10	25.1
1937	11	21.2
1938	0	19.8
1938	1	22.5
1938	2	26.0
1938	3	31.5
1938	4	33.4
1938	5	34.5
1938	6	32.0
1938	7	30.3
1938	8	30.8
1938	9	29.5
1938	10	26.2
1938	11	22.4
1939	0	20.4
1939	1	23.1
1939	2	27.3
1939	3	29.4
1939	4	32.5
1939	5	33.0
1939	6	31.6
1939	7	30.6
1939	8	30.3
1939	9	29.5
1939	10	24.6
1939	11	21.9
1940	0	18.9
1940	1	21.8
1940	2	25.9
1940	3	30.2
1940	4	32.7
1940	5	32.8
1940	6	31.3
1940	7	30.4
1940	8	30.4
1940	9	28.4
1940	10	23.5
1940	11	19.9
1941	0	21.5
1941	1	22.5
1941	2	27.7
1941	3	31.9
1941	4	33.5
1941	5	32.5
1941	6	32.1
1941	7	30.9
1941	8	30.9
1941	9	29.0
1941	10	24.7
1941	11	21.1
1942	0	20.0
1942	1	23.3
1942	2	26.6
1942	3	30.6
1942	4	32.6
1942	5	33.7
1942	6	31.8
1942	7	30.0
1942	8	31.4
1942	9	28.6
1942	10	24.7
1942	11	21.1
1943	0	19.5
1943	1	21.8
1943	2	25.4
1943	3	28.9
1943	4	31.7
1943	5	31.8
1943	6	31.4
1943	7	29.6
1943	8	29.7
1943	9	29.0
1943	10	25.5
1943	11	21.2
1944	0	17.6
1944	1	21.4
1944	2	25.6
1944	3	29.0
1944	4	32.3
1944	5	33.4
1944	6	32.0
1944	7	30.0
1944	8	29.9
1944	9	29.1
1944	10	24.2
1944	11	21.4
1945	0	20.3
1945	1	20.1
1945	2	23.5
1945	3	28.4
1945	4	30.9
1945	5	32.0
1945	6	31.9
1945	7	30.0
1945	8	29.7
1945	9	27.7
1945	10	24.0
1945	11	18.9
1946	0	19.9
1946	1	22.2
1946	2	25.7
1946	3	29.6
1946	4	32.0
1946	5	32.2
1946	6	30.8
1946	7	29.6
1946	8	29.4
1946	9	28.0
1946	10	24.5
1946	11	19.3
1947	0	18.7
1947	1	25.2
1947	2	25.5
1947	3	28.9
1947	4	32.2
1947	5	32.6
1947	6	32.0
1947	7	30.1
1947	8	30.0
1947	9	28.1
1947	10	23.5
1947	11	20.8
1948	0	18.4
1948	1	21.8
1948	2	23.1
1948	3	29.5
1948	4	33.2
1948	5	31.8
1948	6	31.3
1948	7	30.1
1948	8	29.9
1948	9	27.1
1948	10	22.5
1948	11	18.7
1949	0	18.6
1949	1	20.8
1949	2	26.3
1949	3	29.8
1949	4	32.5
1949	5	32.5
1949	6	31.3
1949	7	29.6
1949	8	29.4
1949	9	28.9
1949	10	25.2
1949	11	20.0
1950	0	19.3
1950	1	20.0
1950	2	26.1
1950	3	28.0
1950	4	31.5
1950	5	32.0
1950	6	30.3
1950	7	28.7
1950	8	29.1
1950	9	27.7
1950	10	23.1
1950	11	19.6
1951	0	18.8
1951	1	22.3
1951	2	27.1
1951	3	28.9
1951	4	33.1
1951	5	32.7
1951	6	31.8
1951	7	30.4
1951	8	29.8
1951	9	29.2
1951	10	23.1
1951	11	18.0
1952	0	19.5
1952	1	20.6
1952	2	24.8
1952	3	29.7
1952	4	32.8
1952	5	32.3
1952	6	31.4
1952	7	29.0
1952	8	29.2
1952	9	28.2
1952	10	23.5
1952	11	19.3
1953	0	19.0
1953	1	23.5
1953	2	26.4
1953	3	27.9
1953	4	32.4
1953	5	31.5
1953	6	30.3
1953	7	29.5
1953	8	29.4
1953	9	27.8
1953	10	24.1
1953	11	18.2
1954	0	18.7
1954	1	22.5
1954	2	26.5
1954	3	30.5
1954	4	31.8
1954	5	31.9
1954	6	30.4
1954	7	28.5
1954	8	29.1
1954	9	27.4
1954	10	24.4
1954	11	19.7
1955	0	20.0
1955	1	22.6
1955	2	25.9
1955	3	29.4
1955	4	31.4
1955	5	31.8
1955	6	31.0
1955	7	30.1
1955	8	29.5
1955	9	28.0
1955	10	23.3
1955	11	19.1
