year	month	temp
1901	0	26.2
1901	1	24.9
1901	2	21.8
1901	3	22.7
1901	4	18.0
1901	5	15.5
1901	6	15.6
1901	7	17.6
1901	8	19.5
1901	9	19.8
1901	10	22.2
1901	11	23.9
1902	0	24.0
1902	1	24.7
1902	2	23.5
1902	3	21.5
1902	4	19.3
1902	5	16.1
1902	6	16.7
1902	7	17.7
1902	8	20.0
1902	9	20.3
1902	10	21.9
1902	11	24.1
1903	0	25.3
1903	1	24.4
1903	2	23.0
1903	3	21.3
1903	4	19.8
1903	5	16.3
1903	6	15.8
1903	7	18.4
1903	8	20.0
1903	9	21.5
1903	10	21.5
1903	11	23.6
1904	0	24.7
1904	1	23.7
1904	2	22.8
1904	3	21.6
1904	4	19.2
1904	5	17.1
1904	6	16.1
1904	7	17.8
1904	8	19.1
1904	9	20.8
1904	10	22.6
1904	11	23.4
1905	0	24.7
1905	1	23.5
1905	2	22.1
1905	3	21.3
1905	4	19.1
1905	5	16.7
1905	6	16.3
1905	7	17.4
1905	8	20.1
1905	9	21.5
1905	10	21.7
1905	11	23.9
1906	0	25.9
1906	1	23.8
1906	2	23.0
1906	3	20.4
1906	4	19.1
1906	5	17.0
1906	6	16.2
1906	7	17.3
1906	8	19.2
1906	9	20.0
1906	10	21.4
1906	11	23.4
1907	0	24.5
1907	1	24.1
1907	2	23.7
1907	3	20.5
1907	4	18.8
1907	5	16.0
1907	6	15.5
1907	7	17.6
1907	8	19.5
1907	9	20.1
1907	10	21.3
1907	11	23.1
1908	0	24.2
1908	1	24.0
1908	2	23.0
1908	3	20.4
1908	4	18.3
1908	5	16.5
1908	6	16.0
1908	7	17.9
1908	8	20.1
1908	9	20.8
1908	10	22.3
1908	11	23.8
1909	0	24.5
1909	1	23.6
1909	2	22.8
1909	3	21.3
1909	4	18.8
1909	5	16.7
1909	6	16.7
1909	7	18.2
1909	8	19.1
1909	9	20.6
1909	10	21.5
1909	11	23.7
1910	0	23.7
1910	1	23.0
1910	2	22.7
1910	3	20.6
1910	4	18.2
1910	5	15.4
1910	6	15.6
1910	7	17.2
1910	8	18.7
1910	9	20.2
1910	10	20.7
1910	11	22.5
1911	0	24.0
1911	1	24.2
1911	2	22.5
1911	3	20.2
1911	4	17.4
1911	5	14.8
1911	6	15.4
1911	7	16.5
1911	8	18.8
1911	9	21.7
1911	10	22.0
1911	11	24.8
1912	0	24.4
1912	1	25.0
1912	2	22.5
1912	3	21.5
1912	4	19.3
1912	5	15.8
1912	6	15.8
1912	7	17.4
1912	8	19.4
1912	9	20.7
1912	10	23.2
1912	11	24.1
1913	0	24.6
1913	1	24.9
1913	2	22.9
1913	3	21.7
1913	4	19.3
1913	5	16.7
1913	6	17.6
1913	7	18.1
1913	8	19.4
1913	9	20.9
1913	10	22.5
1913	11	24.1
1914	0	25.1
1914	1	24.2
1914	2	23.3
1914	3	21.9
1914	4	19.3
1914	5	16.1
1914	6	16.6
1914	7	17.2
1914	8	21.2
1914	9	21.2
1914	10	21.9
1914	11	24.6
1915	0	25.7
1915	1	24.7
1915	2	23.3
1915	3	22.0
1915	4	18.0
1915	5	16.0
1915	6	15.6
1915	7	17.9
1915	8	19.2
1915	9	20.7
1915	10	22.0
1915	11	22.9
1916	0	24.1
1916	1	24.4
1916	2	22.8
1916	3	21.5
1916	4	17.9
1916	5	16.5
1916	6	17.1
1916	7	17.5
1916	8	20.2
1916	9	21.8
1916	10	22.7
1916	11	24.1
1917	0	24.4
1917	1	23.4
1917	2	23.4
1917	3	20.9
1917	4	18.4
1917	5	16.3
1917	6	15.6
1917	7	16.2
1917	8	18.5
1917	9	20.5
1917	10	21.8
1917	11	23.1
1918	0	22.9
1918	1	24.1
1918	2	22.9
1918	3	20.2
1918	4	17.6
1918	5	15.7
1918	6	16.4
1918	7	16.4
1918	8	20.8
1918	9	22.6
1918	10	22.5
1918	11	23.7
1919	0	24.8
1919	1	24.2
1919	2	23.2
1919	3	22.1
1919	4	17.5
1919	5	16.4
1919	6	16.6
1919	7	17.1
1919	8	18.8
1919	9	21.1
1919	10	20.9
1919	11	23.6
1920	0	25.0
1920	1	24.0
1920	2	22.6
1920	3	20.8
1920	4	18.9
1920	5	15.6
1920	6	16.6
1920	7	18.0
1920	8	20.1
1920	9	20.5
1920	10	22.9
1920	11	23.7
1921	0	24.1
