year	month	temp
1901	0	19.8
1901	1	19.9
1901	2	19.9
1901	3	19.9
1901	4	19.5
1901	5	19.0
1901	6	19.1
1901	7	20.1
1901	8	20.6
1901	9	20.4
1901	10	19.7
1901	11	19.7
1902	0	19.8
1902	1	19.9
1902	2	19.9
1902	3	19.9
1902	4	19.5
1902	5	19.0
1902	6	19.1
1902	7	20.1
1902	8	20.6
1902	9	20.4
1902	10	19.7
1902	11	19.7
1903	0	19.8
1903	1	19.9
1903	2	19.9
1903	3	19.9
1903	4	19.5
1903	5	19.0
1903	6	19.1
1903	7	20.1
1903	8	20.6
1903	9	20.4
1903	10	19.7
1903	11	19.7
1904	0	19.8
1904	1	19.9
1904	2	19.9
1904	3	19.9
1904	4	19.5
1904	5	19.0
1904	6	19.1
1904	7	20.1
1904	8	20.6
1904	9	20.4
1904	10	19.7
1904	11	19.7
1905	0	19.8
1905	1	19.9
1905	2	19.9
1905	3	19.9
1905	4	19.5
1905	5	19.0
1905	6	19.1
1905	7	20.1
1905	8	20.6
1905	9	20.4
1905	10	19.7
1905	11	19.7
1906	0	19.8
1906	1	19.9
1906	2	19.9
1906	3	19.9
1906	4	19.5
1906	5	19.0
1906	6	19.1
1906	7	20.1
1906	8	20.6
1906	9	20.4
1906	10	19.7
1906	11	19.7
1907	0	19.8
1907	1	19.9
1907	2	19.9
1907	3	19.9
1907	4	19.5
1907	5	19.0
1907	6	19.1
1907	7	20.1
1907	8	20.6
1907	9	20.4
1907	10	19.7
1907	11	19.7
1908	0	19.8
1908	1	19.9
1908	2	19.9
1908	3	19.9
1908	4	19.5
1908	5	19.0
1908	6	19.1
1908	7	20.1
1908	8	20.6
1908	9	20.4
1908	10	19.7
1908	11	19.7
1909	0	19.8
1909	1	19.9
1909	2	19.9
1909	3	19.9
1909	4	19.5
1909	5	19.0
1909	6	19.1
1909	7	20.1
1909	8	20.6
1909	9	20.4
1909	10	19.7
1909	11	19.7
1910	0	19.8
1910	1	19.9
1910	2	19.9
1910	3	19.9
1910	4	19.5
1910	5	19.0
1910	6	19.1
1910	7	20.1
1910	8	20.6
1910	9	20.4
1910	10	19.7
1910	11	19.7
1911	0	19.8
1911	1	19.9
1911	2	19.9
1911	3	19.9
1911	4	19.5
1911	5	19.0
1911	6	19.1
1911	7	20.1
1911	8	20.6
1911	9	20.4
1911	10	19.7
1911	11	19.7
1912	0	19.8
1912	1	19.9
1912	2	19.9
1912	3	19.9
1912	4	19.5
1912	5	19.0
1912	6	19.1
1912	7	20.1
1912	8	20.6
1912	9	20.4
1912	10	19.7
1912	11	19.7
1913	0	19.8
1913	1	19.9
1913	2	19.9
1913	3	19.9
1913	4	19.5
1913	5	19.0
1913	6	19.1
1913	7	20.1
1913	8	20.6
1913	9	20.4
1913	10	19.7
1913	11	19.7
1914	0	19.8
1914	1	19.9
1914	2	19.9
1914	3	19.9
1914	4	19.5
1914	5	19.0
1914	6	19.1
1914	7	20.1
1914	8	20.6
1914	9	20.4
1914	10	19.7
1914	11	19.7
1915	0	19.8
1915	1	19.9
1915	2	19.9
1915	3	19.9
1915	4	19.5
1915	5	19.0
1915	6	19.1
1915	7	20.1
1915	8	20.6
1915	9	20.4
1915	10	19.7
1915	11	19.7
1916	0	19.8
1916	1	19.9
1916	2	19.9
1916	3	19.9
1916	4	19.5
1916	5	19.0
1916	6	19.1
1916	7	20.1
1916	8	20.6
1916	9	20.4
1916	10	19.7
1916	11	19.7
1917	0	19.8
1917	1	19.9
1917	2	19.9
1917	3	19.9
1917	4	19.5
1917	5	19.0
1917	6	19.1
1917	7	20.1
1917	8	20.6
1917	9	20.4
1917	10	19.7
1917	11	19.7
1918	0	19.8
1918	1	19.9
1918	2	19.9
1918	3	19.9
1918	4	19.5
1918	5	19.0
1918	6	19.1
1918	7	20.1
1918	8	20.6
1918	9	20.4
1918	10	19.7
1918	11	19.7
1919	0	19.8
1919	1	19.9
1919	2	19.9
1919	3	19.9
1919	4	19.5
1919	5	19.0
1919	6	19.1
1919	7	20.1
1919	8	20.6
1919	9	20.4
1919	10	19.7
1919	11	19.7
1920	0	19.8
1920	1	19.9
1920	2	19.9
1920	3	19.9
1920	4	19.5
1920	5	19.0
1920	6	19.1
1920	7	20.1
1920	8	20.6
1920	9	20.4
1920	10	19.7
1920	11	19.7
1921	0	19.8
1921	1	19.9
1921	2	19.9
1921	3	19.9
1921	4	19.5
1921	5	19.0
1921	6	19.1
1921	7	20.1
1921	8	20.6
1921	9	20.4
1921	10	19.7
1921	11	19.7
1922	0	19.8
1922	1	19.9
1922	2	19.9
1922	3	19.9
1922	4	19.5
1922	5	19.0
1922	6	19.1
1922	7	20.1
1922	8	20.6
1922	9	20.4
1922	10	19.7
1922	11	19.7
1923	0	19.8
1923	1	19.9
1923	2	19.9
1923	3	19.9
1923	4	19.5
1923	5	19.0
1923	6	19.1
1923	7	20.1
