year	month	temp
1901	0	9.3
1901	1	15.7
1901	2	16.6
1901	3	17.5
1901	4	17.6
1901	5	22.9
1901	6	25.1
1901	7	25.3
1901	8	23.8
1901	9	21.5
1901	10	16.9
1901	11	14.0
1902	0	9.8
1902	1	14.5
1902	2	12.8
1902	3	16.5
1902	4	20.9
1902	5	23.1
1902	6	25.9
1902	7	25.8
1902	8	27.0
1902	9	22.9
1902	10	15.4
1902	11	11.5
1903	0	9.4
1903	1	10.5
1903	2	12.0
1903	3	17.3
1903	4	20.7
1903	5	21.1
1903	6	23.1
1903	7	24.7
1903	8	23.2
1903	9	20.6
1903	10	15.4
1903	11	13.3
1904	0	12.1
1904	1	12.7
1904	2	13.3
1904	3	16.2
1904	4	19.2
1904	5	22.3
1904	6	23.0
1904	7	25.8
1904	8	23.9
1904	9	23.3
1904	10	16.4
1904	11	10.6
1905	0	8.4
1905	1	8.8
1905	2	11.6
1905	3	17.3
1905	4	20.7
1905	5	22.0
1905	6	25.4
1905	7	26.6
1905	8	25.9
1905	9	22.6
1905	10	18.7
1905	11	10.3
1906	0	10.1
1906	1	11.5
1906	2	13.4
1906	3	16.4
1906	4	18.4
1906	5	24.0
1906	6	24.6
1906	7	26.4
1906	8	24.1
1906	9	21.9
1906	10	16.9
1906	11	14.4
1907	0	9.8
1907	1	10.8
1907	2	11.5
1907	3	16.0
1907	4	20.2
1907	5	22.0
1907	6	25.2
1907	7	25.3
1907	8	22.8
1907	9	21.5
1907	10	14.5
1907	11	12.4
1908	0	10.0
1908	1	11.1
1908	2	13.0
1908	3	16.4
1908	4	20.7
1908	5	22.9
1908	6	23.5
1908	7	24.9
1908	8	23.6
1908	9	21.2
1908	10	15.1
1908	11	10.2
1909	0	10.6
1909	1	11.3
1909	2	15.5
1909	3	14.9
1909	4	23.8
1909	5	23.2
1909	6	26.2
1909	7	26.4
1909	8	24.5
1909	9	21.2
1909	10	17.5
1909	11	14.5
1910	0	10.4
1910	1	12.5
1910	2	10.1
1910	3	17.1
1910	4	19.2
1910	5	22.1
1910	6	24.5
1910	7	25.9
1910	8	24.5
1910	9	20.0
1910	10	17.0
1910	11	10.8
1911	0	8.4
1911	1	8.1
1911	2	10.7
1911	3	15.9
1911	4	19.4
1911	5	22.4
1911	6	24.8
1911	7	25.4
1911	8	23.4
1911	9	22.5
1911	10	16.8
1911	11	12.1
1912	0	9.5
1912	1	12.6
1912	2	13.4
1912	3	17.4
1912	4	18.7
1912	5	22.8
1912	6	24.4
1912	7	25.8
1912	8	23.8
1912	9	22.0
1912	10	16.9
1912	11	11.5
1913	0	10.7
1913	1	10.8
1913	2	13.8
1913	3	14.0
1913	4	19.7
1913	5	22.5
1913	6	24.5
1913	7	25.6
1913	8	25.8
1913	9	23.0
1913	10	16.4
1913	11	11.1
1914	0	11.8
1914	1	11.6
1914	2	14.5
1914	3	15.2
1914	4	20.7
1914	5	23.2
1914	6	24.3
1914	7	26.0
1914	8	26.0
1914	9	21.0
1914	10	15.8
1914	11	12.6
1915	0	12.3
1915	1	12.3
1915	2	14.2
1915	3	16.9
1915	4	20.5
1915	5	24.4
1915	6	26.1
1915	7	26.5
1915	8	25.4
1915	9	22.5
1915	10	16.6
1915	11	13.9
1916	0	10.5
1916	1	12.3
1916	2	14.4
1916	3	17.4
1916	4	22.8
1916	5	25.8
1916	6	27.1
1916	7	25.6
1916	8	24.8
1916	9	20.8
1916	10	18.8
1916	11	13.9
1917	0	12.1
1917	1	12.3
1917	2	15.1
1917	3	18.3
1917	4	20.1
1917	5	23.0
1917	6	24.9
1917	7	26.1
1917	8	25.2
1917	9	21.1
1917	10	18.6
1917	11	12.7
1918	0	10.6
1918	1	11.7
1918	2	13.4
1918	3	16.7
1918	4	20.1
1918	5	22.7
1918	6	24.7
1918	7	25.8
1918	8	25.5
1918	9	24.0
1918	10	19.1
1918	11	12.0
1919	0	13.0
1919	1	13.8
1919	2	15.0
1919	3	16.2
1919	4	19.6
1919	5	22.4
1919	6	25.2
1919	7	25.7
1919	8	26.2
1919	9	23.6
1919	10	19.2
1919	11	12.2
1920	0	11.4
1920	1	9.8
1920	2	14.2
1920	3	17.7
1920	4	22.2
1920	5	24.4
1920	6	26.1
1920	7	26.7
1920	8	25.5
1920	9	22.2
1920	10	15.4
1920	11	11.3
1921	0	10.3
1921	1	10.2
1921	2	11.9
1921	3	16.1
1921	4	19.7
1921	5	22.2
1921	6	25.6
1921	7	26.9
1921	8	23.8
1921	9	20.9
1921	10	16.7
1921	11	11.4
1922	0	10.9
1922	1	10.9
1922	2	14.3
1922	3	16.4
1922	4	21.0
1922	5	22.7
1922	6	26.7
1922	7	27.5
1922	8	25.4
1922	9	23.1
1922	10	19.2
1922	11	12.2
1923	0	11.8
1923	1	11.7
1923	2	14.6
1923	3	16.7
1923	4	21.2
1923	5	25.6
1923	6	25.4
1923	7	25.1
1923	8	26.1
1923	9	22.1
1923	10	19.2
1923	11	14.5
1924	0	11.2
1924	1	12.1
1924	2	14.8
1924	3	18.4
1924	4	20.1
1924	5	24.7
1924	6	26.5
1924	7	26.3
1924	8	25.4
1924	9	20.9
1924	10	17.0
1924	11	12.5
1925	0	8.6
1925	1	11.5
1925	2	17.2
1925	3	16.1
1925	4	21.1
1925	5	22.9
1925	6	25.8
1925	7	26.5
1925	8	25.9
1925	9	22.7
1925	10	18.4
1925	11	15.0
1926	0	11.4
1926	1	11.7
1926	2	13.2
1926	3	18.6
1926	4	22.6
1926	5	25.1
1926	6	25.2
1926	7	24.6
1926	8	23.3
1926	9	22.4
1926	10	17.8
1926	11	14.0
1927	0	11.8
1927	1	9.0
1927	2	15.2
1927	3	16.4
1927	4	22.9
1927	5	23.6
1927	6	26.7
1927	7	25.3
1927	8	24.9
1927	9	24.0
1927	10	18.8
1927	11	14.1
1928	0	12.1
1928	1	10.8
1928	2	12.9
1928	3	20.7
1928	4	23.5
1928	5	24.4
1928	6	26.9
1928	7	27.9
1928	8	25.5
1928	9	21.7
1928	10	17.9
1928	11	13.3
1929	0	10.2
1929	1	10.7
1929	2	12.7
1929	3	17.6
1929	4	23.6
1929	5	23.6
1929	6	25.3
1929	7	27.0
1929	8	26.0
1929	9	21.4
1929	10	19.2
1929	11	12.0
1930	0	10.5
1930	1	11.9
1930	2	15.3
1930	3	18.4
1930	4	20.8
1930	5	24.4
1930	6	26.1
1930	7	27.6
1930	8	25.5
1930	9	21.8
1930	10	17.0
1930	11	14.8
1931	0	12.2
1931	1	11.8
1931	2	15.1
1931	3	17.7
1931	4	21.1
1931	5	23.4
1931	6	25.9
1931	7	27.0
1931	8	26.2
1931	9	23.1
1931	10	15.9
1931	11	11.8
1932	0	10.0
1932	1	11.9
1932	2	14.7
1932	3	18.1
1932	4	20.7
