year	month	temp
1901	0	6.1
1901	1	12.7
1901	2	15.2
1901	3	17.4
1901	4	18.7
1901	5	24.0
1901	6	26.2
1901	7	26.1
1901	8	24.0
1901	9	20.3
1901	10	14.5
1901	11	10.9
1902	0	7.0
1902	1	12.1
1902	2	11.8
1902	3	16.4
1902	4	21.7
1902	5	24.3
1902	6	26.9
1902	7	26.5
1902	8	26.8
1902	9	21.5
1902	10	12.9
1902	11	8.4
1903	0	6.2
1903	1	8.0
1903	2	10.5
1903	3	16.9
1903	4	21.4
1903	5	22.4
1903	6	24.3
1903	7	25.7
1903	8	23.3
1903	9	19.4
1903	10	12.8
1903	11	10.0
1904	0	8.8
1904	1	10.2
1904	2	12.1
1904	3	15.9
1904	4	20.0
1904	5	23.4
1904	6	24.2
1904	7	26.6
1904	8	23.9
1904	9	21.9
1904	10	14.1
1904	11	7.5
1905	0	5.4
1905	1	6.3
1905	2	10.1
1905	3	17.0
1905	4	21.3
1905	5	23.3
1905	6	26.3
1905	7	27.2
1905	8	25.9
1905	9	21.3
1905	10	16.0
1905	11	7.4
1906	0	6.7
1906	1	9.0
1906	2	11.9
1906	3	16.0
1906	4	19.4
1906	5	24.9
1906	6	25.6
1906	7	27.0
1906	8	24.2
1906	9	20.8
1906	10	14.4
1906	11	11.2
1907	0	7.0
1907	1	8.5
1907	2	10.4
1907	3	15.8
1907	4	20.9
1907	5	23.2
1907	6	26.2
1907	7	26.0
1907	8	23.0
1907	9	20.2
1907	10	12.0
1907	11	9.3
1908	0	6.9
1908	1	8.5
1908	2	11.6
1908	3	16.3
1908	4	21.3
1908	5	24.2
1908	6	24.6
1908	7	25.8
1908	8	24.0
1908	9	20.1
1908	10	12.9
1908	11	7.3
1909	0	7.4
1909	1	9.2
1909	2	14.1
1909	3	15.0
1909	4	24.3
1909	5	24.1
1909	6	27.1
1909	7	26.9
1909	8	24.4
1909	9	20.0
1909	10	15.0
1909	11	11.1
1910	0	7.4
1910	1	10.2
1910	2	9.0
1910	3	16.6
1910	4	19.9
1910	5	23.2
1910	6	25.5
1910	7	26.6
1910	8	24.5
1910	9	19.0
1910	10	14.3
1910	11	7.3
1911	0	4.9
1911	1	5.9
1911	2	9.5
1911	3	15.6
1911	4	20.0
1911	5	23.3
1911	6	25.8
1911	7	26.0
1911	8	23.3
1911	9	21.0
1911	10	14.2
1911	11	9.1
1912	0	6.7
1912	1	10.4
1912	2	12.2
1912	3	17.1
1912	4	19.5
1912	5	24.0
1912	6	25.4
1912	7	26.3
1912	8	24.0
1912	9	20.9
1912	10	14.5
1912	11	8.3
1913	0	7.4
1913	1	8.1
1913	2	12.2
1913	3	13.9
1913	4	20.5
1913	5	23.6
1913	6	25.5
1913	7	26.2
1913	8	25.6
1913	9	21.6
1913	10	13.9
1913	11	8.0
1914	0	8.9
1914	1	9.2
1914	2	13.2
1914	3	15.2
1914	4	21.3
1914	5	24.1
1914	6	25.2
1914	7	26.7
1914	8	25.8
1914	9	19.9
1914	10	13.5
1914	11	9.4
1915	0	8.9
1915	1	9.9
1915	2	13.0
1915	3	16.5
1915	4	21.2
1915	5	25.4
1915	6	26.9
1915	7	27.2
1915	8	25.5
1915	9	21.1
1915	10	14.0
1915	11	10.5
1916	0	7.5
1916	1	9.8
1916	2	13.0
1916	3	16.9
1916	4	23.4
1916	5	26.6
1916	6	27.9
1916	7	26.4
1916	8	24.7
1916	9	19.6
1916	10	16.0
1916	11	10.7
1917	0	8.9
1917	1	10.1
1917	2	13.6
1917	3	18.1
1917	4	20.9
1917	5	24.1
1917	6	26.1
1917	7	26.7
1917	8	25.2
1917	9	19.8
1917	10	15.8
1917	11	9.5
1918	0	7.3
1918	1	9.4
1918	2	12.0
1918	3	16.3
1918	4	20.8
1918	5	23.8
1918	6	25.8
1918	7	26.6
1918	8	25.5
1918	9	22.6
1918	10	16.4
1918	11	8.8
1919	0	9.8
1919	1	11.3
1919	2	13.4
1919	3	16.1
1919	4	20.4
1919	5	23.4
1919	6	26.1
1919	7	26.5
1919	8	26.1
1919	9	22.2
1919	10	16.5
1919	11	9.0
1920	0	8.4
1920	1	7.3
1920	2	12.8
