id	name	1960	1961	1962	1963	1964	1965	1966	1967	1968	1969	1970	1971	1972	1973	1974	1975	1976	1977	1978	1979	1980	1981	1982	1983	1984	1985	1986	1987	1988	1989	1990	1991	1992	1993	1994	1995	1996	1997	1998	1999	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	2016	2017
AFG	Afghanistan	0.41388	0.4908	0.68859	0.70674	0.83855	1.0069	1.0912	1.2819	1.2234	0.94123	1.6704	1.8939	1.5312	1.6372	1.9157	2.1245	1.9842	2.3867	2.1554	2.2349	1.757	1.9794	2.0955	2.5201	2.8224	3.5019	3.1341	3.1142	2.8571	2.7649	2.6024	2.4265	1.3815	1.3338	1.2825	1.2311	1.1651	1.0845	1.0295	0.80957	0.7682	0.81207	1.0641	1.1871	0.94146	1.3203	1.6432	2.2683	4.1983	6.7603	8.4522	12.226	10.7421	10.0004	9.7892	10.1074	12.2579	13.0147
ALB	Albania	2.0225	2.279	2.4622	2.0812	2.0152	2.1728	2.5501	2.6784	3.0704	3.2426	3.7409	4.3492	5.6389	5.2872	4.3418	4.591	4.9464	5.7158	6.4889	7.5808	5.1662	7.3353	7.3024	7.6248	7.819	7.8739	8.0498	7.4379	7.3207	8.9768	5.5107	4.2832	2.5135	2.334	1.9236	2.0848	2.0152	1.5425	1.7514	2.9825	3.0191	3.2207	3.7483	4.2905	4.1623	4.2502	3.8948	3.9241	4.3712	4.3748	4.5947	5.2359	4.9061	5.06	5.7122	5.9477	6.2729	6.3792
DZA	Algeria	6.1512	6.0559	5.661	5.4192	5.643	6.5885	8.4209	8.4316	9.0502	11.263	15.059	18.6495	28.3226	38.2774	31.8767	32.0012	39.1311	41.8449	62.4553	45.5456	66.4165	46.342	39.173	52.5039	70.9465	72.6091	76.0804	83.8835	83.708	79.8083	76.7366	78.8054	79.8818	81.9424	86.1467	94.982	96.7861	87.0043	106.6208	91.6679	87.4427	83.7807	89.4067	91.0482	87.8531	106.4732	100.2012	108.4	109.0318	120.1859	117.8141	119.8069	128.11	132.4346	143.1771	150.5925	150.378	150.5514
AGO	Angola	0.54895	0.45371	1.1791	1.1497	1.2229	1.1862	1.5525	0.99181	1.6695	2.7831	3.5779	3.4054	4.5005	4.8737	4.8664	4.4088	3.28	3.5275	5.3998	5.4892	5.3344	5.2668	4.6352	5.1005	4.9859	4.6761	4.6338	5.786	5.0493	4.9228	5.0887	5.0629	5.165	5.7484	3.8656	10.9483	10.4248	7.3478	7.2696	9.1298	9.5151	9.6715	12.5975	8.9884	18.7019	19.0064	22.1024	24.9761	25.486	27.5655	28.8645	30.1421	33.1858	32.3731	34.4576	34.7611	35.351	35.3899
197	Antigua and Barbuda	0.03664	0.047632	0.10259	0.084272	0.0916	0.15022	0.34808	0.56426	0.98928	1.2568	0.46166	0.42502	0.37373	0.32976	0.42869	0.70715	0.40304	0.46533	0.49098	0.4067	0.1429	0.10626	0.29312	0.084272	0.14656	0.24915	0.24915	0.2748	0.28579	0.28579	0.28213	0.26747	0.26381	0.27114	0.26747	0.2748	0.29312	0.30778	0.31877	0.32976	0.34442	0.34808	0.37006	0.40304	0.42136	0.42869	0.44334	0.46899	0.47998	0.5093	0.52395	0.51296	0.52395	0.52395	0.53128	0.55463	0.5654	0.5653
ARG	Argentina	48.7645	51.1267	53.6401	50.0327	55.67	58.8048	63.0727	65.476	69.0092	77.2489	82.648	88.8443	90.0611	93.968	95.4694	94.8316	99.6657	100.6509	102.4768	110.5109	108.52	101.8197	103.2066	104.9789	106.283	100.3662	103.9339	114.6111	121.1291	116.802	111.89	116.845	121.0167	117.5647	122.01	127.5985	134.6437	137.5581	139.3545	146.5103	141.7168	133.3106	124.3822	134.6207	157.0336	161.4248	174.6175	174.2329	188.0412	178.8674	186.6865	190.2479	191.0447	188.4281	202.6715	206.368	207.0641	204.3234
ARM	Armenia	2.4936	2.5714	2.6987	2.8942	3.078	3.2651	3.448	3.6053	3.7066	3.8601	4.0601	4.3144	4.5455	4.7441	4.932	5.1918	5.3948	5.5816	5.7755	5.8251	6.0568	5.9494	6.0647	6.1583	6.2197	6.7083	6.7341	7.0209	7.2181	7.075	6.6425	6.4406	5.7199	2.5083	2.6835	3.3601	2.4973	3.2464	3.4111	3.0337	3.4914	3.5327	3.0766	3.4556	3.6912	4.3798	4.4052	5.1078	5.5821	4.3623	4.2602	4.9689	5.7483	5.5494	5.5814	5.7917	5.9608	5.6564
192	Aruba	0.61856	0.64555	0.70894	0.67909	0.66028	0.59239	0.55394	0.68236	0.63451	0.83041	0.92876	0.80832	0.78378	0.86946	0.78808	0.57071	1.2191	0.63676	0.54229	0.56887	0.58543	0.55762	0.62347	0.32042	0.80014	0.93653	0.17954	0.44701	0.61189	0.64853	1.6378	1.6818	1.4619	1.5938	1.6122	1.6671	1.6891	1.7441	1.7954	1.8064	2.3779	2.4072	2.4366	2.5611	2.6161	2.7187	2.715	2.8213	2.6564	2.6271	2.5062	2.4988	1.3484	0.86104	0.87203	0.91036	0.92803	0.92787
AUS	Australia	88.1189	90.5039	94.8235	100.9343	108.8758	120.8527	120.2193	129.1442	134.4969	142.1238	147.4798	152.6295	157.3355	170.8274	172.1894	175.7139	174.0747	187.6049	201.8202	204.8696	220.531	230.1326	233.8886	224.785	236.3612	240.988	239.7222	255.8502	260.8788	277.4856	278.4244	279.8724	284.9121	289.2349	294.0146	305.4098	312.3612	320.7947	334.6841	344.0633	350.1946	357.6687	362.2091	369.7258	383.2049	386.5152	392.6819	400.4157	405.0485	408.6726	406.7528	404.2466	407.1461	398.1638	393.4642	402.9955	413.3699	413.0927
AUT	Austria	30.7845	31.824	33.865	36.9491	38.8964	38.1406	39.2086	39.9156	42.2971	44.6384	50.6317	52.0692	56.0713	60.0158	57.2945	54.2141	58.2043	55.9942	57.2271	61.322	52.0257	55.8337	53.5661	51.6691	54.215	54.3672	53.7295	57.375	52.9384	53.6975	62.2922	65.8997	60.4315	60.7877	61.1903	64.206	67.6739	67.453	67.0544	65.621	66.2617	70.3909	72.1465	77.7642	78.0525	79.3667	76.6885	74.0321	73.8063	67.4831	72.3831	70.1157	67.6614	68.0012	64.2533	66.704	67.4021	69.9418
