year	month	temp
1901	0	27.7
1901	1	27.1
1901	2	24.7
1901	3	21.6
1901	4	18.3
1901	5	14.4
1901	6	13.1
1901	7	15.3
1901	8	19.7
1901	9	22.2
1901	10	26.9
1901	11	28.1
1902	0	27.5
1902	1	27.0
1902	2	25.6
1902	3	22.1
1902	4	18.2
1902	5	15.0
1902	6	14.2
1902	7	15.6
1902	8	19.3
1902	9	22.7
1902	10	25.8
1902	11	26.3
1903	0	27.7
1903	1	27.1
1903	2	25.8
1903	3	21.7
1903	4	17.5
1903	5	14.7
1903	6	13.6
1903	7	15.7
1903	8	18.6
1903	9	21.8
1903	10	24.7
1903	11	25.3
1904	0	26.3
1904	1	25.9
1904	2	24.2
1904	3	21.7
1904	4	17.9
1904	5	14.3
1904	6	13.9
1904	7	15.5
1904	8	18.3
1904	9	21.7
1904	10	25.1
1904	11	27.4
1905	0	27.9
1905	1	26.1
1905	2	25.4
1905	3	22.2
1905	4	18.7
1905	5	14.9
1905	6	13.8
1905	7	14.9
1905	8	17.3
1905	9	20.6
1905	10	25.0
1905	11	27.7
1906	0	29.2
1906	1	28.7
1906	2	24.8
1906	3	23.5
1906	4	19.1
1906	5	16.7
1906	6	15.2
1906	7	16.1
1906	8	18.5
1906	9	22.3
1906	10	23.8
1906	11	26.4
1907	0	26.8
1907	1	26.8
1907	2	24.3
1907	3	21.1
1907	4	18.0
1907	5	15.1
1907	6	14.4
1907	7	16.1
1907	8	19.1
1907	9	23.1
1907	10	24.3
1907	11	26.3
1908	0	28.2
1908	1	26.5
1908	2	24.1
1908	3	21.5
1908	4	17.6
1908	5	13.2
1908	6	13.4
1908	7	14.9
1908	8	17.4
1908	9	21.2
1908	10	25.4
1908	11	27.1
1909	0	26.6
1909	1	26.4
1909	2	25.3
1909	3	20.6
1909	4	17.5
1909	5	15.4
1909	6	13.3
1909	7	16.0
1909	8	18.6
1909	9	22.9
1909	10	24.6
1909	11	25.7
1910	0	27.7
1910	1	27.3
1910	2	24.3
1910	3	22.2
1910	4	18.9
1910	5	15.5
1910	6	14.5
1910	7	16.8
1910	8	20.1
1910	9	21.2
1910	10	24.3
1910	11	25.8
1911	0	27.1
1911	1	26.1
1911	2	24.9
1911	3	21.5
1911	4	17.7
1911	5	13.9
1911	6	14.3
1911	7	16.1
1911	8	19.0
1911	9	22.5
1911	10	25.9
1911	11	26.9
1912	0	28.1
1912	1	28.2
1912	2	26.0
1912	3	21.5
1912	4	18.3
1912	5	14.9
1912	6	14.3
1912	7	16.4
1912	8	19.3
1912	9	22.8
1912	10	24.6
1912	11	27.1
1913	0	26.9
1913	1	26.8
1913	2	24.3
1913	3	22.1
1913	4	16.0
1913	5	13.8
1913	6	14.6
1913	7	15.9
1913	8	18.3
1913	9	22.7
1913	10	25.3
1913	11	27.4
1914	0	27.6
1914	1	27.9
1914	2	26.2
1914	3	22.8
1914	4	18.4
1914	5	15.3
1914	6	13.8
1914	7	17.1
1914	8	19.3
1914	9	23.1
1914	10	26.2
1914	11	27.7
1915	0	27.0
1915	1	28.2
1915	2	26.0
1915	3	22.6
1915	4	17.7
1915	5	16.5
1915	6	15.7
1915	7	16.1
1915	8	20.1
1915	9	22.5
1915	10	25.9
1915	11	26.9
1916	0	27.7
1916	1	27.4
1916	2	25.7
1916	3	21.0
1916	4	19.1
1916	5	16.2
