year	month	temp
1901	0	21.1
1901	1	21.0
1901	2	21.0
1901	3	21.5
1901	4	22.5
1901	5	22.8
1901	6	22.6
1901	7	23.1
1901	8	22.9
1901	9	22.5
1901	10	22.1
1901	11	21.5
1902	0	21.0
1902	1	21.1
1902	2	20.6
1902	3	21.1
1902	4	22.0
1902	5	22.5
1902	6	22.8
1902	7	23.0
1902	8	22.7
1902	9	22.3
1902	10	22.0
1902	11	21.6
1903	0	21.4
1903	1	20.7
1903	2	20.7
1903	3	21.3
1903	4	22.7
1903	5	23.2
1903	6	22.9
1903	7	23.0
1903	8	22.7
1903	9	22.5
1903	10	22.0
1903	11	21.4
1904	0	21.0
1904	1	20.4
1904	2	20.5
1904	3	20.7
1904	4	22.1
1904	5	22.6
1904	6	22.5
1904	7	22.5
1904	8	22.5
1904	9	22.2
1904	10	22.2
1904	11	21.5
1905	0	21.0
1905	1	20.4
1905	2	20.5
1905	3	21.4
1905	4	22.0
1905	5	22.9
1905	6	22.7
1905	7	23.0
1905	8	22.7
1905	9	22.3
1905	10	22.4
1905	11	21.5
1906	0	20.9
1906	1	20.5
1906	2	20.7
1906	3	21.0
1906	4	22.3
1906	5	22.5
1906	6	22.7
1906	7	23.1
1906	8	22.7
1906	9	22.6
1906	10	22.3
1906	11	20.9
1907	0	20.3
1907	1	20.0
1907	2	20.2
1907	3	20.7
1907	4	21.9
1907	5	22.6
1907	6	22.9
1907	7	22.9
1907	8	22.7
1907	9	22.4
1907	10	22.2
1907	11	21.5
1908	0	21.1
1908	1	20.5
1908	2	20.6
1908	3	21.0
1908	4	22.3
1908	5	22.9
1908	6	23.0
1908	7	23.3
1908	8	22.8
1908	9	22.5
1908	10	22.0
1908	11	21.4
1909	0	20.7
1909	1	20.3
1909	2	21.0
1909	3	20.8
1909	4	22.2
1909	5	22.4
1909	6	22.8
1909	7	22.6
1909	8	22.8
1909	9	22.5
1909	10	21.7
1909	11	20.9
1910	0	20.5
1910	1	20.1
1910	2	20.4
1910	3	20.8
1910	4	21.8
1910	5	22.6
1910	6	22.7
1910	7	22.9
1910	8	22.4
1910	9	22.3
1910	10	22.2
1910	11	21.7
1911	0	20.6
1911	1	20.2
1911	2	20.3
1911	3	20.9
1911	4	21.8
1911	5	22.9
1911	6	22.8
1911	7	23.2
1911	8	22.9
1911	9	22.6
1911	10	22.4
1911	11	21.5
1912	0	21.3
1912	1	20.9
1912	2	21.0
1912	3	21.0
1912	4	22.3
1912	5	22.7
1912	6	23.0
1912	7	23.1
1912	8	22.9
1912	9	22.5
1912	10	22.2
1912	11	21.6
1913	0	20.7
1913	1	20.1
1913	2	20.3
1913	3	20.5
1913	4	22.6
1913	5	22.1
1913	6	22.4
1913	7	22.5
1913	8	22.6
1913	9	23.0
1913	10	21.8
1913	11	21.0
1914	0	20.7
1914	1	20.3
1914	2	20.7
1914	3	20.8
1914	4	21.9
1914	5	22.3
1914	6	22.6
1914	7	22.7
1914	8	22.8
1914	9	22.5
1914	10	22.2
1914	11	21.9
1915	0	21.0
1915	1	20.3
1915	2	21.0
1915	3	20.8
1915	4	22.1
1915	5	22.8
1915	6	23.0
1915	7	23.2
1915	8	23.0
1915	9	22.8
1915	10	22.3
1915	11	21.6
1916	0	20.7
1916	1	20.2
1916	2	20.3
1916	3	20.8
1916	4	22.3
1916	5	22.8
1916	6	22.7
1916	7	22.9
1916	8	22.5
1916	9	22.1
1916	10	21.8
1916	11	20.9
1917	0	20.3
1917	1	19.9
1917	2	20.1
1917	3	20.7
1917	4	22.0
1917	5	22.6
1917	6	22.7
1917	7	22.7
1917	8	22.5
1917	9	23.0
1917	10	22.0
1917	11	21.0
1918	0	20.5
1918	1	20.2
1918	2	20.2
1918	3	20.6
1918	4	21.7
1918	5	22.5
1918	6	22.6
1918	7	23.0
1918	8	22.9
1918	9	22.2
1918	10	21.8
1918	11	21.1
1919	0	20.7
1919	1	20.5
1919	2	20.5
1919	3	20.7
1919	4	22.4
1919	5	22.7
1919	6	22.4
1919	7	22.9
1919	8	22.5
1919	9	22.2
1919	10	21.7
1919	11	21.3
1920	0	20.8
1920	1	20.6
1920	2	20.7
1920	3	21.1
1920	4	22.4
1920	5	22.5
1920	6	22.5
1920	7	22.7
1920	8	22.6
1920	9	22.2
1920	10	21.9
1920	11	21.2
1921	0	20.9
1921	1	20.7
1921	2	20.5
1921	3	20.4
1921	4	22.1
1921	5	22.9
1921	6	22.2
1921	7	22.7
1921	8	22.7
1921	9	22.4
1921	10	22.0
1921	11	21.3
1922	0	20.7
1922	1	20.3
1922	2	20.2
1922	3	20.2
1922	4	21.8
1922	5	22.3
1922	6	22.5
1922	7	22.7
1922	8	22.7
1922	9	22.4
1922	10	21.9
1922	11	20.9
1923	0	20.3
1923	1	19.9
1923	2	20.0
1923	3	20.5
1923	4	22.5
1923	5	22.2
1923	6	22.5
1923	7	22.9
1923	8	22.8
1923	9	22.5
1923	10	22.1
1923	11	21.0
1924	0	20.6
1924	1	20.2
1924	2	20.9
1924	3	21.3
1924	4	22.5
1924	5	22.5
1924	6	22.6
1924	7	22.8
1924	8	22.7
1924	9	22.3
1924	10	22.1
1924	11	21.3
1925	0	20.5
1925	1	19.9
1925	2	20.3
1925	3	21.1
1925	4	22.3
1925	5	22.6
1925	6	22.5
1925	7	23.0
1925	8	22.8
1925	9	22.7
1925	10	22.1
1925	11	21.4
1926	0	21.0
1926	1	20.6
1926	2	20.9
1926	3	21.2
1926	4	22.6
1926	5	23.0
1926	6	22.7
1926	7	22.9
1926	8	22.7
1926	9	22.3
1926	10	22.1
1926	11	21.1
1927	0	20.7
1927	1	19.9
1927	2	20.4
1927	3	20.5
1927	4	21.8
1927	5	22.4
1927	6	22.5
1927	7	22.7
1927	8	22.8
1927	9	22.4
1927	10	22.1
1927	11	21.3
1928	0	20.6
1928	1	20.2
1928	2	20.4
1928	3	20.5
1928	4	22.2
1928	5	22.6
1928	6	22.6
1928	7	22.9
1928	8	22.6
1928	9	22.3
1928	10	22.3
1928	11	21.2
1929	0	20.6
1929	1	20.3
1929	2	20.4
1929	3	20.6
1929	4	21.3
1929	5	22.4
1929	6	22.7
1929	7	22.7
1929	8	22.5
1929	9	22.4
1929	10	21.8
1929	11	21.2
1930	0	20.6
1930	1	20.3
1930	2	20.7
1930	3	21.0
1930	4	22.4
1930	5	22.6
1930	6	22.8
1930	7	23.1
1930	8	22.7
1930	9	22.6
1930	10	22.3
1930	11	21.6
1931	0	21.1
1931	1	20.6
1931	2	21.5
1931	3	21.5
1931	4	23.1
1931	5	23.2
1931	6	23.1
1931	7	23.3
1931	8	22.9
1931	9	22.8
1931	10	22.3
1931	11	21.6
1932	0	20.9
1932	1	20.3
1932	2	21.0
1932	3	21.4
1932	4	22.4
1932	5	23.1
1932	6	22.9
1932	7	23.4
1932	8	23.4
1932	9	22.9
1932	10	22.5
1932	11	21.8
1933	0	20.9
1933	1	20.3
1933	2	20.7
1933	3	21.1
1933	4	22.4
1933	5	22.9
1933	6	22.8
1933	7	23.1
1933	8	22.7
1933	9	22.6
1933	10	22.2
1933	11	21.4
1934	0	20.5
1934	1	20.2
1934	2	20.3
1934	3	21.0
1934	4	22.2
1934	5	22.9
1934	6	22.5
1934	7	23.0
1934	8	22.7
1934	9	22.7
1934	10	22.2
1934	11	21.5
1935	0	21.3
1935	1	20.9
1935	2	20.4
1935	3	21.0
1935	4	21.9
1935	5	23.6
1935	6	22.7
1935	7	22.5
1935	8	22.2
1935	9	22.6
1935	10	22.6
1935	11	20.7
1936	0	21.0
1936	1	20.7
1936	2	21.3
1936	3	21.6
1936	4	22.8
1936	5	22.9
1936	6	22.8
1936	7	23.1
1936	8	23.4
1936	9	22.7
1936	10	22.0
1936	11	21.1
1937	0	20.4
1937	1	20.4
1937	2	21.0
1937	3	21.3
1937	4	22.9
1937	5	23.2
1937	6	23.2
1937	7	23.5
1937	8	23.8
1937	9	22.8
1937	10	23.0
1937	11	21.9
1938	0	20.7
1938	1	20.1
1938	2	20.6
1938	3	20.6
1938	4	22.1
1938	5	22.3
1938	6	22.7
1938	7	23.0
1938	8	22.9
1938	9	23.0
1938	10	21.7
1938	11	21.5
1939	0	20.7
1939	1	19.8
1939	2	21.5
1939	3	20.6
1939	4	21.8
1939	5	22.3
1939	6	22.6
1939	7	23.3
1939	8	23.3
1939	9	23.1
1939	10	22.7
1939	11	22.4
1940	0	21.8
1940	1	21.2
1940	2	21.4
1940	3	22.3
1940	4	23.3
1940	5	23.2
1940	6	23.0
1940	7	23.4
1940	8	23.5
1940	9	23.5
1940	10	23.0
1940	11	21.8
1941	0	21.5
1941	1	22.0
1941	2	22.1
1941	3	22.3
1941	4	23.2
1941	5	22.9
1941	6	22.7
1941	7	23.3
1941	8	23.1
1941	9	23.4
1941	10	22.6
1941	11	22.1
1942	0	21.7
1942	1	21.6
1942	2	21.9
1942	3	22.2
1942	4	23.0
1942	5	23.4
1942	6	23.0
1942	7	23.1
1942	8	23.3
1942	9	23.5
1942	10	22.7
1942	11	21.9
1943	0	21.2
1943	1	20.9
1943	2	20.5
1943	3	21.4
1943	4	21.8
1943	5	22.5
1943	6	22.8
1943	7	23.0
1943	8	23.4
1943	9	23.2
1943	10	22.5
1943	11	21.6
1944	0	21.2
1944	1	20.9
1944	2	21.0
1944	3	21.5
1944	4	22.0
1944	5	22.6
1944	6	22.9
1944	7	23.5
1944	8	23.4
1944	9	23.2
1944	10	22.7
1944	11	21.7
1945	0	20.9
1945	1	20.3
1945	2	20.6
1945	3	20.6
1945	4	21.8
1945	5	22.8
1945	6	22.9
1945	7	23.2
1945	8	23.2
1945	9	22.6
1945	10	22.2
1945	11	21.7
1946	0	20.9
1946	1	20.1
1946	2	20.7
1946	3	20.9
1946	4	21.5
1946	5	22.3
1946	6	22.6
1946	7	23.2
1946	8	23.2
1946	9	23.3
1946	10	22.8
1946	11	22.0
1947	0	20.9
1947	1	21.3
1947	2	21.6
1947	3	21.4
1947	4	22.2
1947	5	23.0
1947	6	22.8
1947	7	23.4
1947	8	23.5
1947	9	23.7
1947	10	23.0
1947	11	22.2
1948	0	21.5
1948	1	21.0
1948	2	20.9
1948	3	21.3
1948	4	23.3
1948	5	23.5
1948	6	23.1
1948	7	23.4
1948	8	23.3
1948	9	23.1
1948	10	22.5
