year	month	temp
1901	0	-7.6
1901	1	-11.5
1901	2	-5.6
1901	3	1.0
1901	4	7.0
1901	5	12.5
1901	6	17.6
1901	7	13.9
1901	8	9.3
1901	9	6.2
1901	10	-4.7
1901	11	-10.0
1902	0	-8.1
1902	1	-9.7
1902	2	-7.2
1902	3	-1.6
1902	4	3.6
1902	5	9.5
1902	6	10.8
1902	7	10.5
1902	8	6.5
1902	9	0.8
1902	10	-3.4
1902	11	-8.1
1903	0	-9.2
1903	1	-3.7
1903	2	-0.8
1903	3	-0.4
1903	4	6.1
1903	5	10.7
1903	6	12.6
1903	7	11.4
1903	8	8.3
1903	9	-0.2
1903	10	-3.7
1903	11	-5.2
1904	0	-5.1
1904	1	-11.4
1904	2	-5.8
1904	3	1.2
1904	4	4.9
1904	5	10.5
1904	6	12.8
1904	7	11.6
1904	8	8.3
1904	9	3.3
1904	10	-5.5
1904	11	-9.2
1905	0	-9.6
1905	1	-6.5
1905	2	-3.8
1905	3	-1.4
1905	4	6.7
1905	5	13.3
1905	6	14.0
1905	7	11.6
1905	8	7.7
1905	9	-0.9
1905	10	-3.4
1905	11	-4.4
1906	0	-6.2
1906	1	-6.7
1906	2	-6.3
1906	3	2.0
1906	4	6.8
1906	5	11.9
1906	6	14.1
1906	7	11.6
1906	8	8.0
1906	9	3.2
1906	10	-1.3
1906	11	-7.5
1907	0	-9.2
1907	1	-6.5
1907	2	-2.3
1907	3	0.9
1907	4	4.6
1907	5	11.0
1907	6	12.2
1907	7	10.0
1907	8	7.3
1907	9	5.6
1907	10	-1.0
1907	11	-8.4
1908	0	-6.9
1908	1	-6.4
1908	2	-5.9
1908	3	0.5
1908	4	5.2
1908	5	10.4
1908	6	13.9
1908	7	13.0
1908	8	7.6
1908	9	4.6
1908	10	-5.7
1908	11	-5.3
1909	0	-5.0
1909	1	-9.1
1909	2	-7.0
1909	3	-1.7
1909	4	3.3
1909	5	11.0
1909	6	13.1
1909	7	11.9
1909	8	8.0
1909	9	5.2
1909	10	-6.8
1909	11	-7.0
1910	0	-7.9
1910	1	-3.5
1910	2	-2.3
1910	3	1.3
1910	4	7.0
1910	5	11.7
1910	6	13.1
1910	7	12.2
1910	8	8.5
1910	9	2.7
1910	10	-4.2
1910	11	-6.3
1911	0	-6.6
1911	1	-6.8
1911	2	-3.6
1911	3	0.8
1911	4	7.9
1911	5	10.6
1911	6	13.2
1911	7	14.1
1911	8	8.9
1911	9	1.4
1911	10	-3.5
1911	11	-3.6
1912	0	-12.3
1912	1	-10.4
1912	2	-2.6
1912	3	-0.2
1912	4	5.7
1912	5	11.8
1912	6	15.4
1912	7	12.7
1912	8	6.7
1912	9	1.0
1912	10	-3.7
1912	11	-5.0
1913	0	-10.5
1913	1	-5.5
1913	2	-2.8
1913	3	1.7
1913	4	6.9
1913	5	11.4
1913	6	14.4
1913	7	12.4
1913	8	8.4
1913	9	2.5
1913	10	-0.2
1913	11	-8.3
1914	0	-7.9
1914	1	-4.4
1914	2	-4.5
1914	3	2.7
1914	4	5.9
1914	5	12.2
1914	6	17.2
1914	7	12.7
1914	8	8.4
1914	9	2.1
1914	10	-3.3
1914	11	-4.4
1915	0	-10.9
1915	1	-7.7
1915	2	-7.7
1915	3	0.6
1915	4	4.7
1915	5	9.5
1915	6	13.9
1915	7	12.0
1915	8	6.8
1915	9	0.9
1915	10	-5.5
1915	11	-14.5
1916	0	-7.4
1916	1	-7.1
1916	2	-7.0
1916	3	0.9
1916	4	5.0
1916	5	10.4
1916	6	15.4
1916	7	11.1
1916	8	6.8
1916	9	0.5
1916	10	-0.8
1916	11	-6.5
1917	0	-13.1
1917	1	-10.1
1917	2	-9.0
1917	3	-2.1
1917	4	5.1
1917	5	13.7
1917	6	13.1
1917	7	15.1
1917	8	8.2
1917	9	3.1
1917	10	-2.9
1917	11	-8.4
1918	0	-12.6
1918	1	-6.6
1918	2	-3.4
1918	3	1.3
1918	4	6.9
1918	5	10.2
1918	6	14.7
1918	7	11.9
1918	8	7.2
1918	9	4.1
1918	10	0.1
1918	11	-6.9
1919	0	-6.8
1919	1	-9.8
1919	2	-5.8
1919	3	-0.2
1919	4	8.0
1919	5	11.5
1919	6	15.4
1919	7	11.0
1919	8	8.5
1919	9	1.4
1919	10	-7.0
1919	11	-10.3
1920	0	-7.9
1920	1	-4.2
1920	2	0.1
1920	3	1.9
1920	4	7.8
1920	5	11.3
1920	6	14.4
1920	7	11.7
1920	8	9.1
1920	9	2.4
1920	10	-1.3
1920	11	-6.6
1921	0	-7.8
1921	1	-6.7
1921	2	-1.0
1921	3	3.8
1921	4	8.7
1921	5	10.6
1921	6	12.8
1921	7	12.1
1921	8	7.7
1921	9	2.6
1921	10	-6.0
1921	11	-6.4
1922	0	-11.5
1922	1	-9.4
1922	2	-5.3
1922	3	-0.6
1922	4	6.8
1922	5	11.5
1922	6	13.7
1922	7	11.7
1922	8	7.9
1922	9	1.4
1922	10	-3.5
1922	11	-6.7
1923	0	-4.7
1923	1	-10.5
1923	2	-3.0
1923	3	-0.8
1923	4	4.8
1923	5	7.8
1923	6	13.9
1923	7	11.0
1923	8	7.8
1923	9	3.0
1923	10	-4.2
1923	11	-8.8
1924	0	-8.9
1924	1	-10.9
1924	2	-7.5
1924	3	-1.2
1924	4	5.5
1924	5	9.7
1924	6	14.5
1924	7	13.7
1924	8	9.6
1924	9	4.8
1924	10	-1.5
1924	11	-2.5
1925	0	-2.8
1925	1	-4.7
1925	2	-6.8
1925	3	1.9
1925	4	7.1
1925	5	11.7
1925	6	17.0
1925	7	13.1
1925	8	8.2
1925	9	0.6
1925	10	-6.4
1925	11	-9.8
1926	0	-10.0
1926	1	-10.3
1926	2	-3.2
1926	3	0.9
1926	4	5.1
1926	5	11.3
1926	6	15.1
1926	7	13.4
1926	8	7.9
1926	9	-0.6
1926	10	-1.7
1926	11	-8.1
1927	0	-7.6
1927	1	-6.1
1927	2	-2.7
1927	3	-0.3
1927	4	3.9
1927	5	9.9
1927	6	16.6
1927	7	14.0
1927	8	7.8
1927	9	1.3
1927	10	-7.0
1927	11	-10.1
1928	0	-8.4
1928	1	-7.0
1928	2	-4.4
1928	3	0.8
1928	4	5.6
