year	month	temp
1901	0	3.9
1901	1	6.8
1901	2	13.4
1901	3	18.3
1901	4	22.9
1901	5	26.7
1901	6	28.9
1901	7	27.2
1901	8	23.6
1901	9	16.6
1901	10	12.4
1901	11	9.0
1902	0	6.5
1902	1	7.7
1902	2	13.1
1902	3	17.6
1902	4	22.3
1902	5	27.2
1902	6	27.9
1902	7	27.5
1902	8	22.9
1902	9	17.2
1902	10	11.6
1902	11	7.3
1903	0	3.4
1903	1	6.7
1903	2	8.3
1903	3	15.8
1903	4	22.2
1903	5	26.9
1903	6	28.1
1903	7	27.8
1903	8	23.5
1903	9	18.0
1903	10	10.5
1903	11	5.8
1904	0	2.3
1904	1	8.1
1904	2	11.7
1904	3	16.2
1904	4	21.7
1904	5	25.5
1904	6	28.1
1904	7	26.9
1904	8	22.9
1904	9	17.3
1904	10	13.5
1904	11	6.8
1905	0	3.2
1905	1	4.7
1905	2	9.0
1905	3	16.9
1905	4	21.7
1905	5	26.8
1905	6	28.2
1905	7	26.8
1905	8	23.2
1905	9	18.9
1905	10	12.7
1905	11	6.2
1906	0	3.9
1906	1	5.9
1906	2	10.8
1906	3	15.2
1906	4	22.6
1906	5	26.0
1906	6	27.6
1906	7	26.6
1906	8	22.7
1906	9	18.7
1906	10	12.4
1906	11	8.5
1907	0	6.0
1907	1	5.3
1907	2	10.7
1907	3	16.4
1907	4	21.6
1907	5	25.6
1907	6	28.6
1907	7	26.6
1907	8	22.6
1907	9	16.9
1907	10	10.2
1907	11	7.0
1908	0	4.8
1908	1	6.0
1908	2	10.3
1908	3	16.6
1908	4	21.0
1908	5	26.7
1908	6	27.7
1908	7	27.4
1908	8	24.0
1908	9	17.1
1908	10	12.3
1908	11	6.8
1909	0	3.4
1909	1	7.6
1909	2	12.5
1909	3	17.0
1909	4	22.0
1909	5	25.6
1909	6	28.2
1909	7	26.8
1909	8	23.4
1909	9	18.0
1909	10	13.9
1909	11	7.5
1910	0	5.3
1910	1	7.7
1910	2	9.8
1910	3	15.6
1910	4	21.7
1910	5	25.5
1910	6	27.8
1910	7	27.0
1910	8	22.8
1910	9	17.7
1910	10	11.7
1910	11	4.1
1911	0	0.9
1911	1	5.2
1911	2	9.0
1911	3	15.3
1911	4	21.2
1911	5	25.3
1911	6	28.1
1911	7	26.6
1911	8	22.5
1911	9	16.8
1911	10	10.9
1911	11	6.5
1912	0	4.9
1912	1	8.5
1912	2	11.9
1912	3	16.3
1912	4	21.3
1912	5	27.3
1912	6	27.9
1912	7	26.1
1912	8	23.1
1912	9	18.5
1912	10	11.9
1912	11	5.8
1913	0	4.7
1913	1	4.3
1913	2	9.6
1913	3	16.2
1913	4	22.7
1913	5	25.7
1913	6	28.2
1913	7	26.2
1913	8	23.5
1913	9	18.1
1913	10	12.2
1913	11	7.6
1914	0	7.8
1914	1	6.7
1914	2	12.0
1914	3	17.0
1914	4	21.7
1914	5	26.1
1914	6	27.6
1914	7	26.7
1914	8	23.1
1914	9	19.0
1914	10	11.7
1914	11	6.1
1915	0	6.7
1915	1	7.3
1915	2	13.1
1915	3	16.0
1915	4	22.0
1915	5	27.0
1915	6	27.7
1915	7	27.6
1915	8	24.5
1915	9	17.6
1915	10	12.9
1915	11	7.6
1916	0	5.6
1916	1	5.4
1916	2	12.2
1916	3	16.3
1916	4	22.6
1916	5	25.8
1916	6	28.5
1916	7	27.9
1916	8	22.7
1916	9	16.6
1916	10	10.6
1916	11	7.5
1917	0	6.4
1917	1	7.9
1917	2	11.0
1917	3	18.4
1917	4	22.4
1917	5	26.2
1917	6	29.0
1917	7	27.2
1917	8	23.5
1917	9	16.8
1917	10	11.9
1917	11	6.0
1918	0	4.9
1918	1	6.9
1918	2	10.0
1918	3	15.3
1918	4	21.4
1918	5	24.8
1918	6	28.2
1918	7	26.8
1918	8	23.8
1918	9	19.3
1918	10	11.5
1918	11	5.5
1919	0	4.8
