year	month	temp
1901	0	16.8
1901	1	16.0
1901	2	13.1
1901	3	11.5
1901	4	6.7
1901	5	4.8
1901	6	4.2
1901	7	7.1
1901	8	9.6
1901	9	11.0
1901	10	13.4
1901	11	15.3
1902	0	15.2
1902	1	15.8
1902	2	13.8
1902	3	10.2
1902	4	8.1
1902	5	3.8
1902	6	5.2
1902	7	6.4
1902	8	9.5
1902	9	11.7
1902	10	12.6
1902	11	15.4
1903	0	17.0
1903	1	15.6
1903	2	13.6
1903	3	9.9
1903	4	7.6
1903	5	3.9
1903	6	4.7
1903	7	7.2
1903	8	10.0
1903	9	11.9
1903	10	12.9
1903	11	15.3
1904	0	16.0
1904	1	14.7
1904	2	13.5
1904	3	10.9
1904	4	7.6
1904	5	5.1
1904	6	5.2
1904	7	6.7
1904	8	10.0
1904	9	11.8
1904	10	14.0
1904	11	14.0
1905	0	16.3
1905	1	14.7
1905	2	12.9
1905	3	11.4
1905	4	7.4
1905	5	3.9
1905	6	5.5
1905	7	5.7
1905	8	10.3
1905	9	12.4
1905	10	13.2
1905	11	15.3
1906	0	17.2
1906	1	14.9
1906	2	13.3
1906	3	9.7
1906	4	7.5
1906	5	5.3
1906	6	4.7
1906	7	5.7
1906	8	10.1
1906	9	10.9
1906	10	12.9
1906	11	14.3
1907	0	15.6
1907	1	15.1
1907	2	14.3
1907	3	9.5
1907	4	6.5
1907	5	4.5
1907	6	4.6
1907	7	7.0
1907	8	10.4
1907	9	10.7
1907	10	12.4
1907	11	13.9
1908	0	15.5
1908	1	15.6
1908	2	13.5
1908	3	8.6
1908	4	7.3
1908	5	4.6
1908	6	4.9
1908	7	6.8
1908	8	10.9
1908	9	11.3
1908	10	13.2
1908	11	15.3
1909	0	16.0
1909	1	14.1
1909	2	12.8
1909	3	10.6
1909	4	7.1
1909	5	5.5
1909	6	5.3
1909	7	7.1
1909	8	10.0
1909	9	11.5
1909	10	13.2
1909	11	14.6
1910	0	15.7
1910	1	14.4
1910	2	13.9
1910	3	10.4
1910	4	7.4
1910	5	3.8
1910	6	4.8
1910	7	6.1
1910	8	9.6
1910	9	10.9
1910	10	11.7
1910	11	14.3
1911	0	15.9
1911	1	16.0
1911	2	13.6
1911	3	9.9
1911	4	6.5
1911	5	3.4
1911	6	4.1
1911	7	6.0
1911	8	9.8
1911	9	13.0
1911	10	13.4
1911	11	16.2
1912	0	16.6
1912	1	15.6
1912	2	13.5
1912	3	10.7
1912	4	8.0
1912	5	4.6
1912	6	4.9
1912	7	7.1
1912	8	9.6
1912	9	12.5
1912	10	14.3
1912	11	15.4
1913	0	16.9
1913	1	15.9
1913	2	13.5
1913	3	10.5
1913	4	7.7
1913	5	5.3
1913	6	5.1
1913	7	7.9
1913	8	10.4
1913	9	11.7
1913	10	14.0
1913	11	15.6
1914	0	17.5
1914	1	15.8
1914	2	14.5
1914	3	11.0
1914	4	8.5
1914	5	4.3
1914	6	5.0
1914	7	6.6
1914	8	11.8
1914	9	12.9
1914	10	13.0
1914	11	15.4
1915	0	17.8
1915	1	16.2
1915	2	14.7
1915	3	10.4
1915	4	7.2
1915	5	4.8
1915	6	4.0
1915	7	6.9
1915	8	10.5
1915	9	11.8
1915	10	13.4
1915	11	14.9
1916	0	15.7
1916	1	16.0
1916	2	13.7
1916	3	10.8
1916	4	5.9
1916	5	4.5
1916	6	5.6
1916	7	5.9
1916	8	10.6
1916	9	12.5
1916	10	13.9
1916	11	15.3
1917	0	16.2
1917	1	15.2
1917	2	13.9
1917	3	10.0
1917	4	6.8
1917	5	4.5
1917	6	4.0
1917	7	5.1
1917	8	9.5
1917	9	11.6
1917	10	12.4
1917	11	14.6
1918	0	14.8
1918	1	15.6
1918	2	13.8
1918	3	10.5
1918	4	6.4
1918	5	4.6
1918	6	5.0
1918	7	6.2
1918	8	10.9
1918	9	12.7
1918	10	13.3
1918	11	15.2
1919	0	16.6
1919	1	15.9
1919	2	14.3
1919	3	12.0
1919	4	7.2
1919	5	5.7
1919	6	5.6
1919	7	6.8
1919	8	9.8
1919	9	12.8
1919	10	12.6
1919	11	15.2
1920	0	17.2
1920	1	14.8
1920	2	12.9
1920	3	10.7
1920	4	7.6
1920	5	4.0
1920	6	5.8
1920	7	7.5
1920	8	10.1
1920	9	11.9
1920	10	14.6
1920	11	15.1
1921	0	16.0
1921	1	15.4
1921	2	14.2
1921	3	10.1
1921	4	6.6
1921	5	4.5
1921	6	3.4
1921	7	6.3
1921	8	10.1
1921	9	12.1
1921	10	12.9
1921	11	14.5
1922	0	16.9
1922	1	15.5
1922	2	14.4
1922	3	11.7
1922	4	6.7
1922	5	4.5
1922	6	5.7
1922	7	7.3
1922	8	11.6
1922	9	12.7
1922	10	13.6
1922	11	15.6
1923	0	16.1
1923	1	15.4
1923	2	15.0
