year	month	temp
1901	0	-26.3
1901	1	-21.3
1901	2	-14.1
1901	3	-4.6
1901	4	3.8
1901	5	11.9
1901	6	15.1
1901	7	13.0
1901	8	5.8
1901	9	-4.9
1901	10	-15.5
1901	11	-25.7
1902	0	-26.5
1902	1	-22.6
1902	2	-17.4
1902	3	-7.8
1902	4	2.2
1902	5	10.8
1902	6	15.3
1902	7	12.5
1902	8	6.3
1902	9	-6.1
1902	10	-19.4
1902	11	-25.2
1903	0	-25.2
1903	1	-19.7
1903	2	-15.2
1903	3	-5.6
1903	4	3.2
1903	5	10.8
1903	6	15.1
1903	7	12.5
1903	8	6.1
1903	9	-5.3
1903	10	-15.3
1903	11	-24.5
1904	0	-25.2
1904	1	-23.7
1904	2	-15.8
1904	3	-6.0
1904	4	3.7
1904	5	10.9
1904	6	14.3
1904	7	12.7
1904	8	5.8
1904	9	-3.9
1904	10	-14.0
1904	11	-22.8
1905	0	-23.7
1905	1	-22.9
1905	2	-16.6
1905	3	-6.9
1905	4	3.3
1905	5	10.7
1905	6	15.0
1905	7	12.4
1905	8	6.6
1905	9	-3.4
1905	10	-15.7
1905	11	-22.7
1906	0	-27.2
1906	1	-24.9
1906	2	-14.3
1906	3	-3.7
1906	4	4.3
1906	5	12.5
1906	6	15.1
1906	7	13.7
1906	8	6.2
1906	9	-3.5
1906	10	-17.7
1906	11	-20.4
1907	0	-28.2
1907	1	-23.4
1907	2	-15.1
1907	3	-4.7
1907	4	3.2
1907	5	11.0
1907	6	15.2
1907	7	13.1
1907	8	6.8
1907	9	-3.7
1907	10	-18.3
1907	11	-26.5
1908	0	-27.8
1908	1	-22.7
1908	2	-17.9
1908	3	-6.1
1908	4	3.9
1908	5	11.8
1908	6	15.2
1908	7	12.7
1908	8	7.0
1908	9	-3.8
1908	10	-17.5
1908	11	-24.7
1909	0	-27.3
1909	1	-23.4
1909	2	-18.5
1909	3	-6.5
1909	4	2.9
1909	5	11.3
1909	6	15.5
1909	7	13.1
1909	8	6.6
1909	9	-3.3
1909	10	-15.6
1909	11	-23.0
1910	0	-25.9
1910	1	-21.8
1910	2	-17.2
1910	3	-5.7
1910	4	3.9
1910	5	11.2
1910	6	16.0
1910	7	13.2
1910	8	6.5
1910	9	-4.4
1910	10	-18.0
1910	11	-24.6
1911	0	-26.4
1911	1	-24.4
1911	2	-18.0
1911	3	-5.4
1911	4	3.1
1911	5	11.6
1911	6	15.3
1911	7	12.6
1911	8	5.6
1911	9	-3.7
1911	10	-14.2
1911	11	-23.8
1912	0	-25.1
1912	1	-25.1
1912	2	-18.3
1912	3	-6.1
1912	4	3.5
1912	5	11.7
1912	6	14.2
1912	7	11.6
1912	8	5.8
1912	9	-7.5
1912	10	-17.4
1912	11	-25.1
1913	0	-26.2
1913	1	-25.1
1913	2	-14.7
1913	3	-6.3
1913	4	2.9
1913	5	11.0
1913	6	14.7
1913	7	12.7
1913	8	6.1
1913	9	-4.6
1913	10	-15.9
1913	11	-20.7
1914	0	-24.3
1914	1	-20.5
1914	2	-17.4
1914	3	-6.4
1914	4	3.9
1914	5	11.4
1914	6	14.7
1914	7	13.0
1914	8	6.3
1914	9	-4.5
1914	10	-17.8
1914	11	-22.1
1915	0	-27.9
1915	1	-23.5
1915	2	-17.3
1915	3	-6.1
1915	4	4.5
1915	5	11.8
1915	6	15.8
1915	7	12.1
1915	8	5.8
1915	9	-6.1
1915	10	-16.5
