year	month	temp
1901	0	-21.2
1901	1	-18.4
1901	2	-8.7
1901	3	1.1
1901	4	9.5
1901	5	16.0
1901	6	17.6
1901	7	15.8
1901	8	9.8
1901	9	-1.2
1901	10	-10.1
1901	11	-23.3
1902	0	-20.4
1902	1	-16.0
1902	2	-8.8
1902	3	0.0
1902	4	8.0
1902	5	14.8
1902	6	16.5
1902	7	14.6
1902	8	10.0
1902	9	0.8
1902	10	-11.9
1902	11	-19.1
1903	0	-21.1
1903	1	-17.0
1903	2	-9.9
1903	3	0.8
1903	4	8.9
1903	5	14.4
1903	6	17.7
1903	7	15.0
1903	8	8.9
1903	9	-1.0
1903	10	-12.1
1903	11	-20.0
1904	0	-23.1
1904	1	-19.0
1904	2	-12.1
1904	3	-0.2
1904	4	9.4
1904	5	15.5
1904	6	16.4
1904	7	15.4
1904	8	8.4
1904	9	0.0
1904	10	-9.0
1904	11	-17.9
1905	0	-18.8
1905	1	-20.0
1905	2	-11.2
1905	3	-0.4
1905	4	8.8
1905	5	14.4
1905	6	17.8
1905	7	15.9
1905	8	8.7
1905	9	0.4
1905	10	-11.3
1905	11	-18.9
1906	0	-22.8
1906	1	-21.2
1906	2	-8.7
1906	3	3.0
1906	4	8.5
1906	5	14.8
1906	6	16.3
1906	7	16.3
1906	8	9.1
1906	9	0.2
1906	10	-13.8
1906	11	-17.1
1907	0	-20.7
1907	1	-20.9
1907	2	-10.2
1907	3	2.0
1907	4	9.9
1907	5	15.0
1907	6	16.0
1907	7	15.5
1907	8	9.5
1907	9	0.7
1907	10	-12.2
1907	11	-19.6
1908	0	-22.3
1908	1	-18.9
1908	2	-11.1
1908	3	1.0
1908	4	10.3
1908	5	15.3
1908	6	17.6
1908	7	15.7
1908	8	9.1
1908	9	0.1
1908	10	-11.8
1908	11	-17.4
1909	0	-22.4
1909	1	-18.5
1909	2	-12.9
1909	3	0.4
1909	4	9.1
1909	5	14.9
1909	6	17.5
1909	7	16.4
1909	8	8.3
1909	9	-0.8
1909	10	-9.9
1909	11	-19.9
1910	0	-23.9
1910	1	-18.2
1910	2	-12.4
1910	3	0.5
1910	4	9.7
1910	5	14.3
1910	6	17.9
1910	7	16.0
1910	8	8.1
1910	9	0.4
1910	10	-13.3
1910	11	-20.7
1911	0	-20.6
1911	1	-18.3
1911	2	-11.2
1911	3	1.8
1911	4	8.6
1911	5	14.7
1911	6	17.1
1911	7	15.4
1911	8	9.1
1911	9	1.3
1911	10	-10.0
1911	11	-20.9
1912	0	-20.3
1912	1	-16.6
1912	2	-12.0
1912	3	1.6
1912	4	9.4
1912	5	14.6
1912	6	17.7
1912	7	13.8
1912	8	7.6
1912	9	-1.7
1912	10	-13.5
1912	11	-21.3
1913	0	-21.9
1913	1	-18.9
1913	2	-9.5
1913	3	0.4
1913	4	9.4
1913	5	15.5
1913	6	16.8
1913	7	14.7
1913	8	8.6
1913	9	1.2
1913	10	-9.5
1913	11	-18.4
1914	0	-17.5
1914	1	-16.8
1914	2	-11.4
1914	3	2.1
1914	4	9.5
1914	5	14.7
1914	6	16.7
1914	7	15.7
1914	8	9.2
1914	9	0.7
1914	10	-11.9
1914	11	-19.0
1915	0	-23.3
1915	1	-19.6
1915	2	-10.4
1915	3	0.2
1915	4	9.7
1915	5	14.9
1915	6	17.9
1915	7	15.1
1915	8	8.2
1915	9	-1.5
1915	10	-10.9
1915	11	-17.5
1916	0	-21.3
1916	1	-18.4
1916	2	-12.9
1916	3	-0.6
1916	4	9.6
1916	5	14.3
1916	6	17.6
1916	7	15.7
1916	8	9.3
1916	9	0.5
1916	10	-11.1
1916	11	-23.2
1917	0	-23.0
1917	1	-19.0
1917	2	-9.5
1917	3	1.6
1917	4	10.2
1917	5	16.0
1917	6	17.1
1917	7	14.9
1917	8	8.7
1917	9	-0.1
1917	10	-10.4
1917	11	-21.5
1918	0	-20.8
1918	1	-17.2
1918	2	-8.9
1918	3	0.8
1918	4	9.2
1918	5	15.1
1918	6	17.4
1918	7	15.4
1918	8	9.1
1918	9	0.2
1918	10	-12.3
1918	11	-21.9
1919	0	-25.9
1919	1	-16.9
1919	2	-10.7
1919	3	0.6
1919	4	9.3
1919	5	15.1
1919	6	18.2
1919	7	15.9
1919	8	9.3
1919	9	0.9
1919	10	-11.8
1919	11	-18.9
1920	0	-20.1
1920	1	-20.0
1920	2	-8.6
1920	3	2.6
1920	4	9.9
1920	5	14.5
1920	6	18.1
1920	7	15.5
1920	8	8.1
1920	9	2.0
1920	10	-11.6
1920	11	-21.4
1921	0	-19.6
1921	1	-18.8
1921	2	-9.8
1921	3	0.4
1921	4	8.8
1921	5	14.3
1921	6	19.0
1921	7	16.4
1921	8	9.5
1921	9	1.1
1921	10	-11.8
1921	11	-19.0
1922	0	-25.5
1922	1	-19.3
1922	2	-10.0
1922	3	1.8
1922	4	8.5
1922	5	15.6
1922	6	19.2
1922	7	15.7
1922	8	8.1
1922	9	0.9
1922	10	-13.3
1922	11	-19.3
1923	0	-22.4
1923	1	-21.2
1923	2	-9.6
1923	3	1.4
1923	4	9.3
1923	5	14.9
1923	6	17.9
1923	7	16.1
1923	8	9.5
1923	9	0.2
1923	10	-12.7
1923	11	-18.1
1924	0	-20.4
1924	1	-20.3
1924	2	-11.9
1924	3	0.7
1924	4	10.7
1924	5	14.8
1924	6	18.3
1924	7	16.0
1924	8	9.2
1924	9	-0.3
1924	10	-9.9
1924	11	-18.4
1925	0	-18.6
1925	1	-20.5
1925	2	-12.3
1925	3	1.2
1925	4	8.4
1925	5	14.7
1925	6	16.8
1925	7	15.6
1925	8	9.5
1925	9	2.8
1925	10	-9.0
1925	11	-18.1
1926	0	-20.2
1926	1	-17.7
1926	2	-7.1
1926	3	3.0
1926	4	9.0
1926	5	15.5
1926	6	18.0
1926	7	16.2
1926	8	9.7
1926	9	0.3
1926	10	-10.8
1926	11	-22.4
1927	0	-22.1
1927	1	-18.0
1927	2	-12.4
1927	3	0.6
1927	4	9.3
1927	5	14.5
1927	6	17.6
1927	7	14.7
1927	8	10.3
1927	9	0.3
1927	10	-9.4
1927	11	-19.5
1928	0	-21.1
1928	1	-19.2
1928	2	-10.8
1928	3	2.5
1928	4	9.2
1928	5	15.8
1928	6	17.5
1928	7	16.4
1928	8	8.7
1928	9	0.8
1928	10	-12.7
1928	11	-23.2
1929	0	-24.6
1929	1	-22.2
1929	2	-7.8
1929	3	3.1
1929	4	9.3
1929	5	15.1
1929	6	16.7
1929	7	14.8
1929	8	9.1
1929	9	0.2
1929	10	-10.8
1929	11	-25.0
1930	0	-23.0
1930	1	-18.0
1930	2	-9.6
1930	3	-0.3
1930	4	9.2
1930	5	14.7
1930	6	17.7
1930	7	15.6
1930	8	8.0
1930	9	1.4
1930	10	-12.8
1930	11	-20.2
1931	0	-23.4
1931	1	-22.0
1931	2	-10.0
1931	3	0.1
1931	4	6.8
1931	5	14.8
1931	6	17.6
1931	7	16.1
1931	8	8.8
1931	9	1.9
1931	10	-12.1
1931	11	-19.9
1932	0	-17.2
1932	1	-18.8
1932	2	-10.7
1932	3	2.5
1932	4	8.3
1932	5	14.1
1932	6	18.9
1932	7	14.4
1932	8	10.6
1932	9	2.5
1932	10	-8.8
1932	11	-17.3
1933	0	-25.4
1933	1	-21.0
1933	2	-12.3
1933	3	1.3
1933	4	8.9
1933	5	15.0
1933	6	16.9
1933	7	16.0
1933	8	8.6
1933	9	-1.1
1933	10	-10.7
1933	11	-17.9
1934	0	-22.5
1934	1	-18.1
1934	2	-12.7
1934	3	-0.8
1934	4	9.9
1934	5	14.4
1934	6	16.9
1934	7	14.2
1934	8	8.0
1934	9	-0.4
1934	10	-11.6
1934	11	-17.8
1935	0	-21.8
1935	1	-15.7
1935	2	-7.9
1935	3	-0.3
1935	4	7.9
1935	5	15.1
1935	6	17.3
1935	7	16.2
1935	8	10.2
1935	9	1.9
1935	10	-14.2
1935	11	-25.7
1936	0	-24.4
1936	1	-20.5
1936	2	-12.8
1936	3	-1.5
1936	4	7.8
1936	5	13.7
1936	6	17.6
1936	7	15.3
1936	8	9.3
1936	9	3.0
1936	10	-10.0
1936	11	-19.5
1937	0	-23.8
1937	1	-17.9
1937	2	-13.6
1937	3	-0.1
1937	4	9.8
1937	5	14.9
1937	6	16.9
1937	7	15.2
1937	8	8.7
1937	9	1.2
1937	10	-11.8
1937	11	-21.5
1938	0	-24.5
1938	1	-18.5
1938	2	-8.4
1938	3	3.9
1938	4	8.2
1938	5	14.1
1938	6	18.5
1938	7	14.8
1938	8	8.0
1938	9	1.1
1938	10	-9.1
1938	11	-21.0
1939	0	-21.7
1939	1	-17.2
1939	2	-10.7
1939	3	1.7
1939	4	9.1
1939	5	14.8
1939	6	19.1
1939	7	17.2
1939	8	8.9
1939	9	0.0
1939	10	-11.8
1939	11	-16.9
1940	0	-22.9
1940	1	-19.3
1940	2	-7.5
1940	3	1.5
1940	4	9.3
1940	5	14.9
1940	6	16.6
1940	7	13.8
1940	8	8.5
1940	9	1.6
1940	10	-10.4
