year	month	temp
1901	0	-6.1
1901	1	-10.1
1901	2	-5.8
1901	3	0.4
1901	4	5.1
1901	5	10.1
1901	6	14.2
1901	7	11.5
1901	8	8.9
1901	9	4.7
1901	10	-4.3
1901	11	-8.4
1902	0	-7.0
1902	1	-8.6
1902	2	-6.6
1902	3	-1.2
1902	4	3.1
1902	5	7.9
1902	6	9.2
1902	7	8.9
1902	8	5.3
1902	9	-0.1
1902	10	-2.9
1902	11	-6.0
1903	0	-7.6
1903	1	-4.3
1903	2	-1.8
1903	3	-1.0
1903	4	4.5
1903	5	8.4
1903	6	10.5
1903	7	9.9
1903	8	7.1
1903	9	-0.9
1903	10	-2.7
1903	11	-4.6
1904	0	-4.5
1904	1	-10.7
1904	2	-5.1
1904	3	0.5
1904	4	3.6
1904	5	8.7
1904	6	10.9
1904	7	10.0
1904	8	7.3
1904	9	2.6
1904	10	-5.3
1904	11	-7.2
1905	0	-7.4
1905	1	-6.5
1905	2	-3.7
1905	3	-1.8
1905	4	4.5
1905	5	10.5
1905	6	12.2
1905	7	10.5
1905	8	6.6
1905	9	-1.4
1905	10	-3.7
1905	11	-3.2
1906	0	-5.9
1906	1	-6.8
1906	2	-6.4
1906	3	0.1
1906	4	4.5
1906	5	9.5
1906	6	11.8
1906	7	9.8
1906	8	7.3
1906	9	2.5
1906	10	-1.4
1906	11	-6.2
1907	0	-7.8
1907	1	-6.1
1907	2	-2.9
1907	3	0.3
1907	4	3.3
1907	5	9.7
1907	6	10.7
1907	7	8.6
1907	8	5.7
1907	9	4.3
1907	10	-0.9
1907	11	-6.9
1908	0	-5.9
1908	1	-6.2
1908	2	-5.2
1908	3	-0.5
1908	4	3.7
1908	5	8.6
1908	6	11.8
1908	7	10.6
1908	8	6.7
1908	9	3.5
1908	10	-4.6
1908	11	-4.3
1909	0	-4.7
1909	1	-7.7
1909	2	-7.3
1909	3	-1.9
1909	4	2.4
1909	5	8.3
1909	6	11.0
1909	7	9.7
1909	8	6.7
1909	9	3.2
1909	10	-5.3
1909	11	-6.4
1910	0	-7.6
1910	1	-3.8
1910	2	-2.8
1910	3	-0.2
1910	4	5.7
1910	5	9.5
1910	6	11.4
1910	7	10.8
1910	8	7.0
1910	9	1.6
1910	10	-4.4
1910	11	-4.7
1911	0	-6.0
1911	1	-6.3
1911	2	-4.3
1911	3	-0.8
1911	4	6.3
1911	5	8.8
1911	6	11.5
1911	7	11.7
1911	8	7.6
1911	9	-0.1
1911	10	-3.4
1911	11	-2.6
1912	0	-10.0
1912	1	-9.5
1912	2	-3.1
1912	3	-1.5
1912	4	4.2
1912	5	9.8
1912	6	12.8
1912	7	10.9
1912	8	5.7
1912	9	0.9
1912	10	-3.0
1912	11	-4.3
1913	0	-8.6
1913	1	-5.6
1913	2	-3.8
1913	3	0.6
1913	4	5.2
1913	5	8.8
1913	6	12.3
1913	7	10.5
1913	8	7.2
1913	9	1.4
1913	10	-0.1
1913	11	-6.4
1914	0	-7.9
1914	1	-4.4
1914	2	-4.7
1914	3	0.9
1914	4	3.7
1914	5	9.7
1914	6	14.4
1914	7	11.4
1914	8	7.3
1914	9	1.9
1914	10	-2.8
1914	11	-4.5
1915	0	-8.6
1915	1	-7.4
1915	2	-7.1
1915	3	-0.6
1915	4	2.6
1915	5	7.2
1915	6	11.8
1915	7	10.6
1915	8	5.5
1915	9	0.3
1915	10	-5.3
1915	11	-11.9
1916	0	-6.0
1916	1	-6.5
1916	2	-7.0
1916	3	-0.4
1916	4	4.1
1916	5	8.9
1916	6	13.3
1916	7	10.0
1916	8	5.8
1916	9	0.0
1916	10	-0.8
1916	11	-5.7
1917	0	-11.2
1917	1	-9.1
1917	2	-8.2
1917	3	-3.2
1917	4	2.8
1917	5	10.3
1917	6	10.8
1917	7	13.0
1917	8	6.9
1917	9	1.5
1917	10	-2.7
1917	11	-7.0
1918	0	-10.7
1918	1	-6.2
1918	2	-3.5
1918	3	0.5
1918	4	5.2
1918	5	8.6
1918	6	12.9
1918	7	10.4
1918	8	5.9
1918	9	2.9
1918	10	0.0
1918	11	-5.5
1919	0	-5.9
1919	1	-9.6
1919	2	-5.9
1919	3	-1.8
1919	4	6.8
1919	5	9.8
1919	6	12.6
1919	7	9.1
1919	8	6.8
1919	9	0.3
1919	10	-6.4
1919	11	-8.3
1920	0	-7.1
1920	1	-4.4
1920	2	-0.9
1920	3	0.7
1920	4	6.2
1920	5	9.6
1920	6	12.4
1920	7	10.3
1920	8	7.9
1920	9	1.8
1920	10	-1.1
1920	11	-4.8
1921	0	-7.3
1921	1	-6.0
1921	2	-2.2
1921	3	2.4
1921	4	5.5
1921	5	8.1
1921	6	10.7
1921	7	10.0
1921	8	6.2
1921	9	1.5
1921	10	-4.5
1921	11	-4.2
1922	0	-8.8
1922	1	-7.8
1922	2	-5.5
1922	3	-1.1
1922	4	4.7
1922	5	9.3
1922	6	12.4
1922	7	10.5
1922	8	7.1
1922	9	0.9
1922	10	-2.5
1922	11	-4.9
1923	0	-4.7
1923	1	-8.7
1923	2	-3.0
1923	3	-1.3
1923	4	3.3
1923	5	6.1
1923	6	11.7
1923	7	9.5
1923	8	6.7
1923	9	2.0
1923	10	-4.1
1923	11	-7.2
1924	0	-6.6
1924	1	-8.9
1924	2	-7.5
1924	3	-2.0
1924	4	3.7
1924	5	7.8
1924	6	12.5
1924	7	12.0
1924	8	8.1
1924	9	3.8
1924	10	-1.4
1924	11	-1.6
1925	0	-3.1
1925	1	-5.5
1925	2	-6.7
1925	3	0.5
1925	4	5.2
1925	5	9.2
1925	6	14.8
1925	7	11.8
1925	8	7.3
1925	9	-0.1
1925	10	-5.4
1925	11	-8.4
1926	0	-7.5
1926	1	-8.0
1926	2	-3.9
1926	3	0.5
1926	4	4.0
1926	5	9.8
1926	6	12.3
1926	7	11.1
1926	8	6.9
1926	9	-1.5
1926	10	-1.6
1926	11	-6.2
1927	0	-6.6
1927	1	-5.8
1927	2	-3.2
1927	3	-1.7
1927	4	2.6
1927	5	7.8
1927	6	14.3
1927	7	12.3
1927	8	6.7
1927	9	0.4
1927	10	-5.3
1927	11	-8.4
1928	0	-6.3
1928	1	-5.9
1928	2	-4.0
1928	3	0.3
1928	4	4.2
1928	5	7.4
1928	6	9.6
1928	7	10.2
1928	8	6.4
1928	9	1.2
1928	10	-2.8
1928	11	-5.8
1929	0	-8.7
1929	1	-9.7
1929	2	-3.1
1929	3	-3.2
1929	4	5.0
1929	5	8.1
1929	6	10.4
1929	7	9.4
1929	8	7.4
1929	9	1.9
1929	10	-0.7
1929	11	-1.0
1930	0	-3.7
1930	1	-5.9
1930	2	-4.6
1930	3	1.5
1930	4	5.9
1930	5	10.6
1930	6	13.7
1930	7	12.6
1930	8	6.6
1930	9	2.6
1930	10	-2.4
1930	11	-3.1
1931	0	-8.0
1931	1	-7.3
1931	2	-6.8
1931	3	-0.7
1931	4	5.2
1931	5	6.8
1931	6	12.8
1931	7	9.9
1931	8	5.1
1931	9	1.0
1931	10	0.6
1931	11	-4.2
1932	0	-3.5
1932	1	-4.2
1932	2	-5.3
1932	3	-0.8
1932	4	4.4
1932	5	8.3
1932	6	12.5
1932	7	10.9
1932	8	6.0
1932	9	0.3
1932	10	-2.0
1932	11	-1.9
1933	0	-4.2
1933	1	-8.0
1933	2	-4.3
1933	3	-1.1
1933	4	4.8
1933	5	12.2
1933	6	13.4
1933	7	11.2
1933	8	8.4
1933	9	2.4
1933	10	-3.1
1933	11	-4.4
1934	0	-2.8
1934	1	-4.7
1934	2	-3.3
1934	3	-0.7
1934	4	5.4
1934	5	9.0
1934	6	13.9
1934	7	12.8
1934	8	9.7
1934	9	3.1
1934	10	-1.8
1934	11	-2.3
1935	0	-6.4
1935	1	-6.1
1935	2	-4.8
1935	3	-0.3
1935	4	3.0
1935	5	9.0
1935	6	11.8
1935	7	11.4
1935	8	6.5
1935	9	2.1
1935	10	0.4
1935	11	-4.1
1936	0	-7.4
1936	1	-9.1
1936	2	-4.9
1936	3	-1.0
1936	4	6.4
1936	5	11.3
1936	6	13.2
1936	7	11.7
1936	8	6.9
1936	9	1.0
